id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
x11_1,What do you think?,,89,think,4,think,direct-address,neutral,11,1
x11_2,It's complicated.,,3129,complicated,2,complicated,descriptive,n/a,11,1
5020130,You have a valid point.,,3750,valid,5,point,direct-address,neutral,11,2
3109565,You make many valid points.,,3750,valid,5,many|points|valid,direct-address,neutral,11,2
x11_5,I suppose you're right.,,2683,suppose,4,suppose|right,direct-address,neutral,11,2
x11_6,"Honestly, I'm not so sure.",,2057,honestly,5,honestly|sure,descriptive,n/a,11,2
3618618,It's a tough choice.,,1762,tough,4,choice,descriptive,n/a,11,3
3466173,We'll have to make some tough choices.,,3189,choices,7,choices,direct-address,neutral,11,3
2548243,I'm in a tough spot.,,1762,tough,5,spot,descriptive,n/a,11,3
x11_7,Tell me about it.,,270,tell,4,tell|about,direct-address,informal,11,3
512224,I'm crazy about football.,,887,crazy,4,football,descriptive,n/a,11,4
451744,He's crazy about soccer.,,3111,soccer,4,he's|soccer,descriptive,n/a,11,4
2987675,My daughter's driving me crazy.,,9147,daughter's,5,daughter's,descriptive,n/a,11,4
2046,It's driving me crazy.,,1323,driving,4,crazy|driving|it's|me,descriptive,n/a,11,4
3315097,They're not big fans of mine.,,977,fans,6,big|fans|mine|of,descriptive,n/a,11,5
3315186,I'm your biggest fan.,,1258,fan,4,biggest,direct-address,neutral,11,5
3727517,I'm a huge fan of yours.,,1834,yours,6,huge,direct-address,neutral,11,5
3826829,They released a new album.,,998,album,5,released,descriptive,n/a,11,5
906887,What's your favorite song on this album?,,1127,favorite,7,favorite|on|song|what's|your,direct-address,neutral,11,5
2218128,You're completely crazy.,,1058,completely,3,completely,direct-address,informal,11,6
2248796,It sounds crazy.,,1139,sounds,3,it|sounds,descriptive,n/a,11,6
2255209,You seemed crazy.,,1602,seemed,3,seemed,direct-address,neutral,11,6
2835617,Everybody probably thinks I'm crazy.,,1726,thinks,5,everybody|probably|thinks,descriptive,n/a,11,6
4529229,No additional information was available.,,1103,additional,5,additional|available|information|no|was,descriptive,n/a,11,7
4529089,Additional details weren't immediately available.,,2120,weren't,5,details|immediately|weren't,descriptive,n/a,11,7
4529126,Visit our website for additional information.,,1103,additional,6,for|our|visit|website,direct-address,formal,11,7
2542143,We're definitely not a couple.,,1152,definitely,5,couple,descriptive,n/a,11,8
2954935,You're definitely not on the list.,,1152,definitely,6,list,direct-address,neutral,11,8
4494196,It's definitely good news.,,1152,definitely,4,news,descriptive,n/a,11,8
1515428,That's definitely the goal.,,1152,definitely,4,goal,descriptive,n/a,11,8
4013957,Is that your professional opinion?,,1218,opinion,5,opinion,direct-address,formal,11,9
4853351,It's a very demanding profession.,,5697,profession,5,demanding|profession,descriptive,n/a,11,10
2218435,You're the pro.,,1220,pro,3,pro,direct-address,neutral,11,10
2247895,I'm a pro.,,1220,pro,3,a|i'm|pro,descriptive,n/a,11,10
3532129,None of this makes sense.,,1239,none,5,sense,descriptive,n/a,11,11
3131510,None of this is really happening.,,1646,happening,6,happening|really,descriptive,n/a,11,11
1745592,None of these things surprise me.,,1826,surprise,6,surprise|things,descriptive,n/a,11,11
2546452,This is a public beach.,,1251,beach,5,public,descriptive,n/a,11,12
5074827,This isn't a private beach.,,1251,beach,5,private,descriptive,n/a,11,12
2486687,The beach isn't far from here.,,1251,beach,6,far,descriptive,n/a,11,12
1410420,Let's go straight to the beach.,,1251,beach,6,straight,direct-address,neutral,11,12
2486701,Did you grow up near a beach?,,1332,grow,7,did|grow|near|up,direct-address,neutral,11,13
5379492,I loved going to the beach.,,1251,beach,6,loved,descriptive,n/a,11,13
3567588,"I live near the sea, so I often go to the beach.",,1251,beach,12,sea,descriptive,n/a,11,13
288170,He likes to go to the beach now and then.,,1890,likes,10,and|likes|then,descriptive,n/a,11,13
33158,Bob became an engineer.,,2965,engineer,4,became|bob,descriptive,n/a,11,14
3824941,I'm the chief engineer.,,2965,engineer,4,chief,descriptive,n/a,11,14
319197,My father wants me to be an engineer.,,2965,engineer,8,wants,descriptive,n/a,11,14
5828913,I'm a poet.,,4983,poet,3,poet,descriptive,n/a,11,14
298215,He is a poet.,,4983,poet,4,a|he|is|poet,descriptive,n/a,11,14
5839972,I'm a senior.,,1273,senior,3,senior,descriptive,n/a,11,14
1132368,I study psychology.,,4198,psychology,3,psychology,descriptive,n/a,11,14
56912,This book deals with psychology.,,4198,psychology,5,book|deals,descriptive,n/a,11,14
2647108,None of this matters.,,1937,matters,4,matters,descriptive,n/a,11,15
2647111,None of that matters.,,1937,matters,4,matters|none|of|that,descriptive,n/a,11,15
4494190,None of that is necessary.,,1303,necessary,5,necessary,descriptive,n/a,11,15
3518556,It's a reasonable conclusion.,,3570,conclusion,4,reasonable,descriptive,n/a,11,15
3821588,None of you are invited to my party.,,2816,invited,8,invited,direct-address,informal,11,16
3824679,None of you are going to be fired.,,2326,fired,8,fired,direct-address,neutral,11,16
