German,Spanish
Guten Morgen,Buenos días
Guten Tag,Buenas tardes
Guten Abend,Buenas noches
Wie geht es dir?,¿Cómo estás?
"Mir geht es gut, danke.","Estoy bien, gracias."
Wie heißt du?,¿Cómo te llamas?
Ich heiße Anna.,Me llamo Anna.
Woher kommst du?,¿De dónde eres?
Ich komme aus Deutschland.,Soy de Alemania.
Wo wohnst du?,¿Dónde vives?
Ich wohne in Berlin.,Vivo en Berlín.
Was machst du beruflich?,¿A qué te dedicas?
Ich bin Lehrerin.,Soy profesora.
Ich bin Student.,Soy estudiante.
Wo ist der Bahnhof?,¿Dónde está la estación?
Wo ist das Hotel?,¿Dónde está el hotel?
Wo ist der Markt?,¿Dónde está el mercado?
"Ich möchte einen Kaffee, bitte.","Quiero un café, por favor."
"Ich möchte einen Tee, bitte.","Quiero un té, por favor."
Ich hätte gern ein Brot.,Quisiera un pan.
Ich hätte gern einen Apfel.,Quisiera una manzana.
Was kostet das?,¿Cuánto cuesta?
Das ist zu teuer.,Es demasiado caro.
Ich nehme es.,Me lo llevo.
Das Buch liegt auf dem Tisch.,El libro está sobre la mesa.
Der Schlüssel liegt auf dem Tisch.,La llave está sobre la mesa.
Das Handy liegt auf dem Sofa.,El móvil está en el sofá.
Heute ist das Wetter schön.,Hoy hace buen tiempo.
Heute regnet es.,Hoy llueve.
Heute ist es kalt.,Hoy hace frío.
Es wird morgen warm.,Mañana hará calor.
Ich lerne jeden Tag Spanisch.,Aprendo español todos los días.
Ich lerne jeden Tag Deutsch.,Aprendo alemán todos los días.
Kannst du mir helfen?,¿Puedes ayudarme?
Könnten Sie mir helfen?,¿Podría ayudarme?
Ich habe gestern einen Film gesehen.,Ayer vi una película.
Ich habe ein Buch gelesen.,Leí un libro.
Meine Familie wohnt in Berlin.,Mi familia vive en Berlín.
Meine Familie wohnt in Madrid.,Mi familia vive en Madrid.
Der Zug fährt um acht Uhr ab.,El tren sale a las ocho.
Der Bus fährt um neun Uhr ab.,El autobús sale a las nueve.
Ich verstehe das nicht.,No entiendo eso.
Kannst du das wiederholen?,¿Puedes repetirlo?
"Langsamer, bitte.","Más despacio, por favor."
Vielen Dank für deine Hilfe.,Muchas gracias por tu ayuda.
Bis später!,¡Hasta luego!
Bis morgen!,¡Hasta mañana!
Schönen Tag noch!,¡Que tengas buen día!
Auf Wiedersehen.,Adiós.
Gute Nacht.,Buenas noches.
Ich habe Hunger.,Tengo hambre.
Ich habe Durst.,Tengo sed.
Ich bin müde.,Estoy cansado.
Ich freue mich sehr.,Estoy muy contenta.
Es tut mir leid.,Lo siento.
Kein Problem.,No hay problema.
Keine Sorge.,No te preocupes.
Entschuldigung!,¡Perdón!
Komm herein!,¡Entra!
"Setz dich, bitte.","Siéntate, por favor."
Wo ist die Toilette?,¿Dónde está el baño?
Ich suche eine Apotheke.,Busco una farmacia.
Ich suche ein Restaurant.,Busco un restaurante.
Können wir die Rechnung haben?,¿Nos trae la cuenta?
"Die Rechnung, bitte.","La cuenta, por favor."
Ich bezahle bar.,Pago en efectivo.
Ich bezahle mit Karte.,Pago con tarjeta.
Können Sie mir das empfehlen?,¿Me lo puede recomendar?
Das schmeckt sehr gut.,Está muy rico.
Das schmeckt mir nicht.,No me gusta.
Wie viele Leute?,¿Cuántas personas?
Wir sind zu zweit.,Somos dos.
Wir sind zu viert.,Somos cuatro.
Ich habe einen Tisch reserviert.,He reservado una mesa.
Um wie viel Uhr öffnen Sie?,¿A qué hora abren?
Um wie viel Uhr schließen Sie?,¿A qué hora cierran?
Das Museum ist nicht weit.,El museo no está lejos.
Die Bibliothek schließt um acht.,La biblioteca cierra a las ocho.
Kannst du mich anrufen?,¿Puedes llamarme?
Ich rufe dich später an.,Te llamo más tarde.
Schreib mir eine Nachricht.,Mándame un mensaje.
Ich habe eine Frage.,Tengo una pregunta.
Darf ich fragen?,¿Puedo preguntar?
Das ist interessant.,Eso es interesante.
Das ist kompliziert.,Eso es complicado.
Das ist einfach.,Eso es fácil.
Ich weiß es nicht.,No lo sé.
Ich bin mir nicht sicher.,No estoy seguro.
Ich denke schon.,Creo que sí.
Ich glaube nicht.,Creo que no.
Das stimmt.,Es cierto.
Das stimmt nicht.,No es cierto.
Ich muss los.,Tengo que irme.
Ich komme gleich.,Ahora vuelvo.
Warte kurz!,¡Espera un momento!
Wir sehen uns.,Nos vemos.
Bis bald!,¡Hasta pronto!
Willkommen!,¡Bienvenido!
Viel Glück!,¡Buena suerte!
Viel Spaß!,¡Que te diviertas!
Alles Gute zum Geburtstag!,¡Feliz cumpleaños!
Frohe Weihnachten!,¡Feliz Navidad!
Frohes neues Jahr!,¡Feliz Año Nuevo!
Guten Morgen heute.,Buenos días hoy.
Guten Tag heute.,Buenas tardes hoy.
Guten Abend heute.,Buenas noches hoy.
Wie geht es dir heute.,¿Cómo estás hoy.
"Mir geht es gut, danke heute.","Estoy bien, gracias hoy."
Wie heißt du heute.,¿Cómo te llamas hoy.
Ich heiße Anna heute.,Me llamo Anna hoy.
Woher kommst du heute.,¿De dónde eres hoy.
Ich komme aus Deutschland heute.,Soy de Alemania hoy.
Wo wohnst du heute.,¿Dónde vives hoy.
Ich wohne in Berlin heute.,Vivo en Berlín hoy.
Was machst du beruflich heute.,¿A qué te dedicas hoy.
Ich bin Lehrerin heute.,Soy profesora hoy.
Ich bin Student heute.,Soy estudiante hoy.
Wo ist der Bahnhof heute.,¿Dónde está la estación hoy.
Wo ist das Hotel heute.,¿Dónde está el hotel hoy.
Wo ist der Markt heute.,¿Dónde está el mercado hoy.
"Ich möchte einen Kaffee, bitte heute.","Quiero un café, por favor hoy."
"Ich möchte einen Tee, bitte heute.","Quiero un té, por favor hoy."
Ich hätte gern ein Brot heute.,Quisiera un pan hoy.
Ich hätte gern einen Apfel heute.,Quisiera una manzana hoy.
Was kostet das heute.,¿Cuánto cuesta hoy.
Das ist zu teuer heute.,Es demasiado caro hoy.
Ich nehme es heute.,Me lo llevo hoy.
Das Buch liegt auf dem Tisch heute.,El libro está sobre la mesa hoy.
Der Schlüssel liegt auf dem Tisch heute.,La llave está sobre la mesa hoy.
Das Handy liegt auf dem Sofa heute.,El móvil está en el sofá hoy.
Heute ist das Wetter schön heute.,Hoy hace buen tiempo hoy.
Heute regnet es heute.,Hoy llueve hoy.
Heute ist es kalt heute.,Hoy hace frío hoy.
Es wird morgen warm heute.,Mañana hará calor hoy.
Ich lerne jeden Tag Spanisch heute.,Aprendo español todos los días hoy.
Ich lerne jeden Tag Deutsch heute.,Aprendo alemán todos los días hoy.
Kannst du mir helfen heute.,¿Puedes ayudarme hoy.
Könnten Sie mir helfen heute.,¿Podría ayudarme hoy.
Ich habe gestern einen Film gesehen heute.,Ayer vi una película hoy.
Ich habe ein Buch gelesen heute.,Leí un libro hoy.
Meine Familie wohnt in Berlin heute.,Mi familia vive en Berlín hoy.
Meine Familie wohnt in Madrid heute.,Mi familia vive en Madrid hoy.
Der Zug fährt um acht Uhr ab heute.,El tren sale a las ocho hoy.
Der Bus fährt um neun Uhr ab heute.,El autobús sale a las nueve hoy.
Ich verstehe das nicht heute.,No entiendo eso hoy.
Kannst du das wiederholen heute.,¿Puedes repetirlo hoy.
"Langsamer, bitte heute.","Más despacio, por favor hoy."
Vielen Dank für deine Hilfe heute.,Muchas gracias por tu ayuda hoy.
Bis später heute.,¡Hasta luego hoy.
Bis morgen heute.,¡Hasta mañana hoy.
Schönen Tag noch heute.,¡Que tengas buen día hoy.
Auf Wiedersehen heute.,Adiós hoy.
Gute Nacht heute.,Buenas noches hoy.
Ich habe Hunger heute.,Tengo hambre hoy.
Ich habe Durst heute.,Tengo sed hoy.
Ich bin müde heute.,Estoy cansado hoy.
Ich freue mich sehr heute.,Estoy muy contenta hoy.
Es tut mir leid heute.,Lo siento hoy.
Kein Problem heute.,No hay problema hoy.
Keine Sorge heute.,No te preocupes hoy.
Entschuldigung heute.,¡Perdón hoy.
Komm herein heute.,¡Entra hoy.
"Setz dich, bitte heute.","Siéntate, por favor hoy."
Wo ist die Toilette heute.,¿Dónde está el baño hoy.
Ich suche eine Apotheke heute.,Busco una farmacia hoy.
Ich suche ein Restaurant heute.,Busco un restaurante hoy.
Können wir die Rechnung haben heute.,¿Nos trae la cuenta hoy.
"Die Rechnung, bitte heute.","La cuenta, por favor hoy."
Ich bezahle bar heute.,Pago en efectivo hoy.
Ich bezahle mit Karte heute.,Pago con tarjeta hoy.
Können Sie mir das empfehlen heute.,¿Me lo puede recomendar hoy.
Das schmeckt sehr gut heute.,Está muy rico hoy.
Das schmeckt mir nicht heute.,No me gusta hoy.
Wie viele Leute heute.,¿Cuántas personas hoy.
Wir sind zu zweit heute.,Somos dos hoy.
Wir sind zu viert heute.,Somos cuatro hoy.
Ich habe einen Tisch reserviert heute.,He reservado una mesa hoy.
Um wie viel Uhr öffnen Sie heute.,¿A qué hora abren hoy.
Um wie viel Uhr schließen Sie heute.,¿A qué hora cierran hoy.
Das Museum ist nicht weit heute.,El museo no está lejos hoy.
Die Bibliothek schließt um acht heute.,La biblioteca cierra a las ocho hoy.
Kannst du mich anrufen heute.,¿Puedes llamarme hoy.
Ich rufe dich später an heute.,Te llamo más tarde hoy.
Schreib mir eine Nachricht heute.,Mándame un mensaje hoy.
Ich habe eine Frage heute.,Tengo una pregunta hoy.
Darf ich fragen heute.,¿Puedo preguntar hoy.
Das ist interessant heute.,Eso es interesante hoy.
Das ist kompliziert heute.,Eso es complicado hoy.
Das ist einfach heute.,Eso es fácil hoy.
Ich weiß es nicht heute.,No lo sé hoy.
Ich bin mir nicht sicher heute.,No estoy seguro hoy.
Ich denke schon heute.,Creo que sí hoy.
Ich glaube nicht heute.,Creo que no hoy.
Das stimmt heute.,Es cierto hoy.
Das stimmt nicht heute.,No es cierto hoy.
Ich muss los heute.,Tengo que irme hoy.
Ich komme gleich heute.,Ahora vuelvo hoy.
Warte kurz heute.,¡Espera un momento hoy.
Wir sehen uns heute.,Nos vemos hoy.
Bis bald heute.,¡Hasta pronto hoy.
Willkommen heute.,¡Bienvenido hoy.
Viel Glück heute.,¡Buena suerte hoy.
Viel Spaß heute.,¡Que te diviertas hoy.
Alles Gute zum Geburtstag heute.,¡Feliz cumpleaños hoy.
Frohe Weihnachten heute.,¡Feliz Navidad hoy.
Frohes neues Jahr heute.,¡Feliz Año Nuevo hoy.
Guten Morgen am Wochenende.,Buenos días el fin de semana.
Guten Tag am Wochenende.,Buenas tardes el fin de semana.
Guten Abend am Wochenende.,Buenas noches el fin de semana.
Wie geht es dir am Wochenende.,¿Cómo estás el fin de semana.
"Mir geht es gut, danke am Wochenende.","Estoy bien, gracias el fin de semana."
Wie heißt du am Wochenende.,¿Cómo te llamas el fin de semana.
Ich heiße Anna am Wochenende.,Me llamo Anna el fin de semana.
Woher kommst du am Wochenende.,¿De dónde eres el fin de semana.
Ich komme aus Deutschland am Wochenende.,Soy de Alemania el fin de semana.
Wo wohnst du am Wochenende.,¿Dónde vives el fin de semana.
Ich wohne in Berlin am Wochenende.,Vivo en Berlín el fin de semana.
Was machst du beruflich am Wochenende.,¿A qué te dedicas el fin de semana.
Ich bin Lehrerin am Wochenende.,Soy profesora el fin de semana.
Ich bin Student am Wochenende.,Soy estudiante el fin de semana.
Wo ist der Bahnhof am Wochenende.,¿Dónde está la estación el fin de semana.
Wo ist das Hotel am Wochenende.,¿Dónde está el hotel el fin de semana.
Wo ist der Markt am Wochenende.,¿Dónde está el mercado el fin de semana.
"Ich möchte einen Kaffee, bitte am Wochenende.","Quiero un café, por favor el fin de semana."
"Ich möchte einen Tee, bitte am Wochenende.","Quiero un té, por favor el fin de semana."
Ich hätte gern ein Brot am Wochenende.,Quisiera un pan el fin de semana.
Ich hätte gern einen Apfel am Wochenende.,Quisiera una manzana el fin de semana.
Was kostet das am Wochenende.,¿Cuánto cuesta el fin de semana.
Das ist zu teuer am Wochenende.,Es demasiado caro el fin de semana.
Ich nehme es am Wochenende.,Me lo llevo el fin de semana.
Das Buch liegt auf dem Tisch am Wochenende.,El libro está sobre la mesa el fin de semana.
Der Schlüssel liegt auf dem Tisch am Wochenende.,La llave está sobre la mesa el fin de semana.
