id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
257119,I agree to your proposal.,,3162,proposal,5,agree,direct-address,neutral,13,1
2328062,I fully support your proposal.,,3162,proposal,5,fully|support,direct-address,neutral,13,1
69948,Are you in favor of the proposal?,,3162,proposal,7,favor,direct-address,neutral,13,1
x13_1,I'd rather not say.,,469,rather,4,rather,descriptive,n/a,13,1
300094,He readily agreed to my proposal.,,7606,readily,6,agreed|readily,descriptive,n/a,13,1
314358,She rejected my proposal.,,3795,rejected,4,rejected,descriptive,n/a,13,1
x13_2,Why was it rejected?,,3795,rejected,4,rejected,direct-address,neutral,13,1
2359065,I've been considering your proposal.,,3162,proposal,5,considering,direct-address,neutral,13,1
x13_3,When can we expect your decision?,,1038,expect,6,decision,direct-address,formal,13,1
3826948,The proposal was adopted.,,3162,proposal,4,adopted,descriptive,n/a,13,1
2547137,I'm proud of you guys.,,1720,proud,5,guys,direct-address,informal,13,2
259233,I'm proud of my son.,,1720,proud,5,son,descriptive,n/a,13,2
633543,I'm proud that my father is a good cook.,,2228,cook,9,cook|father|good,descriptive,n/a,13,2
4529590,We're proud of our achievement.,,3812,achievement,5,achievement|our,descriptive,n/a,13,2
3831404,Your parents would've been proud of you.,,3871,would've,7,parents|would've,direct-address,neutral,13,2
2645060,I'm proud to be Canadian.,,2013,canadian,5,canadian,descriptive,n/a,13,2
3016610,I'm not proud of my behavior.,,2044,behavior,6,behavior,descriptive,n/a,13,2
2538384,I'm proud of the way you handled yourself.,,4600,handled,8,handled,direct-address,neutral,13,2
2406477,I should've worn gloves.,,6500,gloves,4,worn,descriptive,n/a,13,3
2952352,I must've overlooked something.,,12671,must've,4,must've,descriptive,n/a,13,3
6108355,I would've been unable to do that without your help.,,3871,would've,10,help|without,direct-address,neutral,13,3
x13_5,You'd have figured it out.,,3653,figured,5,figured,direct-address,neutral,13,3
2954845,You were wise to cooperate.,,9037,cooperate,5,wise,direct-address,neutral,13,3
5618994,I think there's only a slim chance of that happening.,,6437,slim,10,happening,descriptive,n/a,13,3
2644707,Were you in the military?,,627,military,5,in|military|the|were|you,direct-address,neutral,13,4
2643418,You're needed in the clinic.,,4926,clinic,5,clinic|needed,direct-address,neutral,13,5
x13_55,On my way.,,101,way,3,way,descriptive,n/a,13,5
807594,Not far from the house was a military hospital.,,894,hospital,9,a|far|from|hospital|house|not|was,descriptive,n/a,13,5
305041,My association with them didn't last long.,,1029,association,7,association|didn't|last|long|my|them|with,descriptive,n/a,13,6
5069027,Are you planning on voting?,,2401,voting,5,planning,direct-address,neutral,13,7
687716,Who are the voting members?,,2401,voting,5,members,descriptive,n/a,13,7
279685,We'll decide by voting.,,2401,voting,4,by|decide|we'll,descriptive,n/a,13,7
804329,Almost sixty-nine million people voted.,,7619,sixty,6,almost|million|nine|sixty,descriptive,n/a,13,7
4529507,I don't trust the administration.,,1228,administration,5,administration|don't|i|trust,descriptive,n/a,13,7
4529512,Give the administration a chance.,,1228,administration,5,chance|give,direct-address,neutral,13,7
807495,Congress approved the resolution in October.,,2534,resolution,6,approved|congress|october|resolution,descriptive,n/a,13,7
326069,The Cold War ended when the Soviet Union collapsed.,,7650,collapsed,9,cold|soviet|union|war,descriptive,n/a,13,7
2060309,You should learn self-defense.,,1235,defense,5,defense|learn|self|should,direct-address,neutral,13,8
