id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
3826754,What's your analysis?,,1280,analysis,3,what's,direct-address,neutral,14,1
x14_1,"Honestly, I'm still weighing my options.",,8563,weighing,6,options|weighing,descriptive,n/a,14,1
4529773,I agree with your assessment.,,3179,assessment,5,agree|assessment,direct-address,neutral,14,1
4529843,Was that a fair assessment?,,3179,assessment,5,fair,direct-address,neutral,14,1
x14_3,"I think it was reasonable, all things considered.",,2531,reasonable,8,reasonable|considered,descriptive,n/a,14,1
2953879,We'll start an investigation immediately.,,1816,investigation,5,immediately,descriptive,n/a,14,2
4664309,The investigation could take weeks.,,1816,investigation,5,weeks,descriptive,n/a,14,2
x14_4,What's the official position?,,738,official,4,official|position,direct-address,neutral,14,2
x14_5,They haven't decided yet.,,835,decided,4,decided,descriptive,n/a,14,2
5870002,We need an independent investigation.,,1816,investigation,5,independent,descriptive,n/a,14,2
3513490,How's your investigation going?,,7385,how's,4,how's,direct-address,neutral,14,2
2406807,I strongly advise you to reconsider.,,10988,reconsider,6,advise|strongly,direct-address,formal,14,3
3127858,I suggest you reconsider your decision.,,10988,reconsider,6,decision,direct-address,formal,14,3
x14_6,Have you given it more thought?,,363,given,6,thought,direct-address,neutral,14,3
x14_7,I'm still weighing my options.,,8563,weighing,5,weighing,descriptive,n/a,14,3
4529079,"Under normal circumstances, I'd agree to do that.",,2500,circumstances,8,normal,descriptive,n/a,14,3
5916579,You must've been tired.,,12671,must've,4,must've,direct-address,neutral,14,3
682348,I didn't vote in the last election.,,859,election,7,vote,descriptive,n/a,14,4
283969,There is little hope of his winning the election.,,1120,winning,9,his|hope|is|little|of|there|winning,descriptive,n/a,14,4
273532,The result of the election will be announced tomorrow.,,1145,announced,9,announced|be|result|tomorrow|will,descriptive,n/a,14,4
31909,Mary felt happy when she learned the results of the election.,,1715,mary,11,felt|happy|learned|results|she|when,descriptive,n/a,14,4
1315808,There's a good chance that he'll be elected.,,2771,he'll,8,chance|he'll|there's,descriptive,n/a,14,4
457538,His chances of being elected are good.,,2904,chances,7,chances,descriptive,n/a,14,4
283968,Is there any possibility that he'll win the election?,,2771,he'll,9,any|possibility,direct-address,neutral,14,4
x14_10,It's too close to call.,,422,close,5,close|call,descriptive,n/a,14,4
1899412,Don't take it too literally.,,1299,literally,5,don't|it|literally|take|too,direct-address,informal,14,5
2291175,I didn't mean that literally.,,1299,literally,5,didn't|mean|that,descriptive,n/a,14,6
500548,Are you involved in politics?,,1422,politics,5,involved,direct-address,neutral,14,7
5676704,I hate talking about politics.,,1422,politics,5,talking,descriptive,n/a,14,7
5932957,I find politics very interesting.,,1422,politics,5,interesting,descriptive,n/a,14,7
x14_8,Why do you find it interesting?,,1071,interesting,6,interesting,direct-address,neutral,14,7
2539701,I'm thinking of going into politics.,,1422,politics,6,thinking,descriptive,n/a,14,7
