id,text,difficulty,max_rank,rank,topics
5066380,At least that part's true.,B1,393,1,negation
6492622,Tom and Mary didn't know they didn't have enough time to do what had to be done.,B1,300,2,negation
8466299,"I'm not so sure that I could do that, at least not as well as you.",B1,348,3,
7299098,Sami was working part-time.,B1,342,4,
282944,"I cannot tell when he will come, but when he comes, he will do his best.",B1,432,5,
2042863,I'd think that the last thing you'd want to do right now is go home.,B1,300,6,
2047859,"I've made up my mind what I'm going to do; and no ifs, ands, or buts about it.",B1,378,7,
6407101,Mary said she'd like to know why you didn't do what you said you'd do.,B1,300,8,negation
1342200,"I don't feel like doing anything, and I'm not getting up to turn on the fan.",B1,484,9,negation
6656802,"Even though it wasn't easy, I was able to do that.",B1,511,10,
4305168,It doesn't matter that you don't want to do it; the fact is that you have to.,B1,415,11,negation
12600548,"No matter if you have money or not, live a life that's just right for you.",B1,415,12,
6231801,I didn't know whether I'd be able to do that or not.,B1,485,13,negation
6874142,"We're good friends now, but there was a time when we didn't like each other.",B1,355,14,likes & dislikes
1885997,Don't you think it's still a little too early to talk to Tom about this?,B1,368,15,
12098547,Here's a list of things you could try. You don't need to try them all.,B1,531,16,negation
2506095,Are you now working part-time or full-time?,B1,342,17,
12268114,"You're working part-time, right?",B1,342,18,
6408542,"Even though Mary said she could do that, she wasn't able to.",B1,352,19,negation
10089435,"There were a lot of things that we wanted to do, but we didn't have enough time.",B1,439,20,negation
6655432,"I don't know when it'll happen, but I'm pretty sure that it'll happen.",B1,654,21,
11713590,Martino was on the main level of the house.,B1,574,22,directions & locations
6227610,I wouldn't have asked you to do that if I didn't think you could do it.,B1,499,23,negation
1103024,How far is it to the next town?,B1,580,24,directions & locations
2520226,When can we watch the next part?,B1,461,25,
10064128,"How are you? ""I'm fine. You?"" ""I'm fine too.""",B1,586,26,greetings & introductions
12194787,"Just because you've never heard of it, it doesn't mean that there's no such thing.",B1,542,27,negation
7294684,Sami was in a long-term relationship.,B1,740,28,family & relationships
8872252,"He takes care of her, and she takes care of him. They take care of each other.",B1,683,29,family & relationships
10989128,"I know you don't really need my help, but I thought doing this together might be fun.",B1,502,30,asking for help
12198251,Our relationship got to a next level.,B1,740,31,family & relationships
8505592,This is a non-issue.,B1,589,32,
7501011,I knew Tom would show Mary how to do that even though he said that he wouldn't.,B1,635,33,negation
71143,"I am ready to do anything that I can for you, because I owe you a great deal.",B1,532,34,
8055836,"I'm no longer quite sure what the question is, but I do know that the answer is yes.",B1,713,35,
6227505,"I was about to do that, but something came up and I didn't have a chance to.",B1,548,36,
7535763,We should stop at the next rest stop.,B1,594,37,
954393,There were many things that I thought were important at that time that I no longer believe are important.,B1,713,38,
11743733,Carlos is looking forward to the new school year and all the new friends he will make.,B1,785,39,future plans & goals
11291137,Their love has gone to the next level.,B1,693,40,family & relationships
11839091,"We thought it was a short cut, but it turned out to be a long way round.",B1,859,41,
241305,What is the total amount?,B1,760,42,shopping & prices
1893850,"We have a lot more to do, so we don't have time to take a break.",B1,670,43,
10765272,I'm still not certain whether I'll be able to be there.,B1,707,44,
1341378,Anything worth doing is worth doing well.,B1,726,45,
10627681,I tried to give you a sense of my state of mind.,B1,724,46,
8398149,He didn't want a serious relationship.,B1,836,47,negation
6338872,I wouldn't have even tried to do that if you hadn't been there to help me.,B1,724,48,asking for help
12510942,Why don't you stay for a bit after everyone has gone so that we can talk?,B1,693,49,polite requests & manners
5604565,Mary has not written since she left.,B1,861,50,
3251330,Buy a self-help book for relationship issues.,B1,740,51,
2268190,The house is on the most level part of the ground.,B1,735,52,
1025061,Tom is currently working on that problem.,B1,868,53,
6867833,I sometimes do stuff like that.,B1,757,54,
10123764,Trust in your friends and they'll have reason to trust you.,B1,780,55,
8307822,The situation is far more serious than we thought.,B1,857,56,family & relationships
7294433,Sami is currently in a relationship.,B1,868,57,negation
