German,Spanish
Guten Morgen,Buenos días
Guten Morgen,Buenos días
"Obwohl es gestern den ganzen Tag geregnet hat, sind wir trotzdem in den Park gegangen, um dort mit unseren Freunden ein langes und sehr gemütliches Picknick zu veranstalten","Aunque estuvo lloviendo todo el día de ayer, fuimos al parque de todos modos"
Hallo,
Bis später
Wie geht es dir?,¿Cómo estás?
Ich heiße Anna,Me llamo Anna
Wo ist der Bahnhof?,¿Dónde está la estación?
"Ich möchte einen Kaffee, bitte","Quiero un café, por favor"
Das Buch liegt auf dem Tisch,El libro está sobre la mesa
Heute ist das Wetter schön,Hoy hace buen tiempo
Ich lerne jeden Tag Spanisch,Aprendo español todos los días
Kannst du mir helfen?,¿Puedes ayudarme?
Meine Familie wohnt in Berlin,Mi familia vive en Berlín
Vielen Dank für deine Hilfe,Muchas gracias por tu ayuda
