German,Spanish,English,French
Guten Morgen,Buenos días,Good morning,Bonjour
Wie geht es dir?,¿Cómo estás?,How are you?,Comment vas-tu?
Ich heiße Anna,Me llamo Anna,My name is Anna,Je m'appelle Anna
Ich komme aus Deutschland,Soy de Alemania,I am from Germany,Je viens d'Allemagne
Wo ist der Bahnhof?,¿Dónde está la estación?,Where is the station?,Où est la gare?
"Ich möchte einen Kaffee, bitte","Quiero un café, por favor","I would like a coffee, please","Je voudrais un café, s'il vous plaît"
Das Buch liegt auf dem Tisch,El libro está sobre la mesa,The book is on the table,Le livre est sur la table
Heute ist das Wetter schön,Hoy hace buen tiempo,The weather is nice today,Il fait beau aujourd'hui
Ich lerne jeden Tag Spanisch,Aprendo español todos los días,I learn Spanish every day,J'apprends l'espagnol tous les jours
Kannst du mir helfen?,¿Puedes ayudarme?,Can you help me?,Peux-tu m'aider?
Ich habe gestern einen Film gesehen,Ayer vi una película,I watched a movie yesterday,J'ai regardé un film hier
Meine Familie wohnt in Berlin,Mi familia vive en Berlín,My family lives in Berlin,Ma famille habite à Berlin
Der Zug fährt um acht Uhr ab,El tren sale a las ocho,The train leaves at eight,Le train part à huit heures
Ich verstehe das nicht,No entiendo eso,I don't understand that,Je ne comprends pas ça
Vielen Dank für deine Hilfe,Muchas gracias por tu ayuda,Thank you for your help,Merci pour ton aide
