id,text,difficulty,max_rank,rank,topics
1,Hello,A1,1944,1,greetings & introductions
2,Good morning,A1,20001,2,greetings & introductions
3,Good afternoon,A1,20001,3,greetings & introductions
4,Good evening,A1,20001,4,greetings & introductions
5,Good night,A1,221,5,greetings & introductions
6,How are you?,A1,67,6,greetings & introductions
7,"I'm fine, thank you.",A1,586,7,greetings & introductions
8,Nice to meet you.,A1,544,8,greetings & introductions
9,Goodbye,A1,4305,9,greetings & introductions
10,See you later,A1,304,10,greetings & introductions
11,Please,A1,208,11,polite requests & manners
12,Thank you,A1,317,12,polite requests & manners
13,You're welcome,A1,1113,13,polite requests & manners
14,Excuse me,A1,2676,14,polite requests & manners
15,Sorry,A1,682,15,polite requests & manners
16,No problem,A1,391,16,negation
17,It doesn't matter,A1,415,17,negation
18,Yes,A1,301,18,
19,No,A1,51,19,negation
20,Maybe,A1,338,20,
21,I don't know,A1,84,21,negation
22,I know,A1,84,22,basic verbs & actions
23,I think so,A1,89,23,basic verbs & actions
24,I don't think so,A1,89,24,negation
25,What time is it?,A1,60,25,telling time
26,When?,A1,48,26,
27,Can you help me?,A1,171,27,"asking for help,polite requests & manners"
28,I need help.,A1,171,28,asking for help
29,Please help me.,A1,208,29,"asking for help,polite requests & manners"
30,Can you show me?,A1,199,30,polite requests & manners
31,Can you explain it?,A1,1365,31,polite requests & manners
32,Do you understand?,A1,427,32,basic verbs & actions
33,I understand,A1,427,33,basic verbs & actions
34,I don't understand,A1,427,34,negation
35,"Repeat, please",A1,3080,35,polite requests & manners
36,Please speak slowly,A1,2368,36,"polite requests & manners,language learning"
37,I speak only a little English.,A1,20001,37,language learning
38,Do you speak English?,A1,20001,38,polite requests & manners
39,Can you write it down?,A1,1008,39,language learning
40,What does this mean?,A1,274,40,language learning
41,My name is Paul,A1,300,41,"greetings & introductions,possession (my, your, his)"
42,What is your name?,A1,220,42,greetings & introductions
43,Where are you from?,A1,107,43,greetings & introductions
44,I am from Germany,A1,20001,44,greetings & introductions
45,How old are you?,A1,174,45,greetings & introductions
46,I am 24 years old.,A1,20001,46,"greetings & introductions,numbers & counting"
47,What do you do?,A1,50,47,greetings & introductions
48,I am a teacher,A1,1411,48,greetings & introductions
49,I am a tourist.,A1,5169,49,personal pronouns
50,Where is the toilet?,A1,4276,50,"asking for help,directions & locations"
51,Slow down,A1,1504,51,basic verbs & actions
52,Go faster,A1,2295,52,basic verbs & actions
53,Wait,A1,451,53,basic verbs & actions
54,I want a coffee.,A1,1448,54,at the restaurant
55,Good evening.,A1,20001,55,greetings & introductions
56,One more.,A1,20001,56,numbers & counting
57,One less.,A1,20001,57,numbers & counting
58,Help!,A1,171,58,asking for help
59,I need help now.,A1,171,59,asking for help
60,I like it.,A1,42,60,likes & dislikes
61,I don't like it.,A1,50,61,"negation,likes & dislikes"
62,It's okay.,A1,930,62,
63,It's bad.,A1,270,63,
64,It's good.,A1,78,64,
65,I am tired.,A1,2021,65,emotions
3226050,This is not his.,A1,34,66,"negation,possession (my, your, his)"
6575916,All of this?,A1,32,67,
4625694,When?,A1,48,68,
2649055,Are you with me?,A1,36,69,personal pronouns
3723088,We are what we are.,A1,46,70,personal pronouns
11446877,You are with me.,A1,36,71,personal pronouns
530044,What do I have to do?,A1,50,72,"basic verbs & actions,asking for help"
5504569,Who was he?,A1,53,73,personal pronouns
2643801,You do what you have to do.,A1,50,74,basic verbs & actions
2892879,Who were you there with?,A1,57,75,personal pronouns
11498227,"No, you are not.",A1,51,76,"negation,personal pronouns"
1793438,We have what we have.,A1,46,77,personal pronouns
8651860,She was with me.,A1,64,78,personal pronouns
12651409,She is not there at all.,A1,64,79,negation
789102,To be or not to be?,A1,28,80,"negation,basic verbs & actions"
56104,This is all he has to do.,A1,50,81,"possession (my, your, his)"
2891464,Is this all of them?,A1,71,82,
12263123,Which one is this?,A1,59,83,
3365628,What is this about?,A1,46,84,
11068969,This is her.,A1,58,85,personal pronouns
3916630,This is from them.,A1,71,86,personal pronouns
3903089,I was with her.,A1,58,87,personal pronouns
8991384,Is no one there?,A1,57,88,negation
7590077,Who is he with?,A1,53,89,personal pronouns
10056875,If only.,A1,79,90,
6616511,See this?,A1,85,91,basic verbs & actions
11222637,"Know what I think? ""No, what?""",A1,89,92,basic verbs & actions
3920588,What about them?,A1,71,93,
3326714,What do I know?,A1,84,94,basic verbs & actions
12315831,He was with him.,A1,82,95,personal pronouns
6144230,Think.,A1,89,96,basic verbs & actions
7545195,What do you think about all this?,A1,89,97,basic verbs & actions
3819992,We were there.,A1,57,98,personal pronouns
3393306,What could this be?,A1,92,99,
3916632,This is from him.,A1,82,100,personal pronouns
2953591,We could do this.,A1,92,101,basic verbs & actions
3071402,What do I do then?,A1,91,102,basic verbs & actions
429820,Are you new?,A1,65,103,greetings & introductions
12315832,She was with her.,A1,64,104,personal pronouns
3732031,How could you know?,A1,92,105,basic verbs & actions
6115900,This is the only way out.,A1,101,106,directions & locations
1887482,I know all this.,A1,84,107,basic verbs & actions
2892113,There are people out there.,A1,66,108,
11254939,There were no people out.,A1,66,109,negation
3920893,What do we know about him?,A1,84,110,personal pronouns
8478238,He was with us.,A1,95,111,personal pronouns
3910093,I have to see them.,A1,85,112,basic verbs & actions
8687486,Do you see much of them?,A1,105,113,basic verbs & actions
