id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
32727,I still haven't thanked you for the other day. I really appreciate it.,,10897,thanked,13,thanked,direct-address,formal,10,1
x10_1,Don't mention it.,,1892,mention,3,mention|don't,direct-address,informal,10,1
x10_2,How have you been?,,67,how,4,been|how,direct-address,neutral,10,1
2541910,I'm glad we made some progress.,,1719,progress,6,progress,descriptive,n/a,10,1
x10_3,What do you think about it?,,89,think,6,think|about,direct-address,neutral,10,2
4498554,I had mixed feelings.,,2285,mixed,4,mixed,descriptive,n/a,10,2
x10_4,Could you elaborate on that?,,6294,elaborate,5,elaborate,direct-address,formal,10,2
x10_5,"Sure, let me explain.",,1353,explain,4,explain|sure,direct-address,neutral,10,2
55600,This is based on fact.,,362,fact,5,fact|is|on|this,descriptive,n/a,10,3
57257,This story is based on actual events.,,1462,actual,7,actual|events,descriptive,n/a,10,3
879812,Her argument was not based on facts.,,2262,argument,7,argument|facts,descriptive,n/a,10,3
55192,There is no scientific basis for these claims.,,2160,scientific,8,basis|claims|scientific,descriptive,n/a,10,3
3821816,It's official.,,738,official,2,official,descriptive,n/a,10,3
5011392,There's no set policy.,,688,policy,4,set,descriptive,n/a,10,3
2276040,I don't have medical training.,,703,medical,5,don't|training,descriptive,n/a,10,4
4268526,My doctor told me that I needed to lose some weight.,,1320,doctor,11,doctor|needed|told,descriptive,n/a,10,4
x10_6,Did you follow the advice?,,1370,advice,5,follow|advice,direct-address,neutral,10,4
4135327,I'm glad you asked me for advice.,,1370,advice,7,asked,direct-address,neutral,10,4
2233716,This is official.,,738,official,3,is|official|this,descriptive,n/a,10,5
4493970,Medical schools are expensive.,,2053,expensive,4,expensive|schools,descriptive,n/a,10,6
5859418,I have a law degree.,,1205,degree,5,degree,descriptive,n/a,10,6
250729,My brother went to the United States to study law.,,790,brother,10,brother|law|my|study|went,descriptive,n/a,10,6
312525,She was a medical student.,,1019,student,5,she|student,descriptive,n/a,10,6
2359200,I haven't been much of a role model.,,797,haven't,8,haven't|much|of|role,descriptive,n/a,10,7
908704,Who's your favorite fashion model?,,1584,fashion,5,fashion,direct-address,neutral,10,7
2240997,We're models.,,1854,models,2,models,descriptive,n/a,10,7
2916983,Mary is a plus-sized model.,,4481,sized,6,plus|sized,descriptive,n/a,10,7
4890807,It doesn't make economic sense.,,816,economic,5,doesn't|economic|it|make|sense,descriptive,n/a,10,8
2662956,We're currently working on that problem.,,857,currently,6,problem|that|working,descriptive,n/a,10,9
5109221,I know that you're currently writing a book.,,909,writing,8,book|know|writing,direct-address,neutral,10,9
x10_9,How is it going so far?,,288,far,6,going|far,direct-address,neutral,10,9
316892,She was educated in the United States.,,4305,educated,7,educated,descriptive,n/a,10,9
1813164,I miss the army.,,910,army,4,army|miss,descriptive,n/a,10,10
2270379,Don't forget to vote.,,913,forget,4,forget,direct-address,neutral,10,11
2168727,It's your duty to vote.,,1977,duty,5,duty,direct-address,neutral,10,11
4500999,Your vote matters.,,1937,matters,3,matters,direct-address,neutral,10,11
2912550,How many votes did I get?,,2304,votes,6,votes,descriptive,n/a,10,11
3732495,The votes are being counted.,,6481,counted,5,counted,descriptive,n/a,10,11
4501297,Thirteen percent were opposed.,,8053,thirteen,4,thirteen,descriptive,n/a,10,11
4501918,Thirteen percent said no.,,8053,thirteen,4,said,descriptive,n/a,10,11
3723513,I'm not changing my vote.,,1772,changing,5,changing,descriptive,n/a,10,11
4495253,It's a huge loss.,,916,huge,4,loss,descriptive,n/a,10,12
4497250,This is a huge development.,,916,huge,5,development,descriptive,n/a,10,12
4500246,It was a huge increase.,,916,huge,5,increase,descriptive,n/a,10,12
x10_10,The results surprised everyone.,,2117,surprised,4,results|surprised,descriptive,n/a,10,12
4501550,It was a huge project.,,916,huge,5,project,descriptive,n/a,10,12
3820487,The party was a huge success.,,924,success,6,party,descriptive,n/a,10,12
x10_11,Congratulations on the win.,,3572,congratulations,4,congratulations|win,direct-address,neutral,10,12
23640,"Our policy is to build for the future, not the past.",,951,build,11,build|for|future|past,descriptive,n/a,10,13
