id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
538123,Hi.,10.00,1067,hi,1,hi,direct-address,,01,1
373330,Hello!,10.00,1927,hello,1,hello,direct-address,,01,1
30316,Hi! How are you?,10.00,1067,hi,4,are|hi|how|you,direct-address,,01,1
x1_1,"Good, thanks!",,354,thanks,2,good,direct-address,,01,1
x1_2,And you?,,11,you,2,and,direct-address,,01,1
x1_3,"I'm good, too.",,119,too,3,too,direct-address,,01,1
x1_4,Nice to meet you.,,534,meet,4,nice|meet,direct-address,,01,1
2057650,Thanks.,10.00,354,thanks,1,thanks,direct-address,,01,2
x1_5,You're welcome.,,1101,welcome,2,welcome,direct-address,,01,2
x1_7,Excuse me.,,2656,excuse,2,excuse,direct-address,,01,3
x1_8,Sorry.,,671,sorry,1,sorry,direct-address,,01,3
x1_9,No problem.,,382,problem,2,problem,direct-address,,01,3
x1_10,I don't understand.,,418,understand,3,understand,direct-address,,01,4
x1_11,Can you repeat that?,,3054,repeat,4,repeat,direct-address,,01,4
x1_12,Please speak slowly.,,2348,slowly,3,slowly,direct-address,,01,4
x1_13,Do you speak English?,,992,speak,4,speak,direct-address,,01,5
x1_14,I speak a little English.,,992,speak,5,little,direct-address,,01,5
x1_15,Where is the toilet?,,4213,toilet,4,toilet,direct-address,,01,6
x1_16,It's over there.,,88,over,3,over|there,direct-address,,01,6
x1_17,Can you show me?,,194,show,4,show,direct-address,,01,6
x1_18,"Sure, follow me.",,736,follow,3,sure|follow,direct-address,,01,6
x1_19,I am tired.,,2004,tired,3,tired,direct-address,,01,7
x1_20,I am hungry.,,3279,hungry,3,hungry,direct-address,,01,7
x1_21,What time is it?,,60,time,4,time,direct-address,,01,8
x1_22,It's three o'clock.,,6521,o'clock,3,three|o'clock,direct-address,,01,8
x1_23,I think so.,,89,think,3,think,direct-address,,01,8
x1_24,It doesn't matter.,,406,matter,3,matter,direct-address,,01,8
x1_25,I am a tourist.,,5075,tourist,4,tourist,direct-address,,01,9
x1_26,I am a student.,,1019,student,4,student,direct-address,,01,9
25164,What's up?,10.00,634,what's,2,what's,direct-address,,01,10
x1_6,Not much.,,103,much,2,much,direct-address,,01,10
516745,Goodbye!,10.00,4241,goodbye,1,goodbye,direct-address,,01,11
x1_27,See you later.,,297,later,3,later,direct-address,,01,11
x1_28,Bye!,,3636,bye,1,bye,direct-address,,01,11
16492,What are you doing?,9.00,220,doing,4,doing,direct-address,,01,12
x1_29,I'm playing.,,415,playing,2,i'm|playing,direct-address,,01,12
1886817,What are we doing?,8.00,220,doing,4,are|doing|we|what,direct-address,,01,12
x1_30,We're going out.,,385,we're,3,we're|out,direct-address,,01,12
2405921,I said yes.,9.00,294,yes,3,i|said|yes,descriptive,,01,13
2243299,They said yes.,8.00,294,yes,3,yes,descriptive,,01,13
3448814,"Hey, what's that?",9.00,776,hey,3,hey|that|what's,direct-address,,01,14
1299275,Oh no!,9.00,351,oh,2,oh,descriptive,,01,14
2544489,What's your mother's name?,9.00,3787,mother's,4,mother's,direct-address,,01,15
6532401,That's my mother.,9.00,566,mother,3,mother,descriptive,,01,15
1308,I miss you.,9.00,598,miss,3,miss,direct-address,,01,16
1337519,I miss it.,7.00,598,miss,3,i|it|miss,descriptive,,01,16
2123558,That's okay.,9.00,919,okay,2,okay,descriptive,,01,17
2123589,It's okay.,9.00,919,okay,2,it's|okay,descriptive,,01,17
2111563,Say hello.,9.00,1927,hello,2,hello|say,direct-address,,01,18
2111564,Say goodbye.,9.00,4241,goodbye,2,goodbye|say,direct-address,,01,18
x1_34,Where are you from?,,105,where,4,where,direct-address,,01,19
730626,I am from Brazil.,9.00,2550,brazil,4,brazil,descriptive,,01,19
456719,She is from France.,8.00,1210,france,4,france,descriptive,,01,19
253015,I'm from America.,8.00,592,america,3,america|from,descriptive,,01,19
2248962,It'll be fine.,9.00,2564,it'll,3,it'll,descriptive,,01,20
3722956,That'd be fine.,8.00,9587,that'd,3,that'd,descriptive,,01,20
1895638,You'll be fine.,8.00,604,you'll,3,you'll,direct-address,,01,20
2544490,What's your father's name?,9.00,4526,father's,4,father's,direct-address,,01,21
x1_31,His name is Tom.,,1568,tom,4,his,direct-address,,01,21
1495893,How's your father?,7.00,7385,how's,3,father|how's|your,direct-address,,01,21
x1_32,He's fine.,,576,fine,2,he's,direct-address,,01,21
2233691,This is his.,8.00,34,his,3,his,descriptive,,01,22
413066,This is my father's.,8.00,4526,father's,4,father's|is|my|this,descriptive,,01,22
24867,What for?,8.00,46,what,2,what,direct-address,,01,23
2254540,What a woman!,4.00,443,woman,3,woman,descriptive,,01,23
2221070,I like being with you.,8.00,117,being,5,being,direct-address,,01,24
309022,What do you like about her?,7.00,58,her,6,her,direct-address,,01,24
386704,I am a man.,8.00,156,am,4,am,descriptive,,01,25
453328,I am a boy.,8.00,677,boy,4,a|am|boy|i,descriptive,,01,25
2647806,What is this thing?,8.00,179,thing,4,thing,descriptive,,01,26
619646,What is that thing?,8.00,179,thing,4,is|that|thing|what,descriptive,,01,26
2646229,What are these things?,8.00,174,things,4,things,descriptive,,01,26
5852683,I'm at school.,8.00,183,school,3,at,descriptive,,01,27
1885868,How's school?,8.00,7385,how's,2,how's,direct-address,,01,27
x1_35,It's good.,,78,good,2,it's|good,direct-address,,01,27
2011294,I want to play.,8.00,217,play,4,play,descriptive,,01,28
2050585,What are you playing with?,7.00,415,playing,5,playing,direct-address,,01,28
2545329,I'm not playing with you.,6.00,415,playing,5,i'm|not|playing|with|you,direct-address,,01,28
2270518,Don't play with me.,4.00,217,play,4,don't|me|play|with,direct-address,,01,28
1174876,I'll go.,8.00,348,i'll,2,i'll,descriptive,,01,29
2006375,"Hey, don't go.",8.00,776,hey,3,hey,direct-address,,01,29
2203688,We'll go.,7.00,1367,we'll,2,we'll,descriptive,,01,29
1140042,What are you saying?,8.00,417,saying,4,are|saying|what|you,direct-address,,01,30
2248241,I'm saying no.,7.00,417,saying,3,saying,descriptive,,01,30
1855110,I'd like that.,8.00,424,i'd,3,i'd,descriptive,,01,31
2241532,We'd like that.,8.00,3374,we'd,3,we'd,descriptive,,01,31
2243533,They'd like that.,7.00,3690,they'd,3,they'd,descriptive,,01,31
5754207,They're my books.,8.00,719,books,3,books|my|they're,descriptive,,01,32
2549436,We aren't going.,8.00,930,aren't,3,aren't|going|we,descriptive,,01,33
2243047,They aren't there.,6.00,930,aren't,3,aren't,descriptive,,01,33
2647340,What are your names?,8.00,1302,names,4,are|names|what|your,direct-address,,01,34
x1_33,My name is Tom.,,1568,tom,4,tom,direct-address,,01,34
4666222,Jackson is my family name.,8.00,2565,jackson,5,jackson,descriptive,,01,34
1893669,We'll be there.,8.00,1367,we'll,3,be|there|we'll,descriptive,,01,35
2111215,They've gone.,8.00,1788,they've,2,they've,descriptive,,01,36
306102,They have gone to Europe.,6.00,956,europe,5,europe,descriptive,,01,36
2243540,They'll be OK.,8.00,2003,they'll,3,be|ok|they'll,descriptive,,01,37
2253748,This one's mine.,8.00,3673,one's,3,mine|one's|this,descriptive,,01,38
1898070,This one's yours.,7.00,3673,one's,3,one's,direct-address,,01,38
1886819,What are those?,7.00,130,those,3,those,descriptive,,01,39
1886365,Are those for me?,7.00,130,those,4,are|for|me|those,direct-address,,01,39
x1_37,"Yes, they're for you.",,313,they're,4,for,direct-address,,01,39
2647813,What does this say?,7.00,172,does,4,does|say|this|what,descriptive,,01,40
x1_38,It says 'hello'.,,1927,hello,3,says,direct-address,,01,40
2646518,These are your things.,7.00,174,things,4,your,direct-address,,01,41
2647342,What are you having?,7.00,227,having,4,having,direct-address,,01,42
3408805,There's no one there.,7.00,260,there's,4,there's,descriptive,,01,43
2091101,No one says that.,6.00,303,says,4,says,descriptive,,01,43
4751088,There's no one like you.,5.00,260,there's,5,like|no|one|there's|you,direct-address,,01,43
2276504,It doesn't have a name.,7.00,264,doesn't,5,doesn't,descriptive,,01,44
4012925,It doesn't have to be like that.,6.00,264,doesn't,7,be|doesn't|have|it|like|that|to,descriptive,,01,44
2242977,They're family.,7.00,313,they're,2,family|they're,descriptive,,01,45
2252720,They have families.,6.00,1206,families,3,families,descriptive,,01,45
67362,"Thanks, but no thanks.",7.00,354,thanks,4,but,direct-address,,01,46
2240583,We're going out.,7.00,385,we're,3,out,descriptive,,01,47
3821060,"Yeah, that's what I said.",7.00,419,yeah,5,yeah,descriptive,,01,48
3825299,"Yeah, that's what I'll do.",7.00,419,yeah,5,do|i'll|that's|what|yeah,descriptive,,01,48
887513,She wants him.,7.00,571,wants,3,wants,descriptive,,01,49
