id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
5852118,How's your garden doing?,,7385,how's,4,doing|garden|how's|your,direct-address,neutral,09,1
3636374,How's your kid doing?,,7385,how's,4,how's,direct-address,informal,09,1
x9_1,"He's doing great, thanks.",,354,thanks,4,great|thanks,descriptive,n/a,09,1
1877168,We're making progress.,,1719,progress,3,making|progress,descriptive,n/a,09,1
5152901,How is the work progressing?,,12555,progressing,5,how|is|progressing|the|work,direct-address,neutral,09,1
5640463,I think we're progressing.,,12555,progressing,4,progressing,descriptive,n/a,09,1
5163832,I'm asking your opinion.,,1218,opinion,4,asking,direct-address,neutral,09,2
388734,"In my opinion, she is correct.",,1674,correct,6,correct,descriptive,n/a,09,2
250435,My opinion is different from yours.,,1834,yours,6,yours,direct-address,neutral,09,2
250450,My opinion is similar to yours.,,1834,yours,6,similar,direct-address,neutral,09,2
2404157,I respect your opinion.,,1218,opinion,4,respect,direct-address,neutral,09,2
4500995,Your opinion matters.,,1937,matters,3,matters,direct-address,neutral,09,2
266317,I was interviewed for a job.,,6891,interviewed,6,interviewed,descriptive,n/a,09,3
4311298,Were you nervous during the job interview?,,3478,nervous,7,during|nervous,direct-address,neutral,09,3
x9_2,"A little, but I did okay.",,919,okay,6,okay|did,descriptive,n/a,09,3
2646137,You need a new career.,,885,career,5,career|need,direct-address,neutral,09,3
2644065,Thanks for the opportunity.,,1189,opportunity,4,thanks,direct-address,neutral,09,3
5621878,We have the opportunity to make some changes.,,1189,opportunity,8,changes,descriptive,n/a,09,3
255110,I play video games.,,355,video,4,games|play|video,descriptive,n/a,09,4
2271932,I honestly don't know.,,2057,honestly,4,honestly,descriptive,n/a,09,5
5201620,Can you honestly imagine that happening?,,2057,honestly,6,imagine,direct-address,neutral,09,5
4091322,My kids don't usually lie to me.,,1517,lie,7,lie|usually,descriptive,n/a,09,5
2954922,You're an excellent liar.,,6711,liar,4,liar,direct-address,neutral,09,5
1954799,I can't reveal my source.,,3420,reveal,5,reveal,descriptive,n/a,09,5
1954800,I can't reveal my sources.,,3420,reveal,5,can't|i|my|reveal|sources,descriptive,n/a,09,5
887356,She revealed the secret to him.,,2248,revealed,6,revealed,descriptive,n/a,09,5
1954872,You can't show this video to anyone.,,402,anyone,7,anyone|can't|show|this,direct-address,neutral,09,5
x9_29,I was banking on your help.,,3877,banking,6,banking,direct-address,neutral,09,5
2270318,Don't believe the media.,,495,media,4,believe|media,direct-address,informal,09,6
1886544,Whose phone is that?,,908,whose,4,whose,direct-address,neutral,09,7
