id,text,difficulty,max_rank,rank,topics
10833029,His self-esteem is very high.,C2,8282,1,emotions
12874047,We sat at the airport lounge.,C2,8060,2,
287100,He is very blunt in his manner.,C2,8245,3,
761675,The house is beautifully situated.,C2,8010,4,
13004840,I opt to not open up to others.,C2,8325,5,negation
4945666,She lounged by the pool.,C2,8060,6,
456535,Oh my gosh. I will be late for lessons.,C2,8296,7,language learning
6589081,Turn on the spotlight.,C2,8354,8,
9514038,You can opt out if you like.,C2,8325,9,negation
1638738,He's a fine young lad.,C2,8307,10,
680929,A modern factory is totally automated.,C2,8120,11,
7245732,Sami was watching a movie in the lounge.,C2,8060,12,
262812,We treated him in the politest manner possible.,C2,8074,13,polite requests & manners
9440252,Things were different here when I were a lad.,C2,8307,14,
13035582,I opt to shield my emotions.,C2,8325,15,emotions
11771666,The truck had some issues with the clutch.,C2,8523,16,
1714216,Yay! I'm happy that it's an apple that I'm eating!,C2,8108,17,emotions
12105184,Am I a big dope?,C2,8275,18,
7409570,They fell and scraped their knees.,C2,8344,19,basic verbs & actions
847164,They prefer the shadows rather than the spotlight.,C2,8354,20,likes & dislikes
11567373,Mark's look projects self-esteem.,C2,8282,21,emotions
10366822,"I'm not asking you to confirm, I'm asking you to verify.",C2,8623,22,asking for help
1786137,"You ate an apple, yay!",C2,8108,23,
12489454,Tell the lad it's time he got some sleep.,C2,8307,24,
11775484,Antonio was fixing the billboard.,C2,8641,25,
12635170,My brother became a shepherd.,C2,8348,26,family & relationships
6825576,The gem I bought from the shop is authentic.,C2,8670,27,shopping & prices
9998999,The event was open to students and alumni.,C2,8385,28,
11606673,We're trying to prove that our hypothesis is correct.,C2,8678,29,
12928137,My little sister has a bunny.,C2,8519,30,"family & relationships,animals"
8566290,I'm using wireless headphones.,C2,8553,31,
6575417,Sami is finally having his moment in the spotlight.,C2,8354,32,
7551409,He wasn't inclined to be patient.,C2,8681,33,negation
2983080,I'm trying to verify the problem you reported.,C2,8623,34,asking for help
11039717,How do you verify your account?,C2,8623,35,asking for help
6375717,Sami married an abusive woman.,C2,8633,36,family & relationships
2547184,I'm inclined to agree.,C2,8681,37,
13219474,Buying an item gives you a promotional offer.,C2,8712,38,shopping & prices
9949001,The bunny is so cute!,C2,8519,39,animals
10864310,We're both alumni of this university.,C2,8385,40,
3362311,He stands stiff as a poker on the stage.,C2,8357,41,
303034,He smiled and said goodbye.,C2,8857,42,greetings & introductions
9970336,It was just a hypothesis.,C2,8678,43,
13021927,He must learn to approach things with a serious mindset.,C2,8825,44,
10021887,Look! A bunny!,C2,8519,45,animals
3919429,I'm inclined to believe him.,C2,8681,46,
11602229,William walked like a ninja to avoid Sandra.,C2,8700,47,
13357166,People love watching celebrities lip-sync to popular songs online.,C2,8868,48,
3735905,That's an interesting hypothesis.,C2,8678,49,
6658930,I don't want you to do that by yourselves.,C2,8881,50,negation
12755588,You should consider yourselves lucky.,C2,8881,51,
4986469,Your closet is already full. Space will have to be freed up somewhere else for your new clothes.,C2,8931,52,"possession (my, your, his)"
9432967,Yanni is working on a novel trilogy.,C2,8873,53,
11680903,Bruno was driving a blue pickup truck.,C2,8841,54,colors & shapes
12363240,The picture and sound are out of sync.,C2,8868,55,
2619962,He makes a good volleyball player because he can jump high and spike the ball.,C2,9005,56,sports
12954699,It's lime.,C2,8814,57,colors & shapes
2727669,I saw a man dressed as a ninja.,C2,8700,58,
6711826,Sami portrayed himself as a loving husband.,C2,8971,59,family & relationships
8849854,Yanni should trust his gut instinct.,C2,8803,60,
562438,He tried wooing her with love poems.,C2,8745,61,
5647143,I am not going to take the bait.,C2,8894,62,negation
10689061,"Duo, the owl, teaches many languages.",C2,8703,63,language learning
3402355,I baited the hook for you.,C2,8894,64,
11889949,Keep a positive mindset even on challenging days.,C2,8825,65,emotions
12119036,It tastes of vanilla.,C2,9122,66,
11746496,You can use live bait while fishing.,C2,8894,67,
7511453,I think that you can take care of yourselves.,C2,8881,68,personal pronouns
8106463,This is a lime tree.,C2,8814,69,plants
306038,They walked over the mat.,C2,9065,70,
4513948,"She downloaded the picture, saw his face and said ""Wow!""",C2,9172,71,
