id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
x12_2,"Honestly, I'm not sure.",,2057,honestly,4,honestly|sure,descriptive,n/a,12,1
x12_3,It depends.,,2806,depends,2,depends,descriptive,n/a,12,1
x12_4,"To a certain extent, yes.",,3136,extent,5,extent,descriptive,n/a,12,1
2291596,I agree to a certain extent.,,3136,extent,6,extent,descriptive,n/a,12,1
3008800,That's a safe assumption.,,6168,assumption,4,assumption|safe,descriptive,n/a,12,1
3594117,That's a fair assumption.,,6168,assumption,4,fair,descriptive,n/a,12,1
410787,What's your occupation?,,5053,occupation,3,occupation,direct-address,formal,12,2
x12_5,I work in marketing.,,1714,marketing,4,work|marketing,descriptive,n/a,12,2
5858203,I'm a consultant.,,5651,consultant,3,consultant,descriptive,n/a,12,2
x12_6,How long have you been doing that?,,220,doing,7,long|doing,direct-address,neutral,12,2
x12_7,About five years now.,,328,five,4,five|now,descriptive,n/a,12,2
2852040,What are your qualifications?,,8132,qualifications,4,qualifications,direct-address,formal,12,2
3825787,Our climate is changing.,,1973,climate,4,changing,descriptive,n/a,12,3
4496395,Is climate change really happening?,,1973,climate,5,happening,descriptive,n/a,12,3
x12_8,All the evidence suggests it is.,,3064,suggests,6,evidence|suggests,descriptive,n/a,12,3
5822267,How do you think climate change will affect our lives in the future?,,2490,affect,13,affect|future|lives,direct-address,neutral,12,3
4496386,Global climate change is everybody's problem.,,11060,everybody's,6,everybody's|global,descriptive,n/a,12,3
4494211,Why is history important?,,388,history,4,important|is|why,descriptive,n/a,12,4
3348726,"We can't change history, but we can learn from it.",,687,learn,10,but|can|can't|change|from|it|learn|we,descriptive,n/a,12,4
x12_11,Every period has something to teach us.,,2164,teach,7,period|teach,descriptive,n/a,12,4
37520,Every country has its own history.,,388,history,6,country,descriptive,n/a,12,4
297098,He isn't a history major.,,494,major,5,a|he|isn't|major,descriptive,n/a,12,5
262259,I'm interested in history.,,1180,interested,4,interested,descriptive,n/a,12,6
262258,I have little interest in history.,,684,interest,6,have|in|interest|little,descriptive,n/a,12,6
790045,I study art history.,,544,study,4,art|study,descriptive,n/a,12,6
1360870,Don't trust what he says.,,769,trust,5,says,direct-address,informal,12,7
3825485,I don't trust this data.,,769,trust,5,data,descriptive,n/a,12,8
15844,You can trust him to keep his word.,,769,trust,8,word,direct-address,neutral,12,9
992007,I really trust his ability.,,1144,ability,5,ability|his|really,descriptive,n/a,12,9
3905055,I've decided to trust you.,,835,decided,5,decided|i've,direct-address,neutral,12,10
56493,This history book is written for high school students.,,850,written,9,book|for|high|school|students|this|written,descriptive,n/a,12,11
64961,I want to teach history when I grow up.,,2164,teach,9,grow|when,descriptive,n/a,12,11
