German,Spanish
Guten Morgen,Buenos días
Guten Morgen,Buenos días
Wie geht es dir?,
,¿Cómo estás?
"Obwohl es gestern den ganzen Tag geregnet hat, sind wir trotzdem in den Park gegangen, um dort mit unseren Freunden ein langes gemütliches Picknick zu veranstalten",Aunque llovió todo el día
Ich heiße Anna,Me llamo Anna
Ich komme aus Deutschland
Wo ist der Bahnhof?,¿Dónde está la estación?
   guten morgen  ,   Buenos días
"Das Buch, welches auf dem Tisch liegt, gehört meinem besten Freund Paul",El libro sobre la mesa
Heute ist das Wetter schön,Hoy hace buen tiempo
Heute ist das Wetter schön,Hoy está lloviendo
Ich lerne jeden Tag Spanisch,Aprendo español todos los días
,
Vielen Dank für deine Hilfe,Muchas gracias por tu ayuda
