id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
22127,"Good morning, everyone.",10.00,461,morning,3,morning,direct-address,neutral,05,1
2094776,"Good evening, everyone.",10.00,1440,evening,3,evening,direct-address,neutral,05,1
2561375,"Hi, guys.",10.00,1067,hi,2,hi,direct-address,informal,05,1
2185188,"Hey, guys. What's up?",10.00,776,hey,4,guys|hey|up|what's,direct-address,informal,05,1
x5_1,Not much. You?,,103,much,3,much,direct-address,informal,05,1
953853,I'm so sorry.,9.00,671,sorry,3,i'm|so|sorry,direct-address,neutral,05,2
2240721,We're so sorry.,9.00,671,sorry,3,sorry,direct-address,neutral,05,2
x5_2,"It's okay, don't worry.",,1535,worry,4,worry,direct-address,informal,05,2
688006,You're very kind.,9.00,329,kind,3,very,direct-address,neutral,05,2
2649220,Hold on a sec.,9.00,4205,sec,4,sec,direct-address,informal,05,3
12621,Just a minute.,9.00,1112,minute,3,minute,direct-address,informal,05,3
1839429,Hold on a minute.,9.00,1112,minute,4,a|hold|minute|on,direct-address,informal,05,3
2372808,I just need a second.,9.00,207,second,5,second,descriptive,n/a,05,3
1830543,Let's eat.,10.00,754,eat,2,eat,direct-address,informal,05,4
2007861,Let's get coffee.,9.00,1436,coffee,3,coffee,direct-address,informal,05,4
3732191,Let's have tea.,8.00,1908,tea,3,tea,direct-address,neutral,05,4
2111621,Let's drink.,7.00,1322,drink,2,drink,direct-address,neutral,05,4
1852296,Please smile.,10.00,2296,smile,2,please|smile,direct-address,formal,05,5
2764108,Smile.,8.00,2296,smile,1,smile,direct-address,informal,05,5
2111243,They're smiling.,6.00,5509,smiling,2,smiling,descriptive,n/a,05,5
2111637,Keep smiling.,6.00,5509,smiling,2,keep|smiling,direct-address,informal,05,5
2548236,I'm just a beginner.,10.00,12235,beginner,4,beginner,descriptive,n/a,05,6
3736674,I'm also a student.,9.00,1019,student,4,student,descriptive,n/a,05,6
2240601,We're just students.,8.00,555,students,3,students,descriptive,n/a,05,6
1813372,You’re just a student.,7.00,1019,student,5,re,direct-address,neutral,05,6
499998,I'm just looking.,9.00,236,looking,3,i'm|just|looking,descriptive,n/a,05,7
25216,Show me some others.,8.00,358,others,4,others,direct-address,informal,05,7
31264,Would you like some more?,9.00,69,some,5,more,direct-address,neutral,05,7
242492,Which would you like?,8.00,63,would,4,which,direct-address,neutral,05,7
5944716,Just put it here.,9.00,204,put,4,put,direct-address,neutral,05,8
51954,What have you been doing?,9.00,220,doing,5,doing,direct-address,neutral,05,9
x5_7,Nothing much.,,249,nothing,2,nothing,descriptive,n/a,05,9
2647169,Have you been eating?,7.00,1468,eating,4,eating,direct-address,neutral,05,9
2951871,Have you been studying?,7.00,3496,studying,4,been|have|studying|you,direct-address,neutral,05,9
276330,Has anyone asked for me?,8.00,489,asked,5,asked,direct-address,neutral,05,10
2269274,Didn't you bring anything?,7.00,527,bring,4,bring,direct-address,neutral,05,10
2092622,Are you bringing anyone?,7.00,1970,bringing,4,bringing,direct-address,neutral,05,10
25313,Anything new?,9.00,247,anything,2,anything|new,direct-address,informal,05,10
1308427,Is it far?,9.00,288,far,3,far,direct-address,neutral,05,11
3071668,Is it far to town?,8.00,570,town,5,far|is|it|to|town,direct-address,neutral,05,11
x5_4,"No, it's close.",,422,close,3,close,descriptive,n/a,05,11
1554612,Let me try.,9.00,292,try,3,try,direct-address,neutral,05,12
1302459,Let me pay.,9.00,381,pay,3,pay,direct-address,neutral,05,12
2249524,Let me speak.,8.00,992,speak,3,speak,direct-address,informal,05,12
3822996,Let me live.,5.00,256,live,3,live,direct-address,informal,05,12
749266,Could you call me later?,9.00,297,later,5,call|could|later|me|you,direct-address,formal,05,13
x5_3,"Sure, I'll call you tonight.",,995,tonight,5,tonight,direct-address,informal,05,13
2107842,Thank you for everything.,9.00,309,thank,4,everything|for|thank|you,direct-address,neutral,05,14
4502071,Thanks for sharing.,9.00,2211,sharing,3,sharing,direct-address,neutral,05,14
1860405,Don't thank me yet.,7.00,309,thank,4,thank,direct-address,informal,05,14
2548841,I was just reading.,7.00,742,reading,4,reading,descriptive,n/a,05,15
57110,I would like this book.,9.00,345,book,5,book,descriptive,n/a,05,15
6033406,I just wrote a book.,6.00,972,wrote,5,wrote,descriptive,n/a,05,15
1286502,Let's begin on page 30.,5.00,1506,begin,4,page,direct-address,neutral,05,15
276017,Let's begin with Lesson 3.,5.00,3150,lesson,4,lesson,direct-address,neutral,05,15
1898253,See you guys later.,9.00,364,guys,4,guys,direct-address,informal,05,16
3820731,I thought so.,8.00,229,thought,3,thought,descriptive,n/a,05,17
65359,"Yeah. I think so, too.",9.00,419,yeah,5,yeah,descriptive,n/a,05,17
3820733,I guess so.,8.00,683,guess,3,guess|i|so,descriptive,n/a,05,17
1887358,I have another question.,9.00,439,question,4,question,descriptive,n/a,05,18
3568444,I'm calling the police.,7.00,1147,calling,4,calling,descriptive,n/a,05,19
4016037,Thanks for calling everyone.,7.00,1147,calling,4,calling|everyone|for|thanks,direct-address,neutral,05,19
2549484,The police came.,7.00,462,police,3,came|police|the,descriptive,n/a,05,19
1718,Call the police!,9.00,462,police,3,police,direct-address,neutral,05,19
2245577,Hold my calls.,3.00,1283,calls,3,calls,direct-address,neutral,05,19
2248430,Is anything broken?,7.00,1375,broken,3,broken,direct-address,neutral,05,20
2248431,Is anything happening?,7.00,1646,happening,3,anything|happening|is,direct-address,neutral,05,20
2234067,What's been happening?,8.00,1646,happening,3,happening,direct-address,neutral,05,20
2248757,It just happens.,7.00,1157,happens,3,happens,descriptive,n/a,05,20
1628159,What just happened?,9.00,623,happened,3,happened,descriptive,n/a,05,20
1886839,So what happened?,9.00,623,happened,3,happened|so|what,direct-address,neutral,05,20
2007659,Let's make this quick.,7.00,1115,quick,4,make|quick,direct-address,neutral,05,21
1176908,Let's try!,9.00,701,let's,2,let's,direct-address,informal,05,21
1345555,Let's party!,7.00,701,let's,2,let's|party,direct-address,informal,05,21
4397597,Let's end this.,6.00,701,let's,3,end,direct-address,neutral,05,21
28370,Haven't we met before?,9.00,842,met,4,before,direct-address,neutral,05,22
2241120,We haven't met.,8.00,842,met,3,met,descriptive,n/a,05,22
x5_6,I don't think so.,,89,think,4,think,descriptive,n/a,05,22
273689,Is everything okay?,9.00,919,okay,3,everything|is|okay,direct-address,neutral,05,23
x5_34,"Yes, everything's fine.",,11777,everything's,3,fine,descriptive,n/a,05,23
2358595,You're gonna love this.,8.00,502,gonna,4,gonna,direct-address,informal,05,24
1839561,That sounds great.,9.00,1139,sounds,3,great|sounds|that,descriptive,n/a,05,24
4500790,Everyone looks great.,7.00,427,looks,3,looks,descriptive,n/a,05,24
1553387,That sounds fair.,8.00,1139,sounds,3,sounds,descriptive,n/a,05,24
2250908,That sounded good.,7.00,5781,sounded,3,sounded,descriptive,n/a,05,24
2007635,Let's go and say hello.,9.00,1927,hello,5,hello,direct-address,informal,05,25
2007923,Let's be safe.,6.00,903,safe,3,safe,direct-address,neutral,05,25
2007908,Let's be frank.,6.00,1813,frank,3,frank,direct-address,neutral,05,25
28397,Where's the information desk?,9.00,6046,where's,4,information,direct-address,neutral,05,26
1604928,Everything's fine.,9.00,11777,everything's,2,everything's,descriptive,n/a,05,27
39488,I wish I could.,8.00,674,wish,4,wish,descriptive,n/a,05,28
3374787,Why would that be?,8.00,123,why,4,why,direct-address,neutral,05,28
2891945,That would be best.,7.00,142,best,4,be|best|that|would,descriptive,n/a,05,28
2522530,I would do the same.,7.00,152,same,5,same|the,descriptive,n/a,05,28
4499324,Maybe this would help.,8.00,330,maybe,4,help|maybe|this|would,descriptive,n/a,05,28
1638668,Just do your best.,8.00,142,best,4,best|your,direct-address,informal,05,29
1887434,I just found it.,8.00,192,found,4,found,descriptive,n/a,05,30
3312971,We just can't find it.,8.00,165,find,5,find,descriptive,n/a,05,30
4949588,It's all I could find.,7.00,165,find,5,all,descriptive,n/a,05,30
255497,I found the building.,7.00,500,building,4,building,descriptive,n/a,05,30
25539,Keep away from me.,8.00,209,away,4,from,direct-address,informal,05,31
2713688,I'm free until 2:30.,8.00,218,until,3,free|until,descriptive,n/a,05,32
4502125,The show starts at 2:30.,7.00,1565,starts,4,starts,descriptive,n/a,05,32
4666627,The game begins at 2:30.,7.00,2360,begins,4,begins,descriptive,n/a,05,32
63132,How was today's game?,7.00,2844,today's,4,game|how|today's|was,direct-address,neutral,05,32
