id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
1806291,"What's up, dude?",,1616,dude,3,dude|up|what's,direct-address,informal,18,1
x18_1,Not much — just running a few errands.,,14717,errands,7,errands,direct-address,informal,18,1
2358707,I have a few errands.,,14717,errands,5,few,descriptive,n/a,18,1
2359565,I've got a couple errands to run.,,14717,errands,7,couple,descriptive,n/a,18,1
x18_2,Want some company?,,219,company,3,company,direct-address,informal,18,1
3735160,I'm headed downtown.,,3583,downtown,3,headed,descriptive,n/a,18,1
4016144,What's the fastest way to get downtown?,,4679,fastest,7,fastest|get|way,direct-address,neutral,18,1
x18_3,Take the back streets.,,2214,streets,4,streets,direct-address,informal,18,1
4999932,I'm fairly optimistic.,,8223,optimistic,3,fairly,descriptive,n/a,18,2
4494027,We're cautiously optimistic.,,14516,cautiously,3,cautiously,descriptive,n/a,18,2
2283686,You don't sound very optimistic.,,8223,optimistic,5,sound,direct-address,neutral,18,2
x18_4,I'm trying to stay positive.,,1097,positive,5,positive,descriptive,n/a,18,2
1193323,Nobody feels optimistic today.,,8223,optimistic,4,feels,descriptive,n/a,18,2
3227114,I wish I could be more optimistic about what's going to happen.,,8223,optimistic,12,happen,descriptive,n/a,18,2
4999689,I'm neither optimistic nor pessimistic.,,14877,pessimistic,5,neither|nor,descriptive,n/a,18,2
4530075,I admire your optimism.,,10629,optimism,4,admire,direct-address,neutral,18,2
2276203,I don't share your optimism.,,10629,optimism,5,share,direct-address,neutral,18,2
5092317,There's reason for optimism.,,10629,optimism,4,reason,descriptive,n/a,18,2
1365853,They're a dime a dozen.,,10590,dime,5,dime|dozen,descriptive,n/a,18,3
5315686,"If I had a dime for every time I heard that, I'd be rich.",,10590,dime,14,rich,descriptive,n/a,18,3
x18_5,"Trust me, I've heard it all.",,769,trust,6,trust,direct-address,informal,18,3
982672,Better to err on the side of caution.,,13765,err,8,caution|side,descriptive,n/a,18,3
20868,"To err is human, to forgive divine.",,13765,err,7,divine|forgive,descriptive,n/a,18,3
3170719,It's a red herring.,,12771,herring,4,herring|red,descriptive,n/a,18,3
x18_6,Don't get distracted by it.,,8085,distracted,5,distracted,direct-address,informal,18,3
5502433,There's a fire downtown.,,3583,downtown,4,fire,descriptive,n/a,18,4
259853,I often go downtown on Sunday.,,3583,downtown,6,sunday,descriptive,n/a,18,4
4497542,Do you have a map of the downtown area?,,3583,downtown,9,area|map,direct-address,neutral,18,4
5123835,I'm not in the mood to go downtown.,,3583,downtown,8,mood,descriptive,n/a,18,4
41101,There are many hotels downtown.,,4867,hotels,5,hotels|many|there,descriptive,n/a,18,4
3824482,The creek was frozen.,,4098,frozen,4,creek|frozen|the|was,descriptive,n/a,18,5
1895554,You've been suspended.,,4131,suspended,3,been|suspended|you've,direct-address,neutral,18,6
326511,The peace talks have been suspended for a while.,,4131,suspended,9,talks,descriptive,n/a,18,6
2329602,I got expelled from school during my senior year.,,10125,expelled,9,senior,descriptive,n/a,18,6
3821158,I got my license revoked.,,12689,revoked,5,revoked,descriptive,n/a,18,6
4663916,I consider that racial discrimination.,,4258,racial,5,consider|discrimination|i|racial|that,descriptive,n/a,18,6
59634,Is there a mall near here?,,4328,mall,6,near,direct-address,neutral,18,7
27271,Where's the nearest shopping mall?,,6046,where's,5,nearest|shopping,direct-address,neutral,18,7
3023987,There's a mini mall on Park Street.,,4328,mall,7,mini|park|street,descriptive,n/a,18,7
x18_7,It's just a few blocks away.,,3381,blocks,6,blocks,descriptive,n/a,18,7
3469911,I went to the mall with my friends.,,4328,mall,8,friends,descriptive,n/a,18,7
52853,Is there a bus that goes to the mall?,,4328,mall,9,bus|goes,direct-address,neutral,18,7
4538661,"I rarely go to the mall, but I went yesterday.",,4328,mall,10,rarely,descriptive,n/a,18,7
2111593,Nobody volunteers.,,4354,volunteers,2,nobody|volunteers,descriptive,n/a,18,8
4502769,Volunteers are always welcome.,,4354,volunteers,4,welcome,descriptive,n/a,18,8
4498858,Volunteers get a T-shirt.,,4354,volunteers,5,shirt|t,descriptive,n/a,18,8
2717564,"So far, we only have three volunteers.",,4354,volunteers,7,far,descriptive,n/a,18,8
4663401,Volunteers are cleaning up the park today.,,4354,volunteers,7,cleaning,descriptive,n/a,18,8
5591212,We have a good group of volunteers.,,4354,volunteers,7,group,descriptive,n/a,18,8
2712749,There's an urgent need for volunteers.,,5524,urgent,6,an|there's|urgent,descriptive,n/a,18,8
4502768,All our members are volunteers.,,4354,volunteers,5,members,descriptive,n/a,18,9
5008856,Anyone can volunteer.,,4432,volunteer,3,anyone|can,descriptive,n/a,18,10
2531347,No one wants to volunteer.,,4432,volunteer,5,wants,descriptive,n/a,18,11
2531350,I was hoping you'd volunteer.,,4432,volunteer,5,hoping|you'd,direct-address,informal,18,11
1936300,I'd like to volunteer my services.,,4432,volunteer,6,services,descriptive,n/a,18,11
x18_8,What would you like me to do?,,63,would,7,do,direct-address,neutral,18,11
2530648,Would you be willing to volunteer at the animal shelter two or three days a week?,,4635,shelter,16,a|animal|be|days|or|shelter|three|two|week|willing|would,direct-address,formal,18,11
5189088,I used to volunteer at the local soup kitchen.,,5510,soup,9,kitchen|local|soup|used,descriptive,n/a,18,11
2531342,I'm grateful you volunteered to help.,,11010,volunteered,6,grateful,direct-address,formal,18,11
2203880,Who's volunteering?,,12347,volunteering,2,who's,direct-address,neutral,18,11
2250088,Thanks for volunteering.,,12347,volunteering,3,thanks,direct-address,neutral,18,11
2111584,Nobody's volunteered.,,11208,nobody's,2,nobody's,descriptive,n/a,18,11
2530616,Perhaps you'd be willing to volunteer.,,4432,volunteer,6,perhaps,direct-address,neutral,18,12
2713516,You guys are hilarious.,,4459,hilarious,4,guys,direct-address,informal,18,13
4494158,This picture is hilarious.,,4459,hilarious,4,picture,descriptive,n/a,18,13
4494326,This story is hilarious.,,4459,hilarious,4,story,descriptive,n/a,18,13
4016662,Are you going to join the glee club?,,12641,glee,8,club|glee|join,direct-address,neutral,18,13
4495214,We were ecstatic.,,13984,ecstatic,3,ecstatic,descriptive,n/a,18,13
3826259,Let the festivities begin.,,13100,festivities,4,begin|festivities|let,direct-address,neutral,18,13
5163823,The new shopping mall that opened last week closes at midnight every night.,,7246,closes,13,closes|every|last|midnight|night|opened,descriptive,n/a,18,14
4500739,"We walked through the mall, looking for a shoe store.",,4713,shoe,10,for|looking|shoe|store|through|walked|we,descriptive,n/a,18,14
1418611,The mall is deserted.,,10834,deserted,4,deserted,descriptive,n/a,18,14
2245487,Expect the unexpected.,,4823,unexpected,3,expect,direct-address,neutral,18,15
2744090,I've learned to expect the unexpected.,,4823,unexpected,6,learned,descriptive,n/a,18,15
1532831,"Suddenly, something unexpected happened.",,4823,unexpected,4,suddenly,descriptive,n/a,18,15
247406,We had unexpected visitors.,,4823,unexpected,4,visitors,descriptive,n/a,18,15
4013163,What an unexpected surprise!,,4823,unexpected,4,surprise,descriptive,n/a,18,15
4013704,What an unexpected pleasure!,,4823,unexpected,4,pleasure,descriptive,n/a,18,15
3824311,We don't like unexpected guests.,,4823,unexpected,5,guests,descriptive,n/a,18,15
4529310,There were some unexpected questions.,,4823,unexpected,5,questions,descriptive,n/a,18,15
673952,We had no unexpected incidents during our trip.,,5484,incidents,8,during|incidents|no|our|trip,descriptive,n/a,18,15
3818993,The result was unexpected.,,4823,unexpected,4,result,descriptive,n/a,18,16
2250956,That was legitimate.,,4873,legitimate,3,legitimate,descriptive,n/a,18,17
1522197,It's a legitimate worry.,,4873,legitimate,4,it's|worry,descriptive,n/a,18,18
3821198,You've lied to me repeatedly.,,4986,repeatedly,5,lied|me|repeatedly,direct-address,informal,18,19
x18_21,I had my reasons.,,1240,reasons,4,reasons,descriptive,n/a,18,19
5853166,I've asked you repeatedly not to sing so late at night.,,4986,repeatedly,11,late|sing,direct-address,informal,18,19
5480904,Have the decency to keep quiet.,,12495,decency,6,decency|quiet,direct-address,formal,18,19
2107351,We're kidding.,,5047,kidding,2,kidding|we're,descriptive,n/a,18,20
3575425,"Hey, I'm only kidding.",,5047,kidding,4,hey,direct-address,informal,18,20
2213931,I wasn't flirting.,,10847,flirting,3,flirting|wasn't,descriptive,n/a,18,20
4493990,We're flirting with disaster.,,10847,flirting,4,disaster,descriptive,n/a,18,20
1895563,You're such a flirt.,,12273,flirt,4,flirt|such,direct-address,informal,18,20
2275848,I didn't flirt with Mary.,,12273,flirt,5,didn't|flirt|i|mary|with,descriptive,n/a,18,20
3818445,I want to workout.,,6752,workout,4,want|workout,descriptive,n/a,18,21
4915787,I'm trying to get a tan.,,6824,tan,6,tan|trying,descriptive,n/a,18,21
5839940,I teach yoga.,,5087,yoga,3,teach|yoga,descriptive,n/a,18,21
295049,He is good at gymnastics.,,11323,gymnastics,5,gymnastics,descriptive,n/a,18,21
288049,He's a volleyball player.,,8469,volleyball,4,player,descriptive,n/a,18,21
