id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
3731188,Do I detect sarcasm?,,11115,sarcasm,4,detect|sarcasm,direct-address,neutral,19,1
x19_1,Maybe just a touch.,,1312,touch,4,touch,descriptive,n/a,19,1
2203313,You're sarcastic.,,11360,sarcastic,2,sarcastic,direct-address,neutral,19,1
5860767,"You're being sarcastic, I hope.",,11360,sarcastic,5,hope,direct-address,neutral,19,1
x19_2,Of course — I wouldn't dream of being serious.,,1291,dream,8,dream|serious,direct-address,neutral,19,1
4501358,Persistence pays off.,,12423,persistence,3,off|pays|persistence,descriptive,n/a,19,2
4501352,Persistence will pay off.,,12423,persistence,4,pay|will,descriptive,n/a,19,2
2203176,We're persistent.,,7911,persistent,2,persistent,descriptive,n/a,19,2
2242992,They're relentless.,,12432,relentless,2,relentless,descriptive,n/a,19,2
2234122,What's the prognosis?,,14474,prognosis,3,prognosis|what's,direct-address,neutral,19,3
4494467,The prognosis was dire.,,14474,prognosis,4,dire,descriptive,n/a,19,3
x19_3,Is there anything we can do?,,247,anything,6,anything,direct-address,neutral,19,3
3307520,The tumor was benign.,,12364,benign,4,benign|tumor,descriptive,n/a,19,3
x19_4,That's the first good news all week.,,342,news,7,news|week,descriptive,n/a,19,3
60134,This house has a solid foundation.,,1902,solid,6,a|foundation|has|house|solid|this,descriptive,n/a,19,4
1388227,The soldiers are dead.,,2036,soldiers,4,dead,descriptive,n/a,19,5
4498696,The soldiers opened fire.,,2036,soldiers,4,fire|opened,descriptive,n/a,19,5
681655,Soldiers must follow orders.,,2036,soldiers,4,follow|must|orders,descriptive,n/a,19,5
x19_5,How many casualties were there?,,7552,casualties,5,casualties,direct-address,neutral,19,5
320102,Soldiers are used to danger.,,2506,danger,5,are|danger|to|used,descriptive,n/a,19,5
4501715,The soldiers remained still.,,2383,remained,4,remained|still,descriptive,n/a,19,5
3727472,My sons are soldiers.,,3002,sons,4,my|sons,descriptive,n/a,19,5
72166,What does UN stand for?,,2395,un,5,does|for|stand|un|what,direct-address,neutral,19,6
415500,UN stands for United Nations.,,2446,stands,5,nations|stands|united,descriptive,n/a,19,6
928195,Let's talk turkey.,,2686,turkey,3,let's|talk|turkey,direct-address,informal,19,7
294118,He quit smoking cold turkey.,,2892,smoking,5,cold|he|quit|smoking,descriptive,n/a,19,7
69241,Have you ever eaten turkey?,,5662,eaten,5,eaten|ever|have,direct-address,neutral,19,7
x19_6,Only at Thanksgiving.,,6548,thanksgiving,3,thanksgiving,descriptive,n/a,19,7
1804044,I ate a turkey sandwich.,,5705,sandwich,5,ate|sandwich,descriptive,n/a,19,7
1804045,I made myself a turkey sandwich.,,5705,sandwich,6,made|myself,descriptive,n/a,19,7
4502457,The soldiers surrounded the village.,,3865,surrounded,5,surrounded|village,descriptive,n/a,19,8
5001101,I don't plan to vote in the upcoming elections.,,3999,upcoming,9,don't|elections|i|in|plan|upcoming|vote,descriptive,n/a,19,9
6096337,Aren't you going to vote in the upcoming election?,,3999,upcoming,9,aren't|election|going,direct-address,neutral,19,9
681606,The soldiers occupied the building.,,4114,occupied,5,building|occupied,descriptive,n/a,19,10
4494037,Three soldiers were wounded.,,4142,wounded,4,three|wounded,descriptive,n/a,19,10
4497277,Three soldiers died protecting us.,,4257,protecting,5,died|protecting|us,descriptive,n/a,19,10
3728515,I'm practically an adult.,,5153,practically,4,adult,descriptive,n/a,19,11
474057,Practically every family has a TV.,,5153,practically,6,every|tv,descriptive,n/a,19,11
4834104,I got it practically for free.,,5153,practically,6,free,descriptive,n/a,19,11
6059308,Mary put the turkey in the oven.,,6419,oven,7,mary|oven|put,descriptive,n/a,19,12
3725667,I had a revelation.,,7301,revelation,4,had|revelation,descriptive,n/a,19,13
1891004,I'm in my underwear.,,7327,underwear,4,i'm|underwear,descriptive,n/a,19,13
53462,I have a persistent cough.,,7911,persistent,5,cough,descriptive,n/a,19,14
4501273,The spotlight is on.,,7934,spotlight,4,is|on|spotlight,descriptive,n/a,19,14
5418388,That's bad karma.,,8108,karma,3,bad|karma|that's,descriptive,n/a,19,15
4666478,I don't believe in karma.,,8108,karma,5,believe,descriptive,n/a,19,15
5858395,I rushed upstairs.,,8258,upstairs,3,rushed,descriptive,n/a,19,16
251206,My study is upstairs.,,8258,upstairs,4,study,descriptive,n/a,19,16
302442,He carried the box upstairs.,,8258,upstairs,5,box|carried,descriptive,n/a,19,16
x19_7,Mind the loose step.,,3215,loose,4,loose|step,direct-address,neutral,19,16
4012209,The children were asleep upstairs.,,8258,upstairs,5,asleep,descriptive,n/a,19,16
5265823,I heard a noise upstairs.,,8258,upstairs,5,noise,descriptive,n/a,19,16
72895,Go upstairs and bring down my trunk.,,8258,upstairs,7,bring|trunk,direct-address,informal,19,16
x19_8,"Sure, give it here.",,197,sure,4,give|here,direct-address,informal,19,16
1463502,They rented the upstairs room to a student.,,8258,upstairs,8,rented,descriptive,n/a,19,16
257269,I asked for the key and went upstairs to my room.,,8258,upstairs,11,asked|key|room|went,descriptive,n/a,19,16
3223405,Some kind of party upstairs kept me up until one last night.,,8258,upstairs,12,kept|last|party|until,descriptive,n/a,19,16
2240841,We're in sync.,,8362,sync,3,sync,descriptive,n/a,19,17
2245862,I hate paperwork.,,8522,paperwork,3,hate|paperwork,descriptive,n/a,19,17
3724516,I'll start the paperwork.,,8522,paperwork,4,i'll|start,descriptive,n/a,19,17
2358879,I've already done the paperwork.,,8522,paperwork,5,already|done,descriptive,n/a,19,17
x19_9,Don't burn yourself out.,,2799,burn,4,burn|out,direct-address,informal,19,17
2882452,I was just catching up on paperwork.,,8522,paperwork,7,catching,descriptive,n/a,19,17
909561,She spends over a third of her time doing paperwork.,,8522,paperwork,10,spends|third,descriptive,n/a,19,17
909568,Some healthcare workers spend more time doing paperwork than taking care of patients.,,8522,paperwork,13,care|healthcare|more|patients|spend|taking|workers,descriptive,n/a,19,17
2647199,Do you have a nickel?,,8762,nickel,5,nickel,direct-address,neutral,19,18
4823870,I forgot my debit card at home.,,11044,debit,7,card|debit|forgot|home,descriptive,n/a,19,18
2247803,I'll ride shotgun.,,8892,shotgun,3,ride|shotgun,descriptive,n/a,19,19
4728075,The city was full of starving soldiers.,,9113,starving,7,city|full|of|starving|was,descriptive,n/a,19,20
2245000,Beauty is subjective.,,9115,subjective,3,beauty|subjective,descriptive,n/a,19,21
2249133,It's not subjective.,,9115,subjective,3,it's,descriptive,n/a,19,21
3821343,Are you really going to ask Mary to the prom?,,9199,prom,10,ask,direct-address,neutral,19,22
2026771,Would you please do me the favor of going to the prom with me?,,9199,prom,14,favor,direct-address,formal,19,22
5691920,I won't be able to go to the prom.,,9199,prom,9,able|won't,descriptive,n/a,19,22
275390,Algebra is a branch of mathematics.,,9240,algebra,6,algebra|branch|mathematics,descriptive,n/a,19,23
3374196,I hate calculus.,,11285,calculus,3,calculus,descriptive,n/a,19,23
5418224,Simplicity is a virtue.,,9338,simplicity,4,simplicity|virtue,descriptive,n/a,19,24
327637,I like the simplicity of her dress.,,9338,simplicity,7,dress,descriptive,n/a,19,24
2892540,What do you know about zombies?,,9361,zombies,6,know|zombies,direct-address,neutral,19,25
1841502,You're being paranoid.,,9791,paranoid,3,being|paranoid,direct-address,informal,19,25
3446854,You're sounding paranoid.,,9791,paranoid,3,sounding,direct-address,informal,19,25
x19_10,Maybe — or maybe I'm the only one paying attention.,,1819,paying,9,attention,descriptive,n/a,19,25
65502,We have four bedrooms upstairs.,,9844,bedrooms,5,bedrooms|four|we,descriptive,n/a,19,26
2821420,You're quite a philosopher.,,9912,philosopher,4,philosopher|quite,direct-address,informal,19,27
908734,Who's your favorite philosopher?,,9912,philosopher,4,favorite|who's|your,direct-address,neutral,19,27
2497792,I cut myself with a razor.,,9922,razor,6,cut|razor|with,descriptive,n/a,19,28
1545119,How often do you change your razor blade?,,9922,razor,8,blade|change|how|often,direct-address,neutral,19,28
3732074,Are you here voluntarily?,,9961,voluntarily,4,here,direct-address,neutral,19,29
2545425,I'm doing it voluntarily.,,9961,voluntarily,4,doing|it|voluntarily,descriptive,n/a,19,29
5290505,It was only meant as a harmless prank.,,10165,prank,8,as|harmless|meant|only|prank,descriptive,n/a,19,30
4121173,This had better not be some kind of prank.,,10165,prank,9,be|better|kind|some,direct-address,informal,19,30
3823813,"Unfortunately, it's a hoax.",,12158,hoax,4,unfortunately,descriptive,n/a,19,30
3823812,It was definitely a hoax.,,12158,hoax,5,definitely,descriptive,n/a,19,30
4501394,The photo was a hoax.,,12158,hoax,5,photo,descriptive,n/a,19,30
22026,I hear footsteps outside.,,10244,footsteps,4,hear|outside,descriptive,n/a,19,31
3130460,I could hear footsteps coming up the stairs.,,10244,footsteps,8,coming|stairs,descriptive,n/a,19,31
2334784,What's your favorite color of lipstick?,,10262,lipstick,6,color,direct-address,neutral,19,32
3170707,Mary usually wears bright red lipstick.,,10262,lipstick,6,bright|red|usually|wears,descriptive,n/a,19,32
887058,She danced with him at the high school prom.,,10341,danced,9,at|danced|high|him|school|she,descriptive,n/a,19,33
4689839,I'd do it all again in a heartbeat.,,10481,heartbeat,8,again|all|heartbeat|i'd,descriptive,n/a,19,34
4494752,It was heartbreaking.,,11656,heartbreaking,3,heartbreaking,descriptive,n/a,19,34
4495360,What a heartbreaking story!,,11656,heartbreaking,4,story,descriptive,n/a,19,34
3978487,My upstairs neighbors are very noisy.,,10503,noisy,6,neighbors|noisy|very,descriptive,n/a,19,35
3821622,I just saw a panther.,,10760,panther,5,just|panther|saw,descriptive,n/a,19,36
62170,May I have a Coca-Cola?,,10819,coca,6,coca|cola|may,direct-address,neutral,19,37
3329726,Can I have a double espresso?,,13767,espresso,6,double|espresso,direct-address,neutral,19,37
458955,Is this jasmine tea?,,11197,jasmine,4,jasmine|tea,direct-address,neutral,19,37
2645090,Do you want some bourbon?,,11279,bourbon,5,bourbon|want,direct-address,neutral,19,37
2265783,Do you like pineapple drinks?,,11570,pineapple,5,drinks,direct-address,neutral,19,37
3722976,I'm under quarantine.,,10877,quarantine,3,quarantine|under,descriptive,n/a,19,38
2335048,Our camp is about 5 miles downstream from here.,,11052,downstream,8,camp|downstream|from|miles|our,descriptive,n/a,19,39
1689836,I'm allergic to gluten.,,11075,gluten,4,allergic|gluten,descriptive,n/a,19,40
3670429,That was a vile thing to do.,,11133,vile,7,thing|vile,descriptive,n/a,19,41
4493942,It was a horrendous experience.,,13337,horrendous,5,experience|horrendous,descriptive,n/a,19,41
4828286,It was an embarrassing fiasco.,,14721,fiasco,5,embarrassing,descriptive,n/a,19,41
2254528,What a fiasco!,,14721,fiasco,3,fiasco,descriptive,n/a,19,41
4789471,There's a lot of traffic on the freeway.,,11183,freeway,8,freeway|lot|there's|traffic,descriptive,n/a,19,42
682156,There was a terrible accident on the freeway.,,11183,freeway,8,accident|terrible|there,descriptive,n/a,19,42
4144668,Can I come backstage?,,11272,backstage,4,backstage|can|come,direct-address,neutral,19,43
4144671,I have backstage passes.,,11272,backstage,4,passes,descriptive,n/a,19,43
4529722,We weren't allowed backstage.,,11272,backstage,4,allowed|weren't,descriptive,n/a,19,43
3826026,It's breathtaking.,,11281,breathtaking,2,breathtaking,descriptive,n/a,19,44
3826025,The scenery was breathtaking.,,11281,breathtaking,4,scenery,descriptive,n/a,19,44
3820484,Do I look like a sucker?,,11481,sucker,6,like|look|sucker,direct-address,neutral,19,45
x19_12,Of course not — I'd never insult you like that.,,6979,insult,9,insult,direct-address,neutral,19,45
