id,text,difficulty,topics,llm_usefulness,usefulness
8997470,Learn Hungarian!,A1,language learning,10.0,7.0
7149232,Sami is very happy.,A1,emotions,10.0,9.0
9156223,How did you learn Toki Pona?,A1,language learning,9.0,7.0
1864475,It was my first job.,A1,work,8.0,9.0
719437,John isn't here.,A1,negation,8.0,7.0
11768985,I cannot pay.,A1,"money,negation",8.0,8.0
2667594,I read your book.,A1,"books,free time",8.0,6.0
3913152,Let me stay.,A1,requests,8.0,5.0
12726116,Which team will play?,A1,sports,8.0,8.0
254915,I wanted to get a lot of money.,A1,"money,goals",8.0,7.0
10497145,Cheese is my favorite food.,A1,food,8.0,7.0
370724,How many books did you read?,A1,"books,numbers",8.0,6.0
2890962,Are you up there?,A1,"time,emotions",8.0,6.0
22462,Could I have the check?,A1,requests,8.0,8.0
5187117,What is there to eat?,A1,food,8.0,7.0
2954211,Why do you want to go to Boston?,A1,"travel,goals",8.0,8.0
10189358,Three years is a really long time.,A1,time,8.0,6.0
9953590,Yanni worked late.,A1,"work,time",8.0,6.0
11713699,Martino and Melissa always got along well.,A1,emotions,8.0,6.0
3171042,We must get help.,A1,"requests,negation",8.0,6.0
5737545,Why would I feel different?,A1,emotions,8.0,5.0
309990,She is human.,A1,emotions,8.0,9.0
9805616,Where do you see yourself in 5 years?,A1,"goals,future plans",8.0,7.0
11369510,I was popular at school.,A1,"school,emotions",8.0,6.0
299020,He went to Boston by car.,A1,travel,8.0,8.0
7438861,They said they didn't know where to go.,A1,"negation,travel",8.0,7.0
6890544,Did anyone hear you?,A1,negation,8.0,7.0
2011975,We want you to be happy.,A1,emotions,8.0,6.0
7444705,They told me they were uninsured.,A1,money,7.0,5.0
3908429,We need to tell her what to do.,A1,"requests,work",7.0,8.0
9149398,"If there is a problem, please let me know.",A1,requests,7.0,8.0
9823891,Would you sell this to me?,A1,"money,requests",7.0,7.0
7976178,Learning French was hard.,A1,language learning,7.0,5.0
2541427,I'll tell you when you get here.,A1,"time,future plans",7.0,7.0
1898382,Everything's ready.,A1,"free time,goals",7.0,9.0
8959062,We got someone else to do that.,A1,negation,7.0,7.0
9949151,Where do you want to put this?,A1,requests,7.0,7.0
4133564,Did you get everything you asked for?,A1,"requests,negation",7.0,7.0
4784234,My hands are full.,A1,"emotions,requests",7.0,6.0
8808813,He's got to go there.,A1,"emotions,future plans",7.0,8.0
12343048,I have to be there tomorrow morning.,A1,"time,future plans",7.0,7.0
1519349,I believe in Buddha.,A1,religion,7.0,7.0
8480575,He began to read.,A1,"books,free time",7.0,7.0
4016213,What else do we need to do?,A1,requests,7.0,9.0
6297432,It was late August.,A1,"time,weather",7.0,6.0
2064712,We should build something.,A1,"requests,future plans",7.0,8.0
11820141,Fyodor moved into his new house.,A1,"free time,travel",7.0,7.0
8222946,I believe you should leave.,A1,"requests,emotions",7.0,6.0
3915388,I have to go help him.,A1,"requests,emotions,future plans",7.0,8.0
1493784,How are you doing for money?,A1,money,7.0,7.0
7260033,Sami held the phone.,A1,free time,7.0,8.0
457547,This is her house.,A1,school,7.0,8.0
7156331,Sami was really funny.,A1,emotions,7.0,7.0
11936731,I have to keep my cool.,A1,"emotions,negation",7.0,8.0
2546145,I wasn't here last year.,A1,"time,negation",7.0,8.0
3919445,"You don't believe her, do you?",A1,negation,7.0,6.0
679870,They are all of my friends.,A1,"people,relationships",7.0,8.0
3906626,Maybe I should go talk to her.,A1,"emotions,requests,free time",7.0,7.0
10999894,Phone him tonight.,A1,"time,requests",7.0,7.0
2325976,I feel all right.,A1,emotions,7.0,8.0
5835895,Fadil would like to see you.,A1,requests,7.0,7.0
9719832,Did they write to her?,A1,"negation,requests",7.0,5.0
8516629,Our time is coming.,A1,"time,future plans,emotions",7.0,7.0
10857016,Tell him I sent you.,A1,requests,7.0,7.0
298904,He is free to go there.,A1,"free time,travel,emotions",7.0,7.0
3726068,"I know what you were thinking, because I was thinking it, too.",A1,"emotions,language learning",7.0,5.0
6221430,Tom may not be at home today.,A1,"time,negation",7.0,6.0
11657109,Paul told Rima to stop.,A1,"requests,emotions",7.0,7.0
3831429,Your mother has always loved you.,A1,emotions,7.0,8.0
12498632,Did you tell the children a story?,A1,"books,negation,requests",7.0,7.0
753366,Let me drive your new Toyota.,A1,requests,7.0,8.0
7205448,Sami had class on Tuesdays and Fridays.,A1,"school,time",7.0,8.0
6709623,Sami was there for a reason.,A1,emotions,7.0,7.0
7450503,Why did she agree?,A1,"emotions,requests",7.0,7.0
7397465,She said she knew how I felt.,A1,emotions,7.0,8.0
2243331,They started running.,A1,"sports,emotions",7.0,9.0
8835796,I have a beach house.,A1,travel,7.0,7.0
312501,She has never seen it before.,A1,negation,7.0,8.0
7736539,We started doing that a week ago.,A1,"time,future plans",7.0,6.0
7213102,I told Tom what I had done.,A1,"language learning,emotions",7.0,8.0
8515758,She did everything she could to help him.,A1,"emotions,negation",7.0,8.0
4220036,Have a good week!,A1,"time,emotions",7.0,8.0
6362528,I saw a beautiful house.,A1,free time,7.0,7.0
10107940,Yanni is really good.,A1,"people,emotions",7.0,7.0
40586,Doubtless you have heard the news.,A1,news,7.0,5.0
8103152,The man is very old.,A1,emotions,7.0,5.0
7398875,She said she had a difficult day.,A1,emotions,7.0,7.0
3418621,Did you enjoy your Sunday?,A1,"time,emotions,free time",7.0,8.0
6254598,They'll come with their children.,A1,"future plans,family",7.0,6.0
10715874,I practice every day.,A1,"hobbies,free time",7.0,8.0
8520351,She asked if anyone knew anything about him.,A1,"negation,requests",7.0,7.0
64108,"May I use your car, Dad?",A1,"requests,free time",7.0,7.0
8037477,Telling lies is wrong.,A1,negation,7.0,6.0
6369787,"Whoa, wait a second there.",A1,"negation,requests",7.0,5.0
292101,He is a man of great ability.,A1,work,7.0,4.0
7294399,Sami and Layla got along a lot.,A1,emotions,7.0,8.0
8520221,He knows nothing about her.,A1,negation,7.0,6.0
3909967,Why do you want to see me?,A1,requests,7.0,8.0
13405468,This is the best school in town.,A1,school,7.0,8.0
12300710,Did you run all the way home?,A1,"time,emotions,future plans",7.0,7.0
9705496,It would be nice if I had a car.,A1,"requests,future plans",7.0,7.0
7733502,We should get there soon.,A1,"time,travel",6.0,7.0
9039611,We had to work together.,A1,work,6.0,6.0
5207752,I watch TV all the time.,A1,"free time,time",6.0,8.0
3917175,Did you buy these for us?,A1,requests,6.0,7.0
8348622,"You're the best, Lisa!",A1,emotions,6.0,8.0
4498104,I did everything.,A1,"work,goals",6.0,7.0
4502606,Think about your goals.,A1,goals,6.0,7.0
6529788,These are nice. How much are they?,A1,money,6.0,7.0
12694731,Did you enjoy school?,A1,school,6.0,7.0
3915792,I just got her off to school.,A1,school,6.0,8.0
3201306,Tell us about what you're doing.,A1,"free time,hobbies,work",6.0,7.0
11250757,They know everyone.,A1,"emotions,negation",6.0,6.0
7407182,They played with their children.,A1,"free time,emotions",6.0,8.0
8243932,Will they come today?,A1,"time,future plans,negation",6.0,7.0
12955456,He has got a point here.,A1,"emotions,requests",6.0,7.0
6273677,How safe is this car?,A1,free time,6.0,8.0
939883,Has she come or what?,A1,"time,future plans,requests",6.0,6.0
7203186,Sami was talking about something else.,A1,"free time,emotions",6.0,8.0
8071436,I wanted a big family.,A1,"emotions,future plans",6.0,5.0
7202527,Sami has been to college before.,A1,school,6.0,7.0
9479734,"Did you watch the video? ""Some of it.""",A1,"movies,free time",6.0,6.0
1886155,Did you get it?,A1,requests,6.0,8.0
7486360,Where did she buy them?,A1,travel,6.0,8.0
802385,They could not get there quickly.,A1,"time,negation,travel",6.0,8.0
12274999,How long were you alone?,A1,"time,emotions",6.0,7.0
2245345,Don't go away.,A1,"requests,negation",6.0,7.0
11677686,Alberto told Isabella to wait there.,A1,"requests,emotions",6.0,7.0
9510252,Your phone was off.,A1,"time,emotions,negation",6.0,7.0
3439512,You should look into it.,A1,requests,6.0,7.0
10598413,How often do you work out?,A1,"free time,sports",6.0,8.0
2568338,She's with her parents.,A1,"emotions,work",5.0,6.0
1879864,This is not my first time.,A1,negation,5.0,7.0
3625415,I did everything to become your friend.,A1,"emotions,goals",5.0,5.0
3200480,Did you tell them anything?,A1,"questions,negation",5.0,9.0
8543346,Help your friends.,A1,requests,5.0,7.0
6803329,I asked Tom about his work.,A1,work,5.0,7.0
4494486,Sooner would be better.,A1,time,5.0,5.0
10020101,Yanni is coming on Wednesday.,A1,time,5.0,7.0
2013571,"I want to be there, you know.",A1,goals,5.0,7.0
3916001,We should give them some space.,A1,requests,5.0,7.0
7404884,He does the best he can.,A1,work,5.0,7.0
8513451,He'll be here before her.,A1,time,5.0,6.0
9557103,You need to find her.,A1,requests,5.0,7.0
5990238,We never left the house.,A1,negation,5.0,7.0
11686159,What else was down there?,A1,free time,5.0,7.0
1879485,Where did you wear them?,A1,"clothes,questions",4.0,7.0
2250003,Stay and watch.,A1,free time,4.0,6.0
9289019,Who's behind all this?,A1,"questions,emotions",4.0,7.0
3200064,What haven't you told me?,A1,negation,4.0,6.0
8999575,I was in Hamburg.,A1,travel,4.0,7.0
11803829,We did not leave anything.,A1,negation,4.0,7.0
11557256,I work in town.,A1,work,4.0,7.0
11887140,Eat some candy.,A1,food,4.0,7.0
2930573,You had played.,A1,past time,4.0,5.0
2535041,You're thinking too much.,A1,"emotions,negation",4.0,6.0
274644,Where are all the others?,A1,negation,3.0,7.0
11829211,Ivan was late to the party.,A1,"time,free time",3.0,7.0
773552,I hear you.,A1,emotions,3.0,9.0
73939,"Yes, all right, says Mrs. Lee.",A1,,3.0,6.0
1078147,I am young.,A1,emotions,3.0,7.0
3393160,We should wait.,A1,free time,3.0,8.0
8790325,Skura and Nuja were late.,A1,time,3.0,6.0
3917172,Did you buy this for me?,A1,"requests,emotions",3.0,7.0
10518512,Why do you have more than one Facebook account?,A1,"social media,personal information",3.0,7.0
5879580,Why are you coming from that side?,A1,time,3.0,6.0
2405886,I said not now.,A1,"negation,time",3.0,8.0
11544402,Why didn't she go?,A1,negation,3.0,8.0
1151432,See you.,A1,"time,free time",3.0,7.0
11776160,Antonio and Rima both started talking.,A1,school,3.0,8.0
11793569,Santiago welcomed Rima.,A1,emotions,3.0,7.0
11216358,Where did you see these at?,A1,travel,3.0,7.0
10743045,Tell me what you think of my car.,A1,"free time,hobbies",3.0,8.0
11439085,I am alone.,A1,emotions,3.0,7.0
6767537,I miss the dog.,A1,"animals,emotions",3.0,6.0
11735287,"OK, let's get started.",A1,goals,3.0,7.0
2685770,My eyes have a problem.,A1,emotions,3.0,6.0
11439504,Rima and Skura were not right.,A1,negation,3.0,4.0
8931935,I did this alone.,A1,negation,3.0,7.0
6810176,Sami was short.,A1,emotions,3.0,3.0
13189643,Where is your dad?,A1,animals,3.0,7.0
11414852,Rima looked different.,A1,"emotions,people",3.0,5.0
11693074,Damiano said it again.,A1,negation,3.0,7.0
5573320,We do what we want to do.,A1,"emotions,free time,goals,negation",3.0,6.0
3138423,I am on the Internet.,A1,,2.0,7.0
12721053,Seven?,A1,time,2.0,3.0
3904941,I understand them.,A1,emotions,2.0,8.0
3727199,We can all do this.,A1,goals,2.0,8.0
62522,Ken's turn came.,A1,time,2.0,7.0
11118474,Do both match?,A1,negation,2.0,6.0
12304642,Each in turn.,A1,time,2.0,8.0
886966,She asked him questions.,A1,requests,2.0,8.0
5296357,This is not my key.,A1,negation,2.0,9.0
