id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
3183326,May I speak frankly?,,6396,frankly,4,speak,direct-address,formal,17,1
x17_1,Please do.,,203,please,2,do,direct-address,neutral,17,1
1839102,"Frankly speaking, he's wrong.",,6396,frankly,4,he's|speaking,descriptive,n/a,17,1
325412,"Frankly speaking, this novel isn't very interesting.",,6396,frankly,7,interesting,descriptive,n/a,17,1
4574323,"Frankly speaking, I don't think you have what it takes to become a teacher.",,6396,frankly,14,become|takes|teacher,direct-address,formal,17,1
x17_2,"That's harsh, but I appreciate the honesty.",,6973,honesty,7,harsh|honesty,direct-address,neutral,17,1
4495553,I disagree strongly.,,5981,disagree,3,strongly,descriptive,n/a,17,1
4529770,I disagree with that comment.,,5981,disagree,5,comment,descriptive,n/a,17,1
913836,Let's agree to disagree.,,5981,disagree,4,agree,direct-address,neutral,17,1
2891973,That would be treason.,,8558,treason,4,be|that|treason|would,descriptive,n/a,17,2
3372941,You should've called the cops.,,6029,should've,5,called|should've,direct-address,neutral,17,2
x17_3,"Maybe I should have, in hindsight.",,14323,hindsight,6,hindsight,descriptive,n/a,17,2
4495678,We probably should've applied for a visa much earlier.,,6029,should've,9,applied|earlier|much|probably,descriptive,n/a,17,2
3178461,We must've blown a fuse.,,12671,must've,5,must've,descriptive,n/a,17,2
296409,They must've skipped out of town.,,12671,must've,6,must've|of|out|skipped|they|town,descriptive,n/a,17,2
2291883,I appreciate your discretion.,,7867,discretion,4,appreciate|discretion,direct-address,formal,17,3
657067,I hope I can count on your discretion.,,7867,discretion,8,count|hope,direct-address,formal,17,3
x17_4,Absolutely. Not a word.,,1102,absolutely,4,word,direct-address,neutral,17,3
2111963,Be discreet.,,13317,discreet,2,discreet,direct-address,neutral,17,3
1860378,Don't worry. I'll be discreet.,,13317,discreet,5,worry,direct-address,informal,17,3
4495510,Parental discretion is advised.,,9192,parental,4,advised|parental,descriptive,n/a,17,3
2892392,Tonight is going to be awesome.,,1249,awesome,6,tonight,descriptive,n/a,17,4
2953621,We had an awesome time at the zoo.,,5626,zoo,8,at|had|time|zoo,descriptive,n/a,17,4
4529505,It was an awesome accomplishment.,,10208,accomplishment,5,accomplishment,descriptive,n/a,17,4
3831393,Your resume is very impressive.,,5776,resume,5,impressive,direct-address,neutral,17,4
4500212,We were duly impressed.,,13201,duly,4,duly|impressed,descriptive,n/a,17,4
5938352,I was duly impressed.,,13201,duly,4,duly|i|impressed|was,descriptive,n/a,17,4
4493937,The possibilities are infinite.,,5857,possibilities,4,infinite|possibilities,descriptive,n/a,17,4
4496421,The changes are startling.,,13719,startling,4,startling,descriptive,n/a,17,4
249398,We live in a democratic society.,,1876,democratic,6,a|democratic|in|live|society|we,descriptive,n/a,17,5
4494710,This is a huge honor.,,2058,honor,5,huge|is|this,descriptive,n/a,17,6
4963977,I'm on the honor roll.,,2058,honor,5,roll,descriptive,n/a,17,6
2546682,I'll honor your wishes.,,3939,wishes,4,wishes,direct-address,neutral,17,6
2202948,You're honorable.,,8848,honorable,2,honorable,direct-address,neutral,17,6
715037,There is no honor among thieves.,,8675,thieves,6,among|thieves,descriptive,n/a,17,6
1925378,It's your civic duty to vote.,,6857,civic,6,civic|duty|vote,descriptive,n/a,17,6
3825036,I'm just doing my civic duty.,,6857,civic,6,civic|doing|duty|i'm|just|my,descriptive,n/a,17,6
3370778,Mary is the maid of honor.,,8322,maid,6,maid,descriptive,n/a,17,6
2214310,You're kind of cute when you're mad.,,2229,cute,7,mad,direct-address,informal,17,7
5649044,Cats are cute.,,3187,cats,3,cats,descriptive,n/a,17,7
5287944,Baby ducks are cute.,,7872,ducks,4,baby|ducks,descriptive,n/a,17,7
4774124,Mary looks cute no matter what she wears.,,6157,wears,8,looks|matter|she|wears,descriptive,n/a,17,7
1927429,The girl who works at that bakery is cute.,,10432,bakery,9,bakery|girl|works,descriptive,n/a,17,7
2248668,Isn't it stunning?,,4483,stunning,3,isn't|stunning,direct-address,neutral,17,7
1493355,Mary looks absolutely stunning.,,4483,stunning,4,absolutely,descriptive,n/a,17,7
2255041,You look marvelous.,,12170,marvelous,3,marvelous,direct-address,neutral,17,7
51975,There were lots of people in the stadium.,,2349,stadium,8,lots|of|people|there|were,descriptive,n/a,17,8
324095,There were a lot of excited fans in the stadium.,,2349,stadium,10,fans,descriptive,n/a,17,8
324097,The stadium was packed with excited spectators.,,10665,spectators,7,excited|packed|spectators,descriptive,n/a,17,8
257329,"I arrived at the stadium at 4:00 p.m., but the game had already started.",,2349,stadium,14,arrived|m|p|started,descriptive,n/a,17,8
1306579,His ID was fake.,,2428,id,4,fake|his|was,descriptive,n/a,17,9
4501768,Proper ID is required.,,2428,id,4,proper,descriptive,n/a,17,9
2539771,I'm going to need to see a photo ID.,,2428,id,9,photo,direct-address,neutral,17,9
x17_18,I left mine in the car.,,959,mine,6,car,descriptive,n/a,17,9
5573336,Bring your student ID card.,,2428,id,5,bring|student,direct-address,neutral,17,9
915843,I need to renew my ID card.,,9798,renew,7,card|renew,descriptive,n/a,17,9
2951634,Do you have identification?,,5233,identification,4,identification,direct-address,neutral,17,9
2539753,I'm not carrying any identification.,,5233,identification,5,carrying,descriptive,n/a,17,9
6126559,Where did you get this info?,,2469,info,6,get|where,direct-address,neutral,17,10
x17_19,I'd rather not say.,,469,rather,4,rather,descriptive,n/a,17,10
1886284,Can anyone verify that?,,8157,verify,4,anyone|verify,direct-address,neutral,17,10
3469016,Let me verify that.,,8157,verify,4,let,direct-address,neutral,17,10
2951605,Could you verify that your computer is plugged in?,,13249,plugged,9,computer|plugged,direct-address,formal,17,10
2282183,I grew up in a mining town.,,2668,mining,7,grew|mining|town|up,descriptive,n/a,17,11
2248128,I'm not Catholic.,,2697,catholic,3,catholic|not,descriptive,n/a,17,12
2012964,I think I want to be a monk.,,7591,monk,8,a|be|i|monk|think|to|want,descriptive,n/a,17,12
1886325,Are you really a nun?,,10867,nun,5,nun,direct-address,neutral,17,12
3821862,Mary wants to be a nun.,,10867,nun,6,wants,descriptive,n/a,17,12
1030055,Mary lived in a convent for a few months.,,12742,convent,9,convent|few|months,descriptive,n/a,17,12
2045839,The preacher gave a beautiful sermon.,,11473,sermon,6,preacher|sermon,descriptive,n/a,17,12
5825325,The sermon was awfully long.,,13513,awfully,5,awfully|long|sermon|the|was,descriptive,n/a,17,12
4197700,Anybody wanna grab something to eat with me?,,2872,grab,8,anybody|eat|grab|me|something|with,direct-address,informal,17,13
4015518,Maybe therapy would help.,,2898,therapy,4,help|maybe,descriptive,n/a,17,14
5853128,I'm a therapist.,,7219,therapist,3,therapist,descriptive,n/a,17,14
2546528,I'm seeing a therapist.,,7219,therapist,4,seeing,descriptive,n/a,17,14
3115673,I've been in therapy since I was thirteen.,,8053,thirteen,8,been|i|i've|in|since|therapy|thirteen|was,descriptive,n/a,17,14
2248975,It'll be therapeutic.,,8459,therapeutic,3,therapeutic,descriptive,n/a,17,14
4494388,Cookie is a therapy dog.,,6189,cookie,5,cookie|dog,descriptive,n/a,17,14
2439795,These allegations are ridiculous.,,6052,allegations,4,allegations|ridiculous|these,descriptive,n/a,17,15
4495576,Are these allegations true?,,6052,allegations,4,true,direct-address,neutral,17,15
x17_14,Not as far as I know.,,288,far,6,far,descriptive,n/a,17,15
1010102,Can you prove the allegations?,,6052,allegations,5,prove,direct-address,neutral,17,15
4529921,It's an absurd allegation.,,12460,allegation,4,absurd|allegation,descriptive,n/a,17,15
4529631,It's a very serious allegation.,,12460,allegation,5,a|allegation|it's|serious|very,descriptive,n/a,17,15
4816773,No DNA evidence was found.,,3027,dna,5,dna|evidence|found|no,descriptive,n/a,17,15
886942,She allegedly murdered him.,,6267,allegedly,4,allegedly|murdered,descriptive,n/a,17,15
4853376,Depression is an awful thing.,,3181,awful,5,awful|depression|thing,descriptive,n/a,17,16
5859027,I became depressed.,,5550,depressed,3,became,descriptive,n/a,17,16
2406819,I suddenly feel depressed.,,5550,depressed,4,suddenly,descriptive,n/a,17,16
3825401,"When it rains, I get depressed.",,8529,rains,6,rains,descriptive,n/a,17,16
1838385,I'd be depressed if they asked me to quit the team.,,5550,depressed,11,team,descriptive,n/a,17,16
2220428,That sounds depressing.,,8591,depressing,3,sounds,descriptive,n/a,17,16
4497207,It was truly depressing.,,8591,depressing,4,truly,descriptive,n/a,17,16
6099149,It's a depressing prospect.,,8591,depressing,4,prospect,descriptive,n/a,17,16
2291828,I always eat junk food when I'm depressed.,,6594,junk,8,junk,descriptive,n/a,17,16
1048296,I'm slightly hungry.,,3279,hungry,3,slightly,descriptive,n/a,17,17
1771706,I'm super hungry.,,3279,hungry,3,super,descriptive,n/a,17,17
2648516,I'm fairly hungry.,,3279,hungry,3,fairly,descriptive,n/a,17,17
x17_5,Then let's grab something.,,2872,grab,4,grab,direct-address,informal,17,17
2764199,"Mom, I'm hungry.",,3279,hungry,3,mom,direct-address,informal,17,17
2294114,I bet you're hungry.,,3279,hungry,4,bet,direct-address,neutral,17,17
2544089,I'm starting to get hungry.,,3279,hungry,5,starting,descriptive,n/a,17,18
295966,He's power-hungry.,,3279,hungry,3,power,descriptive,n/a,17,18
2951990,I didn't realize you were hungry.,,3279,hungry,6,realize,direct-address,neutral,17,18
x17_6,I didn't want to be a bother.,,3634,bother,7,bother,descriptive,n/a,17,18
