id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
505870,After you.,10.00,80,after,2,after,direct-address,neutral,02,1
x2_1,Thank you.,,309,thank,2,thank,direct-address,neutral,02,1
1579,"Oh, I'm sorry.",10.00,671,sorry,3,oh,direct-address,neutral,02,2
x2_2,It's all right.,,113,right,3,right,descriptive,n/a,02,2
3130463,"Hey, come here.",10.00,776,hey,3,hey,direct-address,informal,02,3
3130462,"Hi, come on in.",10.00,1067,hi,4,hi,direct-address,informal,02,3
567368,I'm a student.,10.00,1019,student,3,student,descriptive,n/a,02,4
707431,We're students.,9.00,555,students,2,students|we're,descriptive,n/a,02,4
2111238,They're students.,8.00,555,students,2,students,descriptive,n/a,02,4
2300258,I came to say hi.,10.00,1067,hi,5,came|hi|i|say|to,descriptive,n/a,02,5
1898375,Hey. I know you.,9.00,776,hey,4,hey|i|know|you,direct-address,informal,02,5
3269279,"How do you say ""hello"" in French?",10.00,1927,hello,7,do|french|hello|how|in|say|you,direct-address,neutral,02,6
1649,How do you say that in Italian?,9.00,2192,italian,7,italian,direct-address,neutral,02,6
3593993,That's a good thing.,9.00,179,thing,4,a|good|that's|thing,descriptive,n/a,02,7
1808247,This looks good.,9.00,427,looks,3,looks,descriptive,n/a,02,7
1054512,Where is the school?,9.00,183,school,4,school|the,descriptive,n/a,02,8
3010582,Where have they gone?,8.00,682,gone,4,gone,descriptive,n/a,02,8
3123662,Where are the women?,7.00,239,women,4,are|the|where|women,descriptive,n/a,02,8
2218133,You're doing great.,9.00,220,doing,3,doing,direct-address,neutral,02,9
2645593,"Yeah, isn't that great?",8.00,419,yeah,4,yeah,direct-address,informal,02,9
35504,"Yes, I know.",9.00,294,yes,3,yes,descriptive,n/a,02,10
433589,"Yes, I know it.",9.00,294,yes,4,i|it|know|yes,descriptive,n/a,02,10
305484,Are they American?,9.00,296,american,3,american|are|they,descriptive,n/a,02,11
287965,Is he American?,8.00,296,american,3,american,descriptive,n/a,02,11
x2_8,"Yes, he is.",,294,yes,3,yes,descriptive,n/a,02,11
2241438,We saw it.,9.00,450,saw,3,saw,descriptive,n/a,02,12
2241441,We saw you.,9.00,450,saw,3,saw|we|you,direct-address,neutral,02,12
24426,What is the price?,9.00,582,price,4,is|price|the|what,descriptive,n/a,02,13
x2_9,It's ten dollars.,,1702,dollars,3,dollars,descriptive,n/a,02,13
3109222,"I'll miss you, too.",9.00,598,miss,4,miss,direct-address,neutral,02,14
423405,It's hot.,9.00,700,hot,2,hot,descriptive,n/a,02,15
455953,I'm hot.,8.00,700,hot,2,hot|i'm,descriptive,n/a,02,15
x2_3,Where do you come from?,,157,come,5,come,direct-address,neutral,02,16
253219,I come from Australia.,9.00,911,australia,4,australia|come|from|i,descriptive,n/a,02,16
255520,I come from Brazil.,9.00,2550,brazil,4,brazil,descriptive,n/a,02,16
288977,He comes from England.,8.00,773,england,4,england,descriptive,n/a,02,16
1913088,Listen.,9.00,918,listen,1,listen,direct-address,informal,02,17
3096280,Thanks for seeing me.,9.00,966,seeing,4,for|me|seeing|thanks,direct-address,neutral,02,18
2250082,Thanks for asking.,9.00,1146,asking,3,asking,direct-address,neutral,02,18
2250087,Thanks for understanding.,8.00,1606,understanding,3,for|thanks|understanding,direct-address,formal,02,18
1123762,Is he Japanese?,8.00,1624,japanese,3,japanese,descriptive,n/a,02,19
x2_15,"No, he's Chinese.",,1033,chinese,3,he's,descriptive,n/a,02,19
335138,I am Chinese.,9.00,1033,chinese,3,chinese,descriptive,n/a,02,19
4397567,That's my dad.,9.00,1170,dad,3,dad,descriptive,n/a,02,20
2645642,What's your dad's name?,8.00,8934,dad's,4,dad's,direct-address,neutral,02,20
5374921,My dad's not here.,8.00,8934,dad's,4,dad's|here|my|not,descriptive,n/a,02,20
1046142,I think my German isn't very good.,9.00,1175,german,7,german|good|i|isn't|my|think|very,descriptive,n/a,02,21
1784,I don't understand German.,8.00,1175,german,4,german,descriptive,n/a,02,21
259803,I live in Japan.,9.00,1357,japan,4,i|in|japan|live,descriptive,n/a,02,22
456735,She lives in New York.,8.00,737,lives,5,york,descriptive,n/a,02,22
4012786,How long have you lived there?,9.00,1386,lived,6,have|how|lived|long|there|you,direct-address,neutral,02,23
3343227,Have you lived here long?,8.00,1386,lived,5,lived,direct-address,neutral,02,23
3442128,How long have you known?,8.00,389,known,5,known,direct-address,neutral,02,23
472091,I study Korean.,9.00,3046,korean,3,korean,descriptive,n/a,02,24
2300257,I came to say goodbye.,9.00,4241,goodbye,5,came|goodbye|i|say|to,descriptive,n/a,02,25
1126721,Why are you saying goodbye?,7.00,4241,goodbye,5,goodbye,direct-address,neutral,02,25
5042310,Do you like it or not?,8.00,50,do,6,do|it|like|not|or|you,direct-address,neutral,02,26
x2_19,"Yes, I like it.",,294,yes,4,like,descriptive,n/a,02,26
2252700,These are good.,8.00,94,these,3,these,descriptive,n/a,02,27
2544716,I'm not having a good day.,8.00,227,having,6,having,descriptive,n/a,02,27
1689909,I do it because I have to.,8.00,97,because,7,because,descriptive,n/a,02,28
2163138,May I go?,8.00,108,may,3,may,direct-address,formal,02,29
2083032,I'll go on Sunday.,8.00,1275,sunday,4,sunday,descriptive,n/a,02,29
3738218,Do you know that man?,8.00,145,man,5,do|know|man|that|you,direct-address,neutral,02,30
2891092,Do you know what it says?,8.00,303,says,6,says,direct-address,neutral,02,30
1885906,How does this look?,8.00,172,does,4,does,direct-address,neutral,02,31
2272034,It doesn't look good.,8.00,264,doesn't,4,doesn't,descriptive,n/a,02,31
2245527,Give me those.,8.00,180,give,3,give|me|those,direct-address,informal,02,32
2111934,Come again.,8.00,184,again,2,again|come,direct-address,neutral,02,33
998503,He wants to come with us.,8.00,571,wants,6,wants|with,descriptive,n/a,02,33
2546200,I thought you said 2:30.,8.00,229,thought,4,i|said|thought|you,direct-address,neutral,02,34
2647341,What are you making?,8.00,257,making,4,making,direct-address,neutral,02,35
511884,What do you make?,5.00,87,make,4,make,direct-address,neutral,02,35
237944,How are you making out?,4.00,257,making,5,are|how|making|out|you,direct-address,informal,02,35
1349059,I'm reading.,8.00,742,reading,2,reading,descriptive,n/a,02,36
1098659,Read this.,8.00,259,read,2,read,direct-address,informal,02,36
6029197,"Do you have this in black, too?",8.00,318,black,7,black|do|have|in|this|too|you,direct-address,neutral,02,37
x2_10,"Yes, we do.",,294,yes,3,we,descriptive,n/a,02,37
2880322,What makes you think that?,8.00,322,makes,5,makes,direct-address,neutral,02,38
1872056,I'm happy.,8.00,434,happy,2,happy,descriptive,n/a,02,39
x2_21,Why are you happy?,,434,happy,4,why,direct-address,neutral,02,39
320080,Don't ask.,8.00,444,ask,2,ask,direct-address,informal,02,40
1841646,I'll ask him.,8.00,444,ask,3,him,descriptive,n/a,02,40
1886532,Why are you asking?,7.00,1146,asking,4,are|asking|why|you,direct-address,neutral,02,40
1954282,Watch me.,8.00,452,watch,2,watch,direct-address,informal,02,41
1954283,Watch us.,8.00,452,watch,2,us|watch,direct-address,informal,02,41
1050988,I like living here.,8.00,493,living,4,living,descriptive,n/a,02,42
1125674,Where are you living?,8.00,493,living,4,are|living|where|you,direct-address,neutral,02,42
2240787,We're fine here.,8.00,576,fine,3,fine|here|we're,descriptive,n/a,02,43
1885871,How'd you get here?,8.00,13560,how'd,4,how'd,direct-address,informal,02,43
1495883,Where are my books?,8.00,719,books,4,are|books|my|where,descriptive,n/a,02,44
671434,Where are the boys?,7.00,974,boys,4,boys,descriptive,n/a,02,44
267239,Where are the girls?,7.00,680,girls,4,girls,descriptive,n/a,02,44
4501970,See you in October.,8.00,803,october,4,october,direct-address,informal,02,45
2203796,We'll see.,8.00,1367,we'll,2,we'll,descriptive,n/a,02,45
314454,She knows me.,8.00,895,knows,3,knows,descriptive,n/a,02,46
449023,No one knows.,7.00,895,knows,3,knows|no|one,descriptive,n/a,02,46
64428,Thank you for writing.,8.00,909,writing,4,for|thank|writing|you,direct-address,formal,02,47
1358780,How about Friday?,8.00,1155,friday,3,friday,direct-address,neutral,02,48
x2_12,Friday is good for me.,,1155,friday,5,good,descriptive,n/a,02,48
469126,She's my sister.,8.00,1195,sister,3,my|she's|sister,descriptive,n/a,02,49
245559,Say hello to your sister for me.,8.00,1927,hello,7,hello,direct-address,neutral,02,49
1495807,What's your sister's name?,8.00,11474,sister's,4,sister's,direct-address,neutral,02,49
x2_4,Her name is Mary.,,1715,mary,4,her,descriptive,n/a,02,49
2545954,I'm not good with names.,8.00,1302,names,5,good|i'm|names|not|with,descriptive,n/a,02,50
2248965,It'll be good.,8.00,2564,it'll,3,be|good|it'll,descriptive,n/a,02,50
1920819,I don't drink.,8.00,1322,drink,3,don't|drink|i,descriptive,n/a,02,51
2244942,Are you drinking?,7.00,1976,drinking,3,drinking,direct-address,informal,02,51
2254568,What're you drinking?,8.00,14877,what're,3,drinking|you,direct-address,informal,02,51
18547,I'm broke.,8.00,1465,broke,2,broke,descriptive,n/a,02,52
2107334,We're broke.,7.00,1465,broke,2,broke|we're,descriptive,n/a,02,52
