German;Spanish
Guten Morgen;Buenos días
Wie geht es dir?;¿Cómo estás?
Ich heiße Anna;Me llamo Anna
Ich komme aus Deutschland;Soy de Alemania
Wo ist der Bahnhof?;¿Dónde está la estación?
Ich möchte einen Kaffee, bitte;Quiero un café, por favor
Das Buch liegt auf dem Tisch;El libro está sobre la mesa
Heute ist das Wetter schön;Hoy hace buen tiempo
Ich lerne jeden Tag Spanisch;Aprendo español todos los días
Kannst du mir helfen?;¿Puedes ayudarme?
Ich habe gestern einen Film gesehen;Ayer vi una película
Meine Familie wohnt in Berlin;Mi familia vive en Berlín
Der Zug fährt um acht Uhr ab;El tren sale a las ocho
Ich verstehe das nicht;No entiendo eso
Vielen Dank für deine Hilfe;Muchas gracias por tu ayuda
