id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
2011618,We want to negotiate.,,6991,negotiate,4,negotiate,descriptive,n/a,16,1
5842332,How long do you think the negotiations will take?,,4976,negotiations,9,how|long|negotiations|will,direct-address,neutral,16,1
x16_1,It's hard to say — these things rarely move quickly.,,3488,rarely,9,rarely|move|quickly,descriptive,n/a,16,1
4881177,It would be inappropriate to discuss that now.,,6974,inappropriate,8,discuss|inappropriate,descriptive,n/a,16,1
6117953,I think that what you did was inappropriate.,,6974,inappropriate,8,did|i|inappropriate|that|think|was|what|you,direct-address,neutral,16,1
x16_2,Where do you stand on this?,,745,stand,6,stand,direct-address,neutral,16,1
x16_3,"I'm leaning toward agreement, but I have reservations.",,9104,reservations,8,leaning|reservations,descriptive,n/a,16,1
2718587,I should've quit smoking a long time ago.,,6029,should've,8,should've,descriptive,n/a,16,2
x16_4,What's stopping you now?,,4346,stopping,4,stopping,direct-address,neutral,16,2
2640009,Somebody must've taken your umbrella by mistake.,,12671,must've,7,mistake|must've|somebody,direct-address,neutral,16,2
2406858,I suppose everyone thinks I'm being a little too picky.,,14356,picky,10,picky|suppose|thinks,descriptive,n/a,16,2
1008767,It would be counter-productive to do such a thing.,,4888,productive,10,counter|productive|such|thing|would,descriptive,n/a,16,2
30660,"With his support, she might have been elected mayor.",,2376,mayor,9,support,descriptive,n/a,16,2
6029385,"First and foremost, I'd like to thank you all.",,9171,foremost,9,foremost,direct-address,formal,16,3
x16_5,Thank you — that means a great deal to us.,,468,deal,9,deal,direct-address,formal,16,3
24756,I don't have the slightest idea what to do.,,9339,slightest,9,slightest,descriptive,n/a,16,3
5607806,You don't need to be a rocket scientist to figure that out.,,4989,scientist,12,figure|need|rocket|scientist,direct-address,informal,16,3
x16_6,Fair point — it's more obvious than I thought.,,2341,obvious,8,obvious|fair,descriptive,n/a,16,3
1937696,No one seems to have the guts to do that anymore.,,9285,guts,11,guts|seems,descriptive,n/a,16,3
5851669,I often shop online.,,1396,shop,4,i|often|online|shop,descriptive,n/a,16,4
953124,Are you seriously thinking about selling this online?,,1631,selling,8,about|are|selling|seriously|thinking|this|you,direct-address,neutral,16,4
4715765,I've found this website to be extremely useful.,,1956,useful,8,be|found|i've|to|useful|website,descriptive,n/a,16,4
953137,"As soon as I can get a decent video camera, I'll start making videos to put online.",,3578,decent,17,as|camera|can|decent|get|making|put|soon|start|video|videos,descriptive,n/a,16,4
4954820,"My first job was at a travel agency, and I didn't like it much.",,1403,agency,14,a|agency|and|at|didn't|first|it|job|like|much|my|travel|was,descriptive,n/a,16,5
2646778,We're extremely busy.,,1797,busy,3,busy|extremely|we're,descriptive,n/a,16,5
300476,He dedicated his life to helping the poor.,,2553,dedicated,8,dedicated|helping|his|life|poor,descriptive,n/a,16,5
2031948,I want to dedicate all my time to this project.,,12381,dedicate,10,dedicate|project,descriptive,n/a,16,5
4497413,"Unfortunately, many people don't trust us anymore.",,2396,unfortunately,7,anymore|don't|many|people|trust|unfortunately|us,descriptive,n/a,16,6
4876869,"Unfortunately, this house has already been sold.",,2396,unfortunately,7,already|been|has|house|sold,descriptive,n/a,16,7
1721051,It's an extreme case.,,2463,extreme,4,an|case|extreme|it's,descriptive,n/a,16,8
326926,I hear you've done some pretty extreme stuff.,,2463,extreme,8,done|hear|pretty|some|stuff|you've,direct-address,neutral,16,8
388855,The coat she said she wanted was extremely expensive.,,3821,coat,9,coat|expensive|wanted,descriptive,n/a,16,8
35033,It is extremely hot and humid in Bali in December.,,12512,humid,10,bali|december|hot|humid,descriptive,n/a,16,8
2952166,I have to attend a meeting this afternoon.,,2693,attend,8,afternoon|have,descriptive,n/a,16,9
4081902,I won't be able to attend the conference.,,2693,attend,8,able,descriptive,n/a,16,9
250905,My wife did not attend the party and neither did I.,,2693,attend,11,neither,descriptive,n/a,16,9
312940,She quit the company.,,2783,quit,4,company|quit|she,descriptive,n/a,16,10
6033403,I knew when to quit.,,2783,quit,5,knew,descriptive,n/a,16,10
3129838,I wish things like this would quit happening.,,2783,quit,8,happening,descriptive,n/a,16,10
x16_8,What made you change your mind?,,369,mind,6,mind|change,direct-address,neutral,16,11
6096897,Aren't you still planning to quit your job?,,2783,quit,8,planning,direct-address,neutral,16,11
x16_9,I haven't made up my mind yet.,,797,haven't,7,mind,descriptive,n/a,16,11
2952889,I'm willing to quit if you want me to.,,2783,quit,9,willing,direct-address,neutral,16,11
2584965,Is it really important to you why I quit smoking?,,2892,smoking,10,important|really|smoking|why,direct-address,neutral,16,11
3822995,My neighborhood is a nice place to live.,,2986,neighborhood,8,nice,descriptive,n/a,16,12
4662871,This is considered an upper-middle-class neighborhood.,,2986,neighborhood,8,class|upper,descriptive,n/a,16,12
4663034,There are many old buildings in our neighborhood.,,2986,neighborhood,8,buildings,descriptive,n/a,16,12
244732,A fire broke out in my neighborhood last night.,,2986,neighborhood,9,broke,descriptive,n/a,16,13
4496145,"Recently, a few houses in our neighborhood have been broken into.",,2986,neighborhood,11,recently,descriptive,n/a,16,13
6555138,Last week's storm damaged many trees in our neighborhood.,,6457,week's,9,damaged|week's,descriptive,n/a,16,13
953163,Could you describe to the jury what happened?,,3044,jury,8,could|describe|happened|jury|what,direct-address,formal,16,14
5821882,How long do you think the jury will take before they reach a verdict?,,6644,verdict,14,reach|verdict,direct-address,neutral,16,14
2276015,I don't have a badge.,,6658,badge,5,badge,descriptive,n/a,16,14
2271982,I won't plead guilty.,,10983,plead,4,guilty|plead,descriptive,n/a,16,14
324813,The whereabouts of the suspect is still unknown.,,12102,whereabouts,8,suspect|unknown|whereabouts,descriptive,n/a,16,14
3428701,It's more complicated than I originally thought.,,3129,complicated,7,originally,descriptive,n/a,16,15
x16_11,What's the rationale behind it?,,634,what's,5,rationale,descriptive,n/a,16,15
x16_12,"It's hard to explain, but bear with me.",,1968,bear,8,bear,direct-address,neutral,16,15
4309887,Everything is becoming more and more complicated.,,3129,complicated,7,becoming,descriptive,n/a,16,15
5839834,How can something so simple become so complicated?,,3129,complicated,8,simple,direct-address,neutral,16,15
40009,I have a complicated matter I want to discuss with you.,,3129,complicated,11,matter,direct-address,formal,16,15
2462570,I'll be back shortly.,,3168,shortly,4,back|i'll|shortly,descriptive,n/a,16,16
325287,The radio station came back on the air shortly after the storm.,,3168,shortly,12,after|air|came|on|radio|station|storm,descriptive,n/a,16,16
3147964,Items with a red price tag are on sale.,,3368,tag,9,items|price|red|sale|tag|with,descriptive,n/a,16,17
3148002,Can you please help me put price tags on everything?,,8793,tags,10,everything|help|tags,direct-address,neutral,16,17
2050682,We're playing tag. Do you want to play with us?,,3368,tag,10,play|playing,direct-address,informal,16,17
5624149,We're expecting a lot of people to attend the ceremony.,,3459,expecting,10,ceremony|expecting|lot,descriptive,n/a,16,18
1860510,Don't be so dramatic.,,3521,dramatic,4,dramatic|so,direct-address,informal,16,18
1860506,Don't be so outraged.,,11682,outraged,4,outraged,direct-address,informal,16,18
278931,There was a sudden change in the weather.,,3621,sudden,8,change|in|sudden|there|weather,descriptive,n/a,16,19
280724,"All of a sudden, all the lights went out.",,3621,sudden,9,all|lights|out|went,descriptive,n/a,16,19
63977,"All of a sudden, my mother began to sing.",,3621,sudden,9,began|sing,descriptive,n/a,16,19
48320,Please wait for me at the entrance of the building.,,3650,entrance,10,building|entrance|please|wait,direct-address,neutral,16,20
281906,We are supposed to take off our shoes at the entrance.,,3650,entrance,11,off|our|shoes|supposed|take|we,descriptive,n/a,16,20
2259483,There was a crowd of people at the entrance of the theater.,,3933,theater,12,crowd|theater,descriptive,n/a,16,20
1458160,Where's the entrance?,,6046,where's,3,where's,direct-address,neutral,16,20
2044915,I wish you both a lifetime of happiness.,,3663,lifetime,8,both|happiness|lifetime,direct-address,formal,16,21
4499128,That isn't likely to happen in my lifetime.,,3663,lifetime,8,happen|isn't|likely,descriptive,n/a,16,21
4502478,Is it true that illegal immigrants are taking jobs away from citizens who want them?,,3775,immigrants,15,away|citizens|from|illegal|immigrants|jobs|taking|them|true,direct-address,neutral,16,22
x16_13,The evidence on that is mixed.,,2285,mixed,6,evidence|mixed,descriptive,n/a,16,22
2030030,I want my children to have dual citizenship.,,5892,citizenship,8,citizenship|dual,descriptive,n/a,16,22
880509,Can you tell me how you get to the American Embassy?,,5663,embassy,11,american|embassy,direct-address,neutral,16,22
2647056,This is an exception.,,3891,exception,4,exception,descriptive,n/a,16,23
2808218,I don't think we can make an exception.,,3891,exception,8,make|think,direct-address,neutral,16,23
x16_21,On what basis are you refusing?,,7010,refusing,6,basis|refusing,direct-address,formal,16,23
47240,I'm not at liberty to tell you about the incident.,,3973,liberty,10,i'm|incident|liberty|tell,direct-address,formal,16,24
5945185,"If you value your liberty, you have to fight for it.",,3973,liberty,11,fight|if|value|your,direct-address,neutral,16,24
2947375,The right arm of the Statue of Liberty is 42 feet long.,,6033,statue,11,arm|feet|right|statue,descriptive,n/a,16,24
3071620,Let's total up our expenses for the month.,,4025,expenses,8,expenses|let's|month|total|up,direct-address,neutral,16,25
6249436,Let me pay my share of the expenses.,,4025,expenses,8,let|pay|share,direct-address,neutral,16,25
73491,One hundred dollars will cover all your expenses for the trip.,,4025,expenses,11,dollars|hundred,direct-address,neutral,16,25
1737644,We're having a blast.,,4079,blast,4,blast|having,descriptive,n/a,16,26
4529008,We have three adopted children and two biological children.,,4149,biological,9,adopted|biological|children|three|two,descriptive,n/a,16,27
5821620,Young children are incapable of abstract thinking.,,9881,incapable,7,abstract|incapable|young,descriptive,n/a,16,27
5833188,How do you know if your child is ready for preschool?,,12427,preschool,11,preschool|ready,direct-address,neutral,16,27
x16_14,"Honestly, you just know — it varies child by child.",,7530,varies,9,varies,direct-address,neutral,16,27
3184103,You should go to bed. It's almost midnight.,,4190,midnight,8,almost|bed|go|midnight|should,direct-address,neutral,16,28
5907679,I almost always go to bed before midnight.,,4190,midnight,8,always|before,descriptive,n/a,16,28
4380174,One hour of sleep before midnight is worth two hours after.,,4190,midnight,11,worth,descriptive,n/a,16,28
1836483,There is a toy shop in the neighborhood.,,4277,toy,8,toy,descriptive,n/a,16,29
28330,"When I was a child, my mother would often read fairy tales to me.",,6086,fairy,14,child|fairy|mother|read|tales,descriptive,n/a,16,29
299618,He was very naughty when he was a little boy.,,8633,naughty,10,boy|naughty,descriptive,n/a,16,29
280693,"All of a sudden, the fire alarm went off.",,4360,alarm,9,alarm|fire,descriptive,n/a,16,30
661135,He's studying hard so he can pass the entrance exam.,,4523,exam,10,exam|hard|he's|pass|studying,descriptive,n/a,16,31
2952329,I learned that when I was in kindergarten.,,9077,kindergarten,8,learned,descriptive,n/a,16,31
2951585,Can you remember your kindergarten teacher's name?,,13493,teacher's,7,name|teacher's,direct-address,neutral,16,31
x16_10,It's not always that simple.,,875,simple,5,simple,descriptive,n/a,16,32
293087,"Now that he has quit his job, I can't depend on him.",,5028,depend,12,can't|depend|him|now,descriptive,n/a,16,32
886920,"She advised him to take a long holiday, so he immediately quit work and took a trip around the world.",,5190,advised,20,advised|around|holiday|immediately|took|trip|work|world,descriptive,n/a,16,32
2025885,I want the two of you to quit arguing.,,4576,arguing,9,arguing,direct-address,neutral,16,32
4498179,Tickets are $30 per person and $13 for designated drivers.,,4588,designated,8,designated|drivers|per|person|tickets,descriptive,n/a,16,33
2492421,"The last time we all went out drinking, I was the designated driver.",,4588,designated,13,drinking|driver|time,descriptive,n/a,16,33
305637,They are on good terms with their neighbors.,,4698,neighbors,8,terms,descriptive,n/a,16,34
681231,We invited our new neighbors over for a drink.,,4698,neighbors,9,drink|invited,descriptive,n/a,16,34
703095,"We don't like our neighbors, and they don't like us, either.",,4698,neighbors,11,either,descriptive,n/a,16,34
1234946,"While they were away on vacation, their neighbors looked after the dog.",,4698,neighbors,12,looked|vacation,descriptive,n/a,16,35
325950,Let's ask the neighbors to look after the dog while we're away.,,4698,neighbors,12,ask,direct-address,neutral,16,35
2270763,"Hi. If I'm not mistaken, you're our new neighbors, aren't you?",,7089,mistaken,11,aren't|hi|mistaken|new,direct-address,informal,16,35
2028634,I want the recipe for this. It's delicious.,,4802,recipe,8,delicious|recipe,direct-address,neutral,16,36
2272055,It won't be pleasant.,,4886,pleasant,4,pleasant|won't,descriptive,n/a,16,36
4704215,The unemployment rate in Japan was 3.4 percent in September of 2015.,,4907,unemployment,10,japan|percent|rate|september|unemployment,descriptive,n/a,16,37
281719,Lots of people in Japan are indifferent to politics.,,13218,indifferent,9,indifferent|politics,descriptive,n/a,16,37
2255406,You've been infected.,,5678,infected,3,infected,direct-address,neutral,16,38
4255978,Laser surgery can fix some kinds of vision problems.,,5048,laser,9,fix|kinds|laser|problems|surgery|vision,descriptive,n/a,16,38
6097293,That created some confusion.,,5110,confusion,4,confusion|created,descriptive,n/a,16,39
4015223,Are you saying I have no sense of humor?,,5130,humor,9,saying,direct-address,neutral,16,39
32022,It's a pity that Mary has no sense of humor.,,7096,pity,10,pity,descriptive,n/a,16,39
5701930,I hope I didn't make you feel uncomfortable.,,5182,uncomfortable,8,feel|hope|uncomfortable,direct-address,neutral,16,40
5821396,I hope we didn't make you feel uncomfortable today.,,5182,uncomfortable,9,today,direct-address,formal,16,40
5883201,I'll check in the basement.,,5196,basement,5,check,descriptive,n/a,16,41
3316620,Everybody is in the basement watching the game on TV.,,5196,basement,10,everybody|watching,descriptive,n/a,16,41
4662808,The escaped prisoners are considered armed and dangerous.,,5224,escaped,8,armed|considered|escaped|prisoners,descriptive,n/a,16,41
2358844,I have a warrant to search the premises.,,6727,premises,8,premises|search|warrant,descriptive,n/a,16,41
2250985,That was unnecessary.,,5272,unnecessary,3,unnecessary,descriptive,n/a,16,42
1872,"If two men always have the same opinion, one of them is unnecessary.",,5272,unnecessary,13,men|one|opinion|same,descriptive,n/a,16,42
5901337,This poem was written by an anonymous poet.,,5281,anonymous,8,anonymous|by|poem|poet|written,descriptive,n/a,16,43
5137538,The person who donated this money wishes to remain anonymous.,,6293,donated,10,donated|money|remain|wishes,descriptive,n/a,16,43
302069,He anonymously donated a large sum of money to the Red Cross.,,13510,anonymously,12,anonymously|cross|sum,descriptive,n/a,16,43
903689,There is an urgent need for blood donations.,,5901,donations,8,blood|donations,descriptive,n/a,16,43
274950,Thank you very much for your generous donation.,,6874,donation,8,donation|generous|thank,direct-address,formal,16,43
903701,There is an urgent need for more people to donate their time and money.,,6487,donate,14,an|and|donate|for|is|money|more|need|people|their|there|time|to|urgent,descriptive,n/a,16,43
1891066,I'm not sure how much they are expecting me to donate.,,6487,donate,11,donate|sure,descriptive,n/a,16,43
5681156,"Instead of giving each other Christmas presents this year, we donated the amount we would have spent on presents to a charity.",,6293,donated,22,amount|charity|each|giving|instead|other|year,descriptive,n/a,16,43
2406526,I slept on the couch.,,5303,couch,5,couch|slept,descriptive,n/a,16,44
2458483,I think you should check under the couch.,,5303,couch,8,under,direct-address,neutral,16,44
496550,The TV remote control is under the couch.,,5303,couch,8,control|remote|tv,descriptive,n/a,16,44
2210887,Why don't you sit right there on the couch?,,5303,couch,9,sit,direct-address,neutral,16,44
2033837,I don't want to sleep on the couch again tonight.,,5303,couch,10,again|tonight,descriptive,n/a,16,44
2328106,Don't let your children become couch potatoes.,,6020,potatoes,7,become|potatoes,direct-address,neutral,16,44
3329894,I used to have a little crush on you.,,5305,crush,9,crush|little|used,direct-address,informal,16,45
2331738,I had such a crush on Mary when I was in junior high school.,,5305,crush,14,high|junior,descriptive,n/a,16,45
32009,Mary went over to the United States in her late teens.,,5442,teens,11,her|late|mary|over|states|teens|united,descriptive,n/a,16,45
909518,Do you think your parents spent enough time with you when you were in your teens?,,5442,teens,16,enough|spent|were|when,direct-address,neutral,16,45
4526762,"A few years ago, there was a huge scandal.",,5344,scandal,9,ago|few|huge|scandal|years,descriptive,n/a,16,46
1672635,That's a huge trophy.,,5354,trophy,4,that's|trophy,descriptive,n/a,16,46
4497128,We've decided to postpone the meeting till next Monday.,,12797,postpone,9,decided|till|we've,descriptive,n/a,16,47
