German|Spanish
Guten Morgen|Buenos días
Guten Morgen|Buenos días
"Obwohl es gestern den ganzen Tag geregnet hat, sind wir trotzdem in den Park gegangen, um dort mit unseren Freunden ein langes gemütliches Picknick zu veranstalten"|Aunque llovió todo el día
Wie geht es dir?|¿Cómo estás?
Ich heiße Anna|
|Hola
Wo ist der Bahnhof?|¿Dónde está la estación?
Wo ist der Bahnhof?|¿Dónde queda la estación?
Das Buch liegt auf dem Tisch|El libro está sobre la mesa
Kannst du mir helfen?|¿Puedes ayudarme?
Vielen Dank für deine Hilfe|Muchas gracias por tu ayuda
