ID,Topic,German,Spanish,Notes
1,Greetings,Guten Morgen,Buenos días,Formal morning greeting
2,Smalltalk,Wie geht es dir?,¿Cómo estás?,Informal
3,Introductions,Ich heiße Anna,Me llamo Anna,
4,Introductions,Ich komme aus Deutschland,Soy de Alemania,Country
5,Travel,Wo ist der Bahnhof?,¿Dónde está la estación?,Asking directions
6,Food,"Ich möchte einen Kaffee, bitte","Quiero un café, por favor",Polite request
7,Objects,Das Buch liegt auf dem Tisch,El libro está sobre la mesa,
8,Weather,Heute ist das Wetter schön,Hoy hace buen tiempo,
9,Learning,Ich lerne jeden Tag Spanisch,Aprendo español todos los días,Daily habit
10,Help,Kannst du mir helfen?,¿Puedes ayudarme?,Informal
11,PastTense,Ich habe gestern einen Film gesehen,Ayer vi una película,Perfect tense
12,Family,Meine Familie wohnt in Berlin,Mi familia vive en Berlín,
13,Travel,Der Zug fährt um acht Uhr ab,El tren sale a las ocho,
14,Understanding,Ich verstehe das nicht,No entiendo eso,
15,Thanks,Vielen Dank für deine Hilfe,Muchas gracias por tu ayuda,Polite
