id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
1188743,I'm learning English.,10.00,1264,learning,3,learning,descriptive,n/a,04,2
2247880,I'm a beginner.,10.00,12235,beginner,3,beginner,descriptive,n/a,04,2
1468392,"I'm a beginner, too.",10.00,12235,beginner,4,a|beginner|i'm|too,descriptive,n/a,04,2
2644717,We're all beginners here.,9.00,12236,beginners,4,beginners,descriptive,n/a,04,2
3238930,Please drive safely.,9.00,4892,safely,3,drive|please|safely,direct-address,neutral,04,3
3452101,Please drive slower.,7.00,7118,slower,3,drive|please|slower,direct-address,neutral,04,3
5314117,Talk slower.,10.00,7118,slower,2,slower,direct-address,informal,04,3
x4_3,Slow down.,,1492,slow,2,slow|down,direct-address,informal,04,3
3334000,Did you use it?,9.00,150,use,4,did|it|use|you,direct-address,neutral,04,4
3312766,We never use them.,8.00,150,use,4,use,descriptive,n/a,04,4
1127763,I need a little time.,9.00,168,little,5,little,descriptive,n/a,04,5
3312718,We had such a great time.,8.00,143,such,6,such,descriptive,n/a,04,5
54454,Help yourself.,9.00,486,yourself,2,help|yourself,direct-address,neutral,04,6
2833905,Can I help you somehow?,9.00,2840,somehow,5,can|help|i|somehow|you,direct-address,neutral,04,6
1543625,Maybe I can help.,8.00,330,maybe,4,can|maybe,descriptive,n/a,04,6
13335,Did you meet her?,9.00,534,meet,4,meet,direct-address,neutral,04,7
5006725,We're both students.,9.00,555,students,3,students,descriptive,n/a,04,7
4728682,"Sorry, I'm late.",9.00,671,sorry,3,sorry,direct-address,neutral,04,8
25304,"Hey, what happened?",9.00,776,hey,3,hey,direct-address,informal,04,8
52027,Wow!,9.00,1166,wow,1,wow,descriptive,n/a,04,9
3434073,"Wow, you're good.",8.00,1166,wow,3,good|wow|you're,direct-address,informal,04,9
2549674,Who's calling?,9.00,1499,who's,2,who's,direct-address,neutral,04,10
1342127,I'm calling you.,8.00,1147,calling,3,calling,direct-address,neutral,04,10
1556829,I'll call back soon.,8.00,473,soon,4,soon,descriptive,n/a,04,10
2498776,I'd like a sandwich.,9.00,5705,sandwich,4,a|i'd|like|sandwich,descriptive,n/a,04,11
2387423,I need a bag.,9.00,1668,bag,4,bag,descriptive,n/a,04,11
2271758,I didn't say hello.,9.00,1927,hello,4,hello,descriptive,n/a,04,12
