id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
5191997,Are you enjoying your weekend?,8.00,3455,enjoying,5,are|enjoying|weekend|you|your,direct-address,neutral,08,1
387445,What are your weekend plans?,9.00,1245,weekend,5,plans,direct-address,neutral,08,1
x8_2,Nothing special — just relaxing.,,7921,relaxing,4,special|relaxing,descriptive,n/a,08,1
3094519,Did you go anywhere last weekend?,8.00,1965,anywhere,6,anywhere,direct-address,neutral,08,1
x8_3,We stayed home.,,2841,stayed,3,stayed|home,descriptive,n/a,08,1
4016503,Where have you been the past couple of days?,8.00,640,couple,9,been|couple|days|have|of|past|the|where|you,direct-address,neutral,08,1
x8_4,I've been busy at work.,,1797,busy,5,busy|work,descriptive,n/a,08,1
51498,"Excuse me, is this seat taken?",9.00,2656,excuse,6,seat|taken,direct-address,neutral,08,2
x8_5,"No, please sit down.",,1343,sit,4,please|sit,direct-address,formal,08,2
3168268,Excuse me one second.,10.00,2656,excuse,4,second,direct-address,neutral,08,2
39997,"Excuse me, could I get past?",9.00,2656,excuse,6,past,direct-address,neutral,08,2
4016848,"Excuse me, could we have some more bread?",9.00,2955,bread,8,bread,direct-address,formal,08,2
2585525,"Excuse me, which way is the post office?",9.00,2656,excuse,8,post,direct-address,neutral,08,2
27270,Where's the nearest department store?,9.00,6046,where's,5,nearest,direct-address,neutral,08,2
51267,Which way is Central Park?,9.00,771,central,5,central|way|which,direct-address,neutral,08,2
x8_6,Go straight and turn left.,,967,straight,5,straight|turn,direct-address,neutral,08,2
3768744,Thanks for your comments.,9.00,1409,comments,4,comments,direct-address,neutral,08,3
2575654,Thanks for reporting the issue.,9.00,2785,reporting,5,reporting,direct-address,neutral,08,3
2645999,Thanks for the warning.,8.00,2544,warning,4,for|thanks|the|warning,direct-address,neutral,08,3
1617609,Thanks for warning me.,8.00,2544,warning,4,warning,direct-address,neutral,08,3
870463,Thanks for mentioning that.,9.00,9540,mentioning,4,mentioning,direct-address,neutral,08,3
2812089,Thanks for the correction.,8.00,7358,correction,4,correction,direct-address,neutral,08,3
3364404,Thank you for your efforts.,9.00,1741,efforts,5,efforts|thank,direct-address,formal,08,3
727375,Thanks for inviting me.,9.00,8313,inviting,4,for|inviting|me|thanks,direct-address,neutral,08,3
3736056,Thanks for inviting us.,9.00,8313,inviting,4,inviting,direct-address,neutral,08,3
3153856,Thanks for giving me a lift.,8.00,2980,lift,6,giving,direct-address,neutral,08,3
3162043,Thanks for helping me fix my car.,7.00,1811,fix,7,helping,direct-address,neutral,08,3
875909,Thank you for correcting this mistake.,9.00,12744,correcting,6,correcting|for|mistake|thank|this|you,direct-address,formal,08,3
5247036,I think it's a terrible law.,7.00,2002,terrible,6,law,descriptive,n/a,08,4
2262904,You're a terrible driver.,5.00,2002,terrible,4,driver,direct-address,informal,08,4
2262906,You're in terrible danger.,5.00,2506,danger,4,danger,direct-address,neutral,08,4
2262896,We're all in terrible danger.,5.00,2506,danger,5,all|danger|in|terrible|we're,descriptive,n/a,08,4
2262902,You're a terrible cook.,5.00,2228,cook,4,cook,direct-address,informal,08,4
1831467,I'm a terrible swimmer.,6.00,12701,swimmer,4,swimmer,descriptive,n/a,08,4
4198396,I'm a terrible writer.,6.00,2078,writer,4,writer,descriptive,n/a,08,4
4098129,I'm sorry for my terrible French. I'm still a beginner.,10.00,12235,beginner,10,beginner,direct-address,neutral,08,4
241476,I was flat on my back for a week with a terrible cold.,6.00,2002,terrible,13,flat,descriptive,n/a,08,4
5806956,I'm terrible at keeping secrets.,6.00,4206,secrets,5,at|i'm|keeping|secrets|terrible,descriptive,n/a,08,4
2053843,You're awful at keeping secrets.,5.00,4206,secrets,5,keeping|secrets,direct-address,informal,08,4
3164463,That'll remain our secret.,5.00,7318,that'll,4,our|remain|secret|that'll,descriptive,n/a,08,4
1343396,Would you be able to call a doctor for me?,8.00,1320,doctor,10,doctor,direct-address,formal,08,5
268171,Please call the fire department.,9.00,573,department,5,call|please,direct-address,formal,08,5
21287,Enjoy your trip.,9.00,1344,trip,3,trip,direct-address,neutral,08,6
2667358,I'm looking forward to the trip.,8.00,1344,trip,6,forward,descriptive,n/a,08,6
5803583,I've just returned from a trip.,8.00,1599,returned,6,returned,descriptive,n/a,08,6
4664177,I've just returned from a long trip.,8.00,1599,returned,7,a|from|i've|just|long|returned|trip,descriptive,n/a,08,6
2544805,I'm cutting my trip short.,5.00,2415,cutting,5,cutting,descriptive,n/a,08,6
2311,I love trips.,7.00,4821,trips,3,trips,descriptive,n/a,08,6
954704,Would you like to see some photos of my trip?,7.00,1557,photos,10,photos,direct-address,neutral,08,6
43475,Who planned that trip?,7.00,2067,planned,4,planned,direct-address,neutral,08,6
1122649,I'm an artist.,9.00,1641,artist,3,artist,descriptive,n/a,08,7
2549177,You're an artist.,9.00,1641,artist,3,an|artist|you're,direct-address,neutral,08,7
2713631,They're both artists.,8.00,2128,artists,3,artists,descriptive,n/a,08,7
1890955,I'm a photographer.,8.00,4406,photographer,3,photographer,descriptive,n/a,08,7
2971306,Who's the photographer?,7.00,4406,photographer,3,photographer|the|who's,direct-address,neutral,08,7
5851322,I'm a designer.,9.00,3447,designer,3,designer,descriptive,n/a,08,7
311636,She wants to be a designer.,7.00,3447,designer,6,a|be|designer|she|to|wants,descriptive,n/a,08,7
309173,She hopes to become a designer.,6.00,3592,hopes,6,hopes,descriptive,n/a,08,7
4664903,"Yes, of course, you're correct.",9.00,1674,correct,5,course|yes,direct-address,neutral,08,8
4665054,That information isn't correct.,7.00,1674,correct,4,information,descriptive,n/a,08,8
4666190,This is only half correct.,7.00,1674,correct,5,half,descriptive,n/a,08,8
2584537,Is this sentence correct?,8.00,2579,sentence,4,sentence,descriptive,n/a,08,8
5851976,I did it correctly.,7.00,4931,correctly,4,correctly|did|i|it,descriptive,n/a,08,8
2160719,You heard correctly.,7.00,4931,correctly,3,correctly,direct-address,neutral,08,8
2245658,I corrected it.,6.00,7357,corrected,3,corrected,descriptive,n/a,08,8
2914745,I've made a correction.,5.00,7358,correction,4,a|correction|i've|made,descriptive,n/a,08,8
65045,I stand corrected.,4.00,7357,corrected,3,stand,descriptive,n/a,08,8
3678278,Stop correcting me.,6.00,12744,correcting,3,correcting,direct-address,informal,08,8
39680,What time is dinner served?,9.00,1701,dinner,5,dinner|is|served|time|what,direct-address,neutral,08,9
4502062,Dinner will be served.,7.00,1701,dinner,4,dinner,descriptive,n/a,08,9
322246,What are you serving today?,7.00,2385,serving,5,are|serving|today|what|you,direct-address,neutral,08,9
1495772,Would you like another serving?,6.00,2385,serving,5,serving,direct-address,neutral,08,9
4902743,Cold drinks will be served.,6.00,3395,drinks,5,drinks,descriptive,n/a,08,9
2359800,I've had a couple of drinks.,6.00,3395,drinks,6,a|couple|drinks|had|i've|of,descriptive,n/a,08,9
1372757,This serves the purpose.,5.00,3686,serves,4,serves,descriptive,n/a,08,9
2251304,That's very comforting.,6.00,11155,comforting,3,comforting,descriptive,n/a,08,10
4494366,It's kind of comforting.,6.00,11155,comforting,4,comforting|it's|kind|of,descriptive,n/a,08,10
3728745,That's a real comfort.,6.00,3513,comfort,4,a|comfort|real|that's,descriptive,n/a,08,10
2187254,That's alright.,9.00,3433,alright,2,alright,descriptive,n/a,08,10
2703399,Is everything alright here?,8.00,3433,alright,4,alright|everything|here|is,direct-address,neutral,08,10
887471,"She tried to comfort him, but he kept crying.",5.00,3513,comfort,9,crying,descriptive,n/a,08,10
21140,I'm freezing.,9.00,6397,freezing,2,freezing|i'm,descriptive,n/a,08,11
2253275,My feet are freezing.,8.00,6397,freezing,4,feet,descriptive,n/a,08,11
3756498,My ears are freezing.,7.00,6397,freezing,4,ears,descriptive,n/a,08,11
4015137,It's warmer in the house. Let's go inside.,8.00,9477,warmer,8,warmer,direct-address,neutral,08,11
21993,It seems warm outside.,7.00,2008,warm,4,warm,descriptive,n/a,08,11
3392667,Let's go back inside where it's warm.,7.00,2008,warm,7,back|go|inside|it's|let's|warm|where,direct-address,informal,08,11
1499291,The store is open from nine to six.,8.00,1419,nine,8,nine,descriptive,n/a,08,12
660448,Is this store open on Sundays?,9.00,9582,sundays,6,is|on|open|store|sundays|this,direct-address,neutral,08,12
281817,Do you deliver on Sundays?,8.00,9582,sundays,5,sundays,direct-address,neutral,08,12
684754,The store is also open at night.,7.00,1018,store,7,also|night,descriptive,n/a,08,12
279009,The store opens at 9 a.m.,8.00,3411,opens,6,m|opens,descriptive,n/a,08,12
4655149,The new store opens next week.,8.00,3411,opens,6,new|next|opens|store|the|week,descriptive,n/a,08,12
251114,Where do I claim my baggage?,9.00,9613,baggage,6,baggage|claim|do|i|my|where,direct-address,neutral,08,13
258037,I claimed my baggage.,4.00,9613,baggage,4,baggage,descriptive,n/a,08,13
35164,One of my bags is missing.,8.00,3378,bags,6,bags,descriptive,n/a,08,13
38179,Where do I claim my bags?,8.00,3378,bags,6,bags|claim|do|i|my|where,direct-address,neutral,08,13
5853142,I'm a professor.,8.00,1338,professor,3,professor,descriptive,n/a,08,14
2241001,We're professors.,8.00,7700,professors,2,professors,descriptive,n/a,08,14
321453,She's my classmate.,9.00,14300,classmate,3,classmate,descriptive,n/a,08,14
297810,He is my classmate.,9.00,14300,classmate,4,classmate|he|is|my,descriptive,n/a,08,14
247946,We're classmates.,8.00,10818,classmates,2,classmates,descriptive,n/a,08,14
2713590,They're my classmates.,8.00,10818,classmates,3,classmates|my|they're,descriptive,n/a,08,14
1961625,I thought you might be able to give me a hand.,7.00,366,hand,11,a|give|hand|me|might|thought,direct-address,neutral,08,15
5811753,Do you have any idea who might be able to help us?,8.00,425,idea,12,any|idea,direct-address,neutral,08,15
2326237,I figured I might be able to help.,8.00,3653,figured,8,able|be|figured|help|i|might|to,descriptive,n/a,08,15
4011572,Perhaps I'll be able to help you.,7.00,843,perhaps,7,able|be|help|i'll|perhaps|to|you,direct-address,neutral,08,15
4499340,Technology can help.,6.00,847,technology,3,technology,descriptive,n/a,08,15
2549741,Wait outside.,8.00,553,outside,2,wait,direct-address,informal,08,16
1860740,Come outside.,8.00,553,outside,2,outside,direct-address,informal,08,16
1841184,Step inside.,5.00,768,step,2,step,direct-address,neutral,08,16
3363719,Step outside.,5.00,768,step,2,outside|step,direct-address,neutral,08,16
4013900,Take that stuff outside.,6.00,746,stuff,4,stuff,direct-address,informal,08,16
3831377,Your stuff is all outside.,6.00,746,stuff,5,all,direct-address,neutral,08,16
4494241,These are serious issues.,6.00,825,serious,4,serious,descriptive,n/a,08,17
