id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
3575363,"Hey, what's wrong?",9.00,776,hey,3,hey,direct-address,informal,06,1
x6_1,Nothing's wrong.,,14742,nothing's,2,nothing's|wrong,descriptive,n/a,06,1
x6_2,I just feel tired.,,2004,tired,4,tired,descriptive,n/a,06,1
2271404,"Hey, don't feel bad.",8.00,776,hey,4,bad|don't|feel|hey,direct-address,informal,06,1
3636487,What's on the menu?,9.00,4537,menu,4,menu,direct-address,neutral,06,2
31786,Let me see a menu.,9.00,4537,menu,5,a|let|me|menu|see,direct-address,neutral,06,2
x6_3,Here you go.,,109,here,3,here|go,direct-address,neutral,06,2
3413037,What should I order?,8.00,300,order,4,order,direct-address,neutral,06,2
x6_4,The chicken is good.,,2314,chicken,4,chicken|good,descriptive,n/a,06,2
1559845,Where should I pay?,9.00,381,pay,4,pay,direct-address,neutral,06,2
x6_5,At the counter.,,2643,counter,3,counter,descriptive,n/a,06,2
2649251,It hurts.,9.00,4245,hurts,2,hurts|it,descriptive,n/a,06,3
x6_6,Where does it hurt?,,1212,hurt,4,where,direct-address,neutral,06,3
2361025,I hurt my left arm.,7.00,1870,arm,5,arm|hurt|i|left|my,descriptive,n/a,06,3
3393260,Does your arm hurt?,7.00,1870,arm,4,arm,direct-address,neutral,06,3
x6_7,"Yes, quite a lot.",,508,quite,4,quite|lot,descriptive,n/a,06,3
1363568,Thanks for joining us.,10.00,3148,joining,4,joining,direct-address,neutral,06,4
1745546,Join us.,8.00,1073,join,2,join,direct-address,neutral,06,4
3162041,Thanks for helping with dinner.,9.00,1707,helping,5,dinner|for|helping|thanks|with,direct-address,neutral,06,4
4308682,Thanks for noticing.,9.00,10866,noticing,3,noticing,direct-address,neutral,06,4
1898234,Thanks for believing in me.,8.00,5459,believing,5,believing|for|in|me|thanks,direct-address,neutral,06,4
2673927,Thanks for pointing this out.,8.00,5058,pointing,5,for|out|pointing|thanks|this,direct-address,neutral,06,4
4496306,Thank you for caring.,8.00,5015,caring,4,caring,direct-address,neutral,06,4
4904849,Thanks for explaining that.,8.00,4772,explaining,4,explaining|for|thanks|that,direct-address,neutral,06,4
662145,Thank you very much for sending me such a nice present.,9.00,2443,sending,11,sending|such,direct-address,formal,06,4
485099,Thanks anyway.,9.00,1281,anyway,2,anyway,direct-address,neutral,06,4
31477,Pardon me?,10.00,8767,pardon,2,pardon,direct-address,formal,06,5
30399,"Louder, please.",9.00,8750,louder,2,louder,direct-address,neutral,06,5
30398,"Speak louder, please.",9.00,8750,louder,3,louder|please|speak,direct-address,neutral,06,5
450078,Please speak more loudly.,8.00,9079,loudly,4,loudly|more|please|speak,direct-address,formal,06,5
30129,Speak slowly and clearly.,9.00,2348,slowly,4,slowly,direct-address,neutral,06,5
2249947,Should I start?,8.00,242,start,3,start,direct-address,neutral,06,6
x6_47,"Yes, go ahead.",,1026,ahead,3,ahead,direct-address,neutral,06,6
2249948,Should I wait?,9.00,442,wait,3,wait,direct-address,neutral,06,6
x6_48,"No, you don't have to.",,68,don't,5,don't|have,direct-address,neutral,06,6
2249953,Should we wait?,9.00,442,wait,3,should|wait|we,direct-address,neutral,06,6
2406318,I should be with my family.,7.00,200,family,6,family|with,descriptive,n/a,06,6
3409166,We should head south.,5.00,383,south,4,south,descriptive,n/a,06,6
3342759,You should head west.,5.00,511,west,4,west,direct-address,neutral,06,6
4502315,We stayed three nights.,7.00,3159,nights,4,nights,descriptive,n/a,06,7
3735925,We're staying in different hotels.,6.00,4867,hotels,5,hotels,descriptive,n/a,06,7
292752,He runs a lot of hotels.,5.00,4867,hotels,6,a|he|hotels|lot|of|runs,descriptive,n/a,06,7
403086,That's the hotel.,7.00,1179,hotel,3,hotel,descriptive,n/a,06,7
24586,When should we check out?,9.00,478,check,5,check|out|should|we|when,direct-address,neutral,06,7
x6_38,By eleven o'clock.,,6521,o'clock,3,o'clock,descriptive,n/a,06,7
65455,I hope everything is okay.,9.00,919,okay,5,okay,direct-address,neutral,06,8
2360883,I hope that helps.,9.00,1846,helps,4,helps,direct-address,neutral,06,8
3396627,I hope that helped.,8.00,1383,helped,4,helped|hope|i|that,direct-address,neutral,06,8
x6_17,We need help.,,166,help,3,need,descriptive,n/a,06,8
4889951,I surely hope you can help us.,8.00,2745,surely,7,can|help|hope|i|surely|us|you,direct-address,formal,06,8
2016880,I just wanted to drop by to say hi.,9.00,1091,drop,9,hi,direct-address,neutral,06,9
x6_33,I'm so glad you came.,,1330,glad,5,glad|came,direct-address,neutral,06,9
3528371,Thanks for dropping by.,9.00,4021,dropping,4,dropping,direct-address,neutral,06,9
64017,I just dropped in to say goodbye.,7.00,4241,goodbye,7,goodbye,descriptive,n/a,06,9
3088811,Are you leaving already?,8.00,1111,leaving,4,leaving,direct-address,neutral,06,9
x6_34,"Yes, I have to go.",,294,yes,5,have|go,descriptive,n/a,06,9
3184942,Can you stay a minute?,9.00,1112,minute,5,a|can|minute|stay|you,direct-address,neutral,06,10
3184899,Stay here a minute.,8.00,1112,minute,4,minute,direct-address,neutral,06,10
3185159,Thanks for letting me stay.,9.00,2817,letting,5,letting,direct-address,neutral,06,10
275341,Did you enjoy your visit?,8.00,968,visit,5,visit,direct-address,neutral,06,10
x6_35,"Yes, very much.",,294,yes,3,much,descriptive,n/a,06,10
3358932,You should visit more often.,7.00,968,visit,5,more|often|should|visit|you,direct-address,neutral,06,10
2245563,Here's the key.,9.00,1295,here's,3,here's,direct-address,neutral,06,11
x6_8,Thanks.,,354,thanks,1,thanks,direct-address,neutral,06,11
3738464,Where should I put my bags?,9.00,3378,bags,6,bags|i|my|put|should|where,direct-address,neutral,06,11
x6_9,Right over there.,,113,right,3,over|there,descriptive,n/a,06,11
2250007,Stay in touch.,9.00,1312,touch,3,touch,direct-address,neutral,06,12
3390736,"Could you carry this box for me, please?",9.00,1348,carry,8,carry,direct-address,formal,06,13
x6_14,Of course.,,335,course,2,course,direct-address,neutral,06,13
1138298,This box is too heavy for me to carry.,7.00,1348,carry,9,box|carry|for|heavy|is|me|this|to|too,descriptive,n/a,06,13
6025434,I need a bigger box.,8.00,1837,bigger,5,bigger,descriptive,n/a,06,13
1852281,Enjoy your evening.,9.00,1440,evening,3,evening,direct-address,neutral,06,14
3636128,Enjoy yourselves.,8.00,8371,yourselves,2,yourselves,direct-address,neutral,06,14
433707,Take care of yourselves!,9.00,8371,yourselves,4,care|of|take|yourselves,direct-address,neutral,06,14
238962,Take care of your health.,6.00,337,health,5,care|health|of|take|your,direct-address,neutral,06,14
1064475,What does this sentence mean?,9.00,2579,sentence,5,sentence,direct-address,neutral,06,15
1064473,Can you understand the meaning of this sentence?,9.00,2579,sentence,8,meaning,direct-address,neutral,06,15
3826637,I'm still not understanding anything.,9.00,1606,understanding,5,understanding,descriptive,n/a,06,15
4499783,I fully understand that.,8.00,1354,fully,4,fully,descriptive,n/a,06,15
1484,Nobody understands me.,7.00,5715,understands,3,me|nobody|understands,descriptive,n/a,06,15
2111595,Nobody understands.,6.00,5715,understands,2,understands,descriptive,n/a,06,15
808728,His words gave me hope.,4.00,556,words,5,his|words,descriptive,n/a,06,15
2360733,I heard every word.,6.00,545,word,4,word,descriptive,n/a,06,15
6033205,I grew up speaking two languages.,7.00,3474,languages,6,languages,descriptive,n/a,06,16
