id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
2245053,Can you elaborate?,,6294,elaborate,3,elaborate,direct-address,neutral,15,1
x15_1,Of course. What part would you like me to expand on?,,3893,expand,11,expand|part,direct-address,neutral,15,1
2547184,I'm inclined to agree.,,8207,inclined,4,inclined,descriptive,n/a,15,1
3919427,I'm inclined to believe you.,,8207,inclined,5,believe|i'm|inclined|to|you,direct-address,neutral,15,1
5938683,I'm willing to compromise.,,5470,compromise,4,willing,descriptive,n/a,15,1
4016604,It seemed like a reasonable compromise.,,5470,compromise,6,reasonable,descriptive,n/a,15,1
x15_2,"I have my reservations, honestly.",,9104,reservations,5,reservations|honestly,descriptive,n/a,15,1
1500159,"It's harsh, but fair.",,5564,harsh,4,fair,descriptive,n/a,15,1
3826840,I reluctantly agreed.,,13141,reluctantly,3,agreed|reluctantly,descriptive,n/a,15,1
261958,I anticipated trouble.,,6053,anticipated,3,trouble,descriptive,n/a,15,2
2062716,Something I hadn't anticipated happened.,,6053,anticipated,5,hadn't,descriptive,n/a,15,2
4012707,We should've anticipated this.,,6053,anticipated,4,should've,descriptive,n/a,15,2
x15_3,Could you have prevented it?,,6021,prevented,5,prevented,direct-address,neutral,15,2
4529027,It's impossible to anticipate every possible situation.,,9721,anticipate,7,impossible|possible,descriptive,n/a,15,2
4529521,What exactly did you anticipate?,,9721,anticipate,5,exactly,direct-address,neutral,15,2
x15_4,"Not this, that's for sure.",,197,sure,5,sure,descriptive,n/a,15,2
3142795,It's a question of integrity.,,4870,integrity,5,integrity|question,descriptive,n/a,15,3
3142957,Are you questioning my integrity?,,6530,questioning,5,questioning,direct-address,neutral,15,3
x15_5,Not at all — I'm just trying to understand.,,418,understand,8,trying|understand,direct-address,neutral,15,3
252097,My conscience is clear.,,7251,conscience,4,clear,descriptive,n/a,15,3
2711697,I have a guilty conscience.,,7251,conscience,5,guilty,descriptive,n/a,15,3
4870562,My conscience is bothering me.,,10923,bothering,5,bothering|conscience|is|me|my,descriptive,n/a,15,3
3830667,Is your conscience bothering you?,,10923,bothering,5,bothering,direct-address,neutral,15,3
x15_6,More than I'd like to admit.,,2547,admit,6,admit,descriptive,n/a,15,3
271659,Honesty is a virtue.,,7534,virtue,4,honesty|virtue,descriptive,n/a,15,3
300704,He won the election by a large majority.,,1215,majority,8,a|by|election|he|large|won,descriptive,n/a,15,4
293567,He's the chairman of the committee.,,1642,chairman,6,chairman|committee|he's,descriptive,n/a,15,4
288146,He served as chairman for three years.,,1642,chairman,7,as|for|served|three|years,descriptive,n/a,15,4
3825823,I was appointed chairman.,,2491,appointed,4,appointed|chairman|i|was,descriptive,n/a,15,4
259527,I've spent so many years as chairman that I feel it's time I stepped down.,,5071,stepped,15,feel|stepped,descriptive,n/a,15,4
x15_8,Are you sure that's the right decision?,,836,decision,7,decision|right,direct-address,neutral,15,4
5013006,The stock market is up.,,1243,stock,5,market,descriptive,n/a,15,5
4497046,Stock prices could fall.,,1391,prices,4,could|fall|prices,descriptive,n/a,15,5
3147958,Our stock prices have gone down 30%.,,1391,prices,6,down|gone|have|our,descriptive,n/a,15,5
4501053,Energy stocks were mixed.,,4424,stocks,4,mixed|stocks,descriptive,n/a,15,5
807252,Everyone tried to sell their stocks.,,4424,stocks,6,sell,descriptive,n/a,15,5
295466,He invested his money in stocks.,,5132,invested,6,invested,descriptive,n/a,15,5
5168299,I wish I had bought stock in that company last year.,,1282,bought,11,bought|company|had|i|in|last|that|wish|year,descriptive,n/a,15,5
4501854,Both stocks rose sharply.,,8044,sharply,4,rose|sharply,descriptive,n/a,15,5
4499436,No officers were hurt.,,1420,officers,4,hurt|no|were,descriptive,n/a,15,6
4500263,No police officers were injured.,,2922,injured,5,injured|police,descriptive,n/a,15,6
5298768,Three officers were wounded.,,4142,wounded,4,wounded,descriptive,n/a,15,6
4495728,Officers arrested one person.,,2263,arrested,4,arrested|one|person,descriptive,n/a,15,6
4495715,The officers arrested three of the protesters.,,6914,protesters,7,protesters,descriptive,n/a,15,6
4493770,There were three uniformed police officers at the crime scene.,,14877,uniformed,10,scene,descriptive,n/a,15,6
3635926,It's like a war zone there.,,1961,zone,6,it's|like|there|war|zone,descriptive,n/a,15,7
6477778,We're in the same time zone.,,1961,zone,6,same|time,descriptive,n/a,15,7
4657585,We talked about time zones.,,5792,zones,5,zones,descriptive,n/a,15,7
4014713,What is your present location?,,1449,location,5,present,direct-address,formal,15,7
