id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
267764,Would you mind waiting a moment?,8.00,927,waiting,6,a|mind|moment|waiting|would|you,direct-address,formal,07,1
x7_1,Of course not.,,335,course,3,course,descriptive,n/a,07,1
2253855,Wait one moment.,9.00,565,moment,3,moment|wait,direct-address,neutral,07,1
58628,Would you mind mailing this letter for me?,8.00,11338,mailing,8,for|letter|mailing|me|mind|this|would|you,direct-address,formal,07,1
x7_2,I'd be happy to.,,434,happy,4,happy,descriptive,n/a,07,1
4013724,"Would you pardon me one moment, please?",8.00,8767,pardon,7,pardon,direct-address,formal,07,1
5151941,Please sit down for a moment.,8.00,1343,sit,6,a|down|for|moment|please|sit,direct-address,formal,07,1
456599,Please be seated.,7.00,8043,seated,3,be|please|seated,direct-address,formal,07,1
5276574,Your table is ready.,8.00,946,table,4,table,direct-address,neutral,07,2
1886553,Who's ready to order?,8.00,1499,who's,4,order,direct-address,neutral,07,2
x7_3,I'll have the same.,,348,i'll,4,same,descriptive,n/a,07,2
2370,Enjoy your meal!,9.00,3086,meal,3,meal,direct-address,neutral,07,2
3733575,Coffee will be ready in a minute.,8.00,1436,coffee,7,coffee,descriptive,n/a,07,2
x7_4,"Thanks, I really need it.",,354,thanks,5,really,direct-address,neutral,07,2
915170,Thanks for paying for the meal.,8.00,3086,meal,6,paying,direct-address,neutral,07,2
29560,Is room service still available?,8.00,514,available,5,service,direct-address,neutral,07,3
x7_5,"Yes, until midnight.",,4190,midnight,3,until,descriptive,n/a,07,3
4665499,The hotel is completely full.,8.00,1179,hotel,5,full,descriptive,n/a,07,3
2766887,Let's return to the hotel.,8.00,1179,hotel,5,hotel,direct-address,neutral,07,3
2032578,What time is your plane landing?,8.00,3596,landing,6,is|landing|plane|time|what|your,direct-address,neutral,07,3
3732287,We just landed.,7.00,4690,landed,3,landed,descriptive,n/a,07,3
761662,The landing was perfect.,4.00,3596,landing,4,landing,descriptive,n/a,07,3
2044389,Happy holidays.,10.00,4866,holidays,2,holidays,direct-address,neutral,07,4
19758,Enjoy your holidays.,10.00,4866,holidays,3,enjoy|holidays|your,direct-address,neutral,07,4
955159,Tomorrow's a holiday.,8.00,11489,tomorrow's,3,tomorrow's,descriptive,n/a,07,4
4483901,Next Monday and Tuesday are holidays.,6.00,4866,holidays,6,tuesday,descriptive,n/a,07,4
2951201,Could you send me more details by email?,8.00,2089,email,8,by|could|details|email|me|more|send|you,direct-address,formal,07,5
5852055,Thanks for posting this.,9.00,3676,posting,4,posting,direct-address,neutral,07,5
2391516,I received your note.,7.00,961,note,4,note,direct-address,neutral,07,5
265984,Did you receive my letter?,8.00,1484,receive,5,receive,direct-address,neutral,07,5
1562209,Did you receive my letters?,6.00,2197,letters,5,letters,direct-address,neutral,07,5
265991,I remember mailing the letter.,5.00,11338,mailing,5,mailing,descriptive,n/a,07,5
2585531,Please mail this letter the next time you go to the post office.,6.00,1935,mail,13,mail,direct-address,neutral,07,5
294404,He mailed a letter home.,5.00,12529,mailed,5,mailed,descriptive,n/a,07,5
4133575,I need you to go to the post office and mail this letter.,7.00,1935,mail,13,and|go|i|letter|mail|need|office|post|the|this|to|you,direct-address,neutral,07,5
3823892,Is the post office near here?,9.00,504,near,6,here|near,direct-address,neutral,07,5
324559,Would you mind giving me a ride to the post office?,6.00,1486,ride,11,a|giving|me|mind|office|post|ride|the|to|would|you,direct-address,formal,07,5
3898288,Do you have a bank account?,8.00,694,bank,6,bank,direct-address,neutral,07,6
2459475,I'd like to open a bank account.,9.00,694,bank,7,open,descriptive,n/a,07,6
2389571,I opened a checking account.,5.00,3384,checking,5,checking,descriptive,n/a,07,6
2912599,How much is in your checking account?,6.00,3384,checking,7,account|checking|how|in|is|much|your,direct-address,neutral,07,6
269535,"I'm sorry, we don't accept checks.",8.00,4155,checks,6,accept|checks|don't|i'm|sorry|we,direct-address,formal,07,6
818300,We accept checks.,6.00,4155,checks,3,checks,descriptive,n/a,07,6
997256,What time do you usually return home?,9.00,733,usually,7,usually,direct-address,neutral,07,7
2241566,We'll continue later.,7.00,1367,we'll,3,later,direct-address,neutral,07,7
5633154,I hope that continues.,7.00,1673,continues,4,continues,descriptive,n/a,07,7
4665776,I'm hoping that'll continue.,7.00,7318,that'll,4,that'll,descriptive,n/a,07,7
762167,He'll return at six.,7.00,2771,he'll,4,he'll,descriptive,n/a,07,7
2585721,I always wondered whether you'd come back.,5.00,5084,wondered,7,wondered,direct-address,neutral,07,7
1392492,He returned home after being away for ten months.,6.00,1599,returned,9,months,descriptive,n/a,07,7
3821159,They've just returned.,7.00,1788,they've,3,they've,descriptive,n/a,07,7
3734291,Everything's returning to normal.,7.00,11777,everything's,4,everything's|normal|returning|to,descriptive,n/a,07,7
4501839,The pain returned.,4.00,1599,returned,3,pain|returned|the,descriptive,n/a,07,7
2111566,Return fire.,2.00,652,return,2,return,direct-address,neutral,07,7
2648754,"Take it easy, OK?",9.00,739,ok,4,ok|take,direct-address,informal,07,8
x7_35,I will. You too.,,119,too,4,will|too,direct-address,neutral,07,8
x7_36,Get some rest.,,584,rest,3,rest,direct-address,informal,07,8
250462,My oldest brother is single.,7.00,4702,oldest,5,oldest,descriptive,n/a,07,9
54476,Are you married or are you single?,9.00,982,married,7,married,direct-address,neutral,07,9
61638,This is the church where we got married.,6.00,982,married,8,church|got|is|married|the|this|we|where,descriptive,n/a,07,9
x7_9,Where did you get married?,,982,married,5,married,direct-address,neutral,07,9
5916904,I applied for the job.,8.00,2126,applied,5,applied|for|i|job|the,descriptive,n/a,07,10
