id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
270545,Life is full of ups and downs.,,7571,downs,7,full|life,descriptive,n/a,20,1
1443601,We all have our ups and downs.,,7571,downs,7,all|and|downs|our|ups,descriptive,n/a,20,1
x20_1,Tell me about it.,,270,tell,4,tell|about,direct-address,informal,20,1
281980,"Perseverance, it is often said, is the key to success.",,14353,perseverance,10,key|said|success,descriptive,n/a,20,1
2291586,I admire your perseverance and determination.,,14353,perseverance,6,admire|determination|perseverance,direct-address,formal,20,1
x20_2,That means more than you know.,,341,means,6,means,direct-address,neutral,20,1
5287389,Repetition does not transform a lie into a truth.,,12801,repetition,9,into|lie|repetition|transform|truth,descriptive,n/a,20,1
2247381,I remain skeptical.,,10400,skeptical,3,remain,descriptive,n/a,20,2
4494253,The others are skeptical.,,10400,skeptical,4,others,descriptive,n/a,20,2
2301409,I can understand your skepticism.,,13714,skepticism,5,skepticism,direct-address,formal,20,2
1230620,I'm skeptical when I hear someone claim to speak more than five languages fluently.,,14877,fluently,14,claim|five|hear|languages|more|someone|speak|than,descriptive,n/a,20,2
x20_3,Fair enough.,,1092,fair,2,fair|enough,descriptive,n/a,20,2
1961604,I thought you didn't know anything about lacrosse.,,13679,lacrosse,8,about|anything|didn't|thought,direct-address,neutral,20,2
x20_4,"Yeah, well, I picked some things up.",,1939,picked,7,picked|things,descriptive,n/a,20,2
2007742,Let's not get cocky.,,13749,cocky,4,cocky|get,direct-address,informal,99,3
2270387,Don't get too cocky.,,13749,cocky,4,too,direct-address,informal,99,3
x20_5,"Easy, I'm just having fun.",,501,easy,5,easy|having,direct-address,informal,20,3
2203586,You're witty.,,11857,witty,2,witty,direct-address,neutral,20,3
2218012,You're a cutie.,,14521,cutie,3,cutie,direct-address,informal,99,3
2254533,What a phony!,,14247,phony,3,phony,direct-address,informal,20,3
x20_6,Takes one to know one.,,672,takes,5,takes|one,descriptive,n/a,20,3
269456,I have come in response to your ad in the paper.,,1764,ad,11,come|have|i|in|paper|response|the|to|your,direct-address,formal,20,4
289429,He was born in Ohio.,,2435,ohio,5,born|he|in|ohio|was,descriptive,n/a,99,5
29729,Few students can read Latin.,,3084,latin,5,can|few|read|students,descriptive,n/a,20,6
379238,Latin is a dead language.,,3084,latin,5,dead|language,descriptive,n/a,20,6
1312822,When did you start studying Latin?,,3496,studying,6,did|start|studying|when,direct-address,neutral,20,6
26317,A lot of English words are derived from Latin.,,4300,derived,9,are|derived|english|from|lot|of|words,descriptive,n/a,20,6
1134279,We are learning Arabic.,,6560,arabic,4,arabic|are|learning|we,descriptive,n/a,99,6
1519475,Can you read Arabic?,,6560,arabic,4,can|read,direct-address,neutral,99,6
67422,Arabic is a very important language.,,6560,arabic,6,important|language,descriptive,n/a,99,6
2248275,I'm the CEO.,,3188,ceo,3,ceo|i'm,descriptive,n/a,20,7
