id;text;topics;difficulty;usefulness;flags;tokens;word_frequencies;zipf_frequencies;word_ranks;zipf_avg;max_word_rank;avg_word_rank;word_count;overall_difficulty
12552928;I am from America.;"[""identity"", ""nationality""]";1.0;9.0;"[""political""]";"[""i"", ""am"", ""from"", ""america""]";[0.0123, 0.000603, 0.00427, 0.000166];[7.09, 5.78, 6.63, 5.22];[7, 160, 26, 603];6.18;603;199.0;4;9.68
24278;The house is on fire.;"[""emergencies"", ""danger""]";1.0;8.0;"[""violent""]";"[""the"", ""house"", ""is"", ""on"", ""fire""]";[0.0537, 0.000513, 0.0117, 0.00813, 0.0002];[7.73, 5.71, 7.07, 6.91, 5.3];[1, 186, 8, 13, 501];6.544;501;141.8;5;9.544
3728345;You're not getting it.;"[""communication"", ""understanding""]";1.0;8.0;"[""overly negative""]";"[""you're"", ""not"", ""getting"", ""it""]";[0.000741, 0.0049, 0.000372, 0.00891];[5.87, 6.69, 5.57, 6.95];[140, 23, 238, 12];6.2700000000000005;238;103.25;4;9.27
464212;This street is in Paris.;"[""places"", ""geography"", ""cities""]";1.0;8.0;"[""political""]";"[""this"", ""street"", ""is"", ""in"", ""paris""]";[0.00661, 0.000191, 0.0117, 0.0186, 6.61e-05];[6.82, 5.28, 7.07, 7.27, 4.82];[15, 535, 8, 6, 1609];6.252000000000001;1609;434.6;5;9.252
6607973;Are you Australian?;"[""nationality"", ""identity""]";1.0;8.0;"[""political""]";"[""are"", ""you"", ""australian""]";[0.0055, 0.00955, 8.51e-05];[6.74, 6.98, 4.93];[19, 11, 1242];6.216666666666666;1242;424.0;3;9.216666666666665
1461899;Click here to create an account.;"[""online actions"", ""account creation""]";1.0;8.5;"[""audio-incompatible""]";"[""click"", ""here"", ""to"", ""create"", ""an"", ""account""]";[6.61e-05, 0.000933, 0.0269, 0.000105, 0.00339, 0.000162];[4.82, 5.97, 7.43, 5.02, 6.53, 5.21];[1594, 111, 2, 1014, 30, 616];5.829999999999999;1594;561.1666666666666;6;9.079999999999998
12881971;I was in crisis.;"[""evaluation"", ""negative assessment""]";1.0;7.0;"[""overly negative""]";"[""i"", ""was"", ""in"", ""crisis""]";[0.0123, 0.00661, 0.0186, 4.17e-05];[7.09, 6.82, 7.27, 4.62];[7, 16, 6, 2384];6.45;2384;603.25;4;8.95
9971957;The name of this country is Russia.;"[""geography"", ""countries""]";1.0;7.0;"[""political""]";"[""the"", ""name"", ""of"", ""this"", ""country"", ""is"", ""russia""]";[0.0537, 0.000407, 0.0251, 0.00661, 0.000302, 0.0117, 8.51e-05];[7.73, 5.61, 7.4, 6.82, 5.48, 7.07, 4.93];[1, 220, 4, 15, 313, 8, 1253];6.434285714285715;1253;259.14285714285717;7;8.934285714285714
10049311;I'm in the United States.;"[""geography"", ""location""]";1.0;7.0;"[""political""]";"[""i'm"", ""in"", ""the"", ""united"", ""states""]";[0.00141, 0.0186, 0.0537, 0.000295, 0.000331];[6.15, 7.27, 7.73, 5.47, 5.52];[74, 6, 1, 323, 282];6.428;323;137.2;5;8.928
3617399;I'm from New Zealand.;"[""identity"", ""origin""]";1.0;8.0;"[""political""]";"[""i'm"", ""from"", ""new"", ""zealand""]";[0.00141, 0.00427, 0.00178, 3.16e-05];[6.15, 6.63, 6.25, 4.5];[74, 26, 65, 3036];5.8825;3036;800.25;4;8.8825
