id,text,pedagogy,max_wfs,rarest_word,word_count,added_for,register,formality,ogte_level,arc_id
1839560,Thank you very much.,10.00,309,thank,4,thank,direct-address,neutral,03,1
433492,Of course.,10.00,335,course,2,course,direct-address,neutral,03,1
48085,What does this word mean?,10.00,545,word,5,word,direct-address,neutral,03,2
1156571,What's the meaning of that?,8.00,1417,meaning,5,meaning,direct-address,neutral,03,2
1490702,I can't understand the meaning.,8.00,1417,meaning,5,can't|i|meaning|the|understand,descriptive,n/a,03,2
462578,"The bill, please.",10.00,718,bill,3,bill,direct-address,neutral,03,3
x3_20,Here you are.,,109,here,3,here,direct-address,neutral,03,3
22586,Nice seeing you!,10.00,966,seeing,3,nice|seeing|you,direct-address,informal,03,4
54608,Hi! Do you work here?,10.00,1067,hi,5,hi,direct-address,neutral,03,5
x3_4,"Yes, I work here.",,294,yes,4,yes,descriptive,n/a,03,5
1482,I don't speak Japanese.,10.00,1624,japanese,4,don't|i|japanese|speak,descriptive,n/a,03,6
499689,Good afternoon.,10.00,1910,afternoon,2,afternoon,direct-address,neutral,03,7
x3_1,Good morning.,,461,morning,2,morning,direct-address,neutral,03,7
x3_2,Good evening.,,1440,evening,2,evening,direct-address,neutral,03,7
x3_3,Good night.,,216,night,2,night,direct-address,neutral,03,7
47013,See you then.,9.00,91,then,3,then,direct-address,informal,03,8
749758,I'm doing well.,9.00,220,doing,3,doing|i'm|well,descriptive,n/a,03,8
2283730,I'm sure.,9.00,197,sure,2,sure,descriptive,n/a,03,9
2549630,Please say yes.,9.00,294,yes,3,yes,direct-address,neutral,03,10
5422331,"Yes, you're right.",9.00,294,yes,3,right|yes|you're,direct-address,neutral,03,11
5423332,"Yeah, you're right.",9.00,419,yeah,3,yeah,direct-address,informal,03,11
70705,Maybe you're right.,8.00,330,maybe,3,maybe|right|you're,direct-address,neutral,03,11
2251073,That's good news.,9.00,342,news,3,news,descriptive,n/a,03,12
